X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
C1 ; 1 ; 0.130435 ; 0.0869565 ; 0.1 ; 0.0555556 ; 0.294118 ; 0.0769231 ; 0.2 ; 0.25 ; 0.24 ; 0.0555556
C2 ; 0.130435 ; 1 ; 0.190476 ; 0.1 ; 0.1875 ; 0.1 ; 0.217391 ; 0.111111 ; 0.153846 ; 0.148148 ; 0.117647
C3 ; 0.0869565 ; 0.190476 ; 1 ; 0.235294 ; 0.0588235 ; 0.105263 ; 0.227273 ; 0.115385 ; 0.16 ; 0.0344828 ; 0.2
C4 ; 0.1 ; 0.1 ; 0.235294 ; 1 ; 0.153846 ; 0.0588235 ; 0.333333 ; 0.0833333 ; 0.0833333 ; 0.173913 ; 0.0714286
C5 ; 0.0555556 ; 0.1875 ; 0.0588235 ; 0.153846 ; 1 ; 0.0714286 ; 0.166667 ; 0.15 ; 0.0454545 ; 0.2 ; 0.0909091
C6 ; 0.294118 ; 0.1 ; 0.105263 ; 0.0588235 ; 0.0714286 ; 1 ; 0.0909091 ; 0.181818 ; 0.368421 ; 0.173913 ; 0.0714286
C7 ; 0.0769231 ; 0.217391 ; 0.227273 ; 0.333333 ; 0.166667 ; 0.0909091 ; 1 ; 0.28 ; 0.142857 ; 0.178571 ; 0.05
C8 ; 0.2 ; 0.111111 ; 0.115385 ; 0.0833333 ; 0.15 ; 0.181818 ; 0.28 ; 1 ; 0.172414 ; 0.346154 ; 0.15
C9 ; 0.25 ; 0.153846 ; 0.16 ; 0.0833333 ; 0.0454545 ; 0.368421 ; 0.142857 ; 0.172414 ; 1 ; 0.25 ; 0.0454545
C10 ; 0.24 ; 0.148148 ; 0.0344828 ; 0.173913 ; 0.2 ; 0.173913 ; 0.178571 ; 0.346154 ; 0.25 ; 1 ; 0.0434783
CJA ; 0.0555556 ; 0.117647 ; 0.2 ; 0.0714286 ; 0.0909091 ; 0.0714286 ; 0.05 ; 0.15 ; 0.0454545 ; 0.0434783 ; 1
