Objects;Weight
page web statiques bn:03576307n;0.00429185
navigateur bn:00013447n;0.00429185
disque dur bn:00073359n;0.0343348
client serveur bn:03496583n;0.0665236
ensemble bn:00114766r;0.00858369
javascript bn:00055423n;0.379828
perl bn:01723165n;0.122318
python bn:01713224n;0.0343348
code source bn:00072947n;0.0343348
fichier texte bn:00028018n;0.272532
mise en forme bn:01681906n;0.0171674
affichage bn:00010421n;0.804721
gras bn:00011848n;0.0171674
chemin bn:03131414n;0.0665236
lien hypertextes bn:00045513n;0.274678
textuels bn:00111786a;0.00429185
page web dynamique bn:00937946n;0.00858369
champ de saisie bn:03113401n;0.0987124
size bn:03645138n;0.111588
vide bn:00087578v;0.0171674
liste déroulante bn:00028831n;0.0171674
sélectionner bn:00084931v;0.0343348
déclencher bn:00082306v;0.00858369
réinitialisation bn:00067306n;0.00858369
langage impératif bn:01246770n;0.00429185
impératif bn:00104644a;0.00858369
affectation bn:02806034n;0.178112
booléen bn:00294693n;0.225322
réalité bn:00066414n;0.00858369
concatène bn:00085508v;0.00429185
addition bn:00001296n;0.0686695
soustraction bn:00055233n;0.0686695
multiplié bn:00090977v;0.00429185
modulo bn:00553864n;0.0686695
égalité bn:00031284n;0.0171674
logiques bn:00051845n;0.680258
syntaxe bn:00062118n;0.424893
prenom bn:15996005n;0.156652
structure de contrôle bn:00047734n;0.218884
définition bn:00025928n;0.424893
initialiser bn:00089742v;0.171674
dépendre bn:00086606v;0.0686695
passwd bn:14874750n;0.00858369
phase bn:00061898n;0.0343348
être utile bn:00085368v;0.0343348
boucle while bn:03237310n;0.0600858
euro bn:00031888n;0.00858369
etc bn:00114282r;0.133047
détruire bn:00084204v;0.0321888
second bn:00105773a;0.0171674
ordinateur bn:00021464n;0.0343348
développement web bn:03446093n;0.0343348
organisation bn:00059480n;0.0171674
premier bn:00103006a;0.0343348
devoir sur table bn:04973014n;0.00429185
semaine bn:00043484n;0.0171674
devoir maison bn:00044563n;0.00429185
interrogation bn:00047208n;0.0171674
