Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;11;0;11;;C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,CJA,;
1;10;1;10;affichage bn:00010421n,;C1,C2,C3,C4,C5,C6,C7,C9,C10,CJA,;
2;10;1;10;langage bn:00049910n,;C1,C2,C3,C4,C5,C6,C8,C9,C10,CJA,;
3;8;1;8;booléen bn:00294693n,;C1,C2,C3,C4,C7,C8,C10,CJA,;
4;10;1;10;logiques bn:00051845n,;C1,C2,C3,C5,C6,C7,C8,C9,C10,CJA,;
5;8;1;8;switch bn:01071927n,;C2,C3,C4,C7,C8,C9,C10,CJA,;
6;8;2;8;fichier texte bn:00028018n,affichage bn:00010421n,;C1,C2,C3,C4,C5,C6,C7,CJA,;
7;9;2;9;texte bn:00076732n,affichage bn:00010421n,;C2,C3,C4,C5,C6,C7,C9,C10,CJA,;
8;9;2;9;affichage bn:00010421n,langage bn:00049910n,;C1,C2,C3,C4,C5,C6,C9,C10,CJA,;
9;7;2;7;affichage bn:00010421n,booléen bn:00294693n,;C1,C2,C3,C4,C7,C10,CJA,;
10;8;2;8;lien hypertextes bn:00045513n,langage bn:00049910n,;C1,C2,C4,C5,C6,C8,C9,C10,;
11;7;2;7;langage bn:00049910n,booléen bn:00294693n,;C1,C2,C3,C4,C8,C10,CJA,;
12;9;2;9;langage bn:00049910n,logiques bn:00051845n,;C1,C2,C3,C5,C6,C8,C9,C10,CJA,;
13;9;2;9;langage bn:00049910n,fermeture bn:16858148n,;C1,C3,C4,C5,C6,C8,C9,C10,CJA,;
14;7;2;7;langage bn:00049910n,switch bn:01071927n,;C2,C3,C4,C8,C9,C10,CJA,;
15;7;2;7;booléen bn:00294693n,logiques bn:00051845n,;C1,C2,C3,C7,C8,C10,CJA,;
16;7;2;7;booléen bn:00294693n,switch bn:01071927n,;C2,C3,C4,C7,C8,C10,CJA,;
17;7;2;7;logiques bn:00051845n,prenom bn:15996005n,;C1,C5,C6,C7,C8,C9,C10,;
18;7;2;7;logiques bn:00051845n,switch bn:01071927n,;C2,C3,C7,C8,C9,C10,CJA,;
19;3;3;3;fichier bn:00021475n,logiques bn:00051845n,prenom bn:15996005n,;C5,C7,C8,;
20;8;3;8;javascript bn:00055423n,affichage bn:00010421n,langage bn:00049910n,;C1,C2,C3,C4,C5,C6,C9,C10,;
21;7;3;7;fichier texte bn:00028018n,texte bn:00076732n,affichage bn:00010421n,;C2,C3,C4,C5,C6,C7,CJA,;
22;6;3;6;fichier texte bn:00028018n,affichage bn:00010421n,booléen bn:00294693n,;C1,C2,C3,C4,C7,CJA,;
23;7;3;7;texte bn:00076732n,concerner bn:00083240v,affichage bn:00010421n,;C3,C4,C5,C6,C7,C10,CJA,;
24;8;3;8;texte bn:00076732n,affichage bn:00010421n,langage bn:00049910n,;C2,C3,C4,C5,C6,C9,C10,CJA,;
25;7;3;7;texte bn:00076732n,affichage bn:00010421n,switch bn:01071927n,;C2,C3,C4,C7,C9,C10,CJA,;
26;8;3;8;texte bn:00076732n,affichage bn:00010421n,temps bn:00077270n,;C2,C3,C4,C5,C6,C7,C9,C10,;
27;9;3;9;affichage bn:00010421n,fois bn:00032768n,logiques bn:00051845n,;C1,C2,C3,C5,C6,C7,C9,C10,CJA,;
28;4;3;4;affichage bn:00010421n,post bn:01500184n,booléen bn:00294693n,;C1,C4,C7,C10,;
29;8;3;8;affichage bn:00010421n,text bn:14981519n,langage bn:00049910n,;C1,C2,C3,C4,C5,C6,C10,CJA,;
30;6;3;6;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,;C1,C2,C4,C8,C9,C10,;
31;7;3;7;lien hypertextes bn:00045513n,langage bn:00049910n,logiques bn:00051845n,;C1,C2,C5,C6,C8,C9,C10,;
32;7;3;7;lien hypertextes bn:00045513n,langage bn:00049910n,fermeture bn:16858148n,;C1,C4,C5,C6,C8,C9,C10,;
33;6;3;6;langage bn:00049910n,booléen bn:00294693n,logiques bn:00051845n,;C1,C2,C3,C8,C10,CJA,;
34;6;3;6;langage bn:00049910n,booléen bn:00294693n,fermeture bn:16858148n,;C1,C3,C4,C8,C10,CJA,;
35;6;3;6;langage bn:00049910n,booléen bn:00294693n,switch bn:01071927n,;C2,C3,C4,C8,C10,CJA,;
36;8;3;8;langage bn:00049910n,logiques bn:00051845n,fermeture bn:16858148n,;C1,C3,C5,C6,C8,C9,C10,CJA,;
37;5;3;5;langage bn:00049910n,logiques bn:00051845n,mdp bn:00023218n,;C2,C3,C6,C8,C10,;
38;6;3;6;langage bn:00049910n,fermeture bn:16858148n,serveur bn:00044916n,;C3,C4,C5,C8,C9,C10,;
39;6;3;6;langage bn:00049910n,fermeture bn:16858148n,switch bn:01071927n,;C3,C4,C8,C9,C10,CJA,;
40;5;3;5;langage bn:00049910n,fermeture bn:16858148n,importer bn:00046139n,;C4,C6,C8,C10,CJA,;
41;4;3;4;booléen bn:00294693n,logiques bn:00051845n,prenom bn:15996005n,;C1,C7,C8,C10,;
42;6;3;6;booléen bn:00294693n,logiques bn:00051845n,switch bn:01071927n,;C2,C3,C7,C8,C10,CJA,;
43;4;3;4;logiques bn:00051845n,prenom bn:15996005n,switch bn:01071927n,;C7,C8,C9,C10,;
44;7;4;7;serveur web bn:02705179n,texte bn:00076732n,affichage bn:00010421n,langage bn:00049910n,;C2,C3,C4,C5,C6,C9,CJA,;
