X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
C1 ; 1 ; 0.251515 ; 0.276119 ; 0.192073 ; 0.259777 ; 0.272727 ; 0.123675 ; 0.109489 ; 0.208333 ; 0.287154 ; 0.213296
C2 ; 0.251515 ; 1 ; 0.367609 ; 0.205882 ; 0.240106 ; 0.296496 ; 0.203571 ; 0.0986395 ; 0.243836 ; 0.286408 ; 0.269444
C3 ; 0.276119 ; 0.367609 ; 1 ; 0.284635 ; 0.353919 ; 0.354312 ; 0.248571 ; 0.131016 ; 0.297424 ; 0.387665 ; 0.417303
C4 ; 0.192073 ; 0.205882 ; 0.284635 ; 1 ; 0.247911 ; 0.224 ; 0.117021 ; 0.106618 ; 0.227273 ; 0.292621 ; 0.235795
C5 ; 0.259777 ; 0.240106 ; 0.353919 ; 0.247911 ; 1 ; 0.418033 ; 0.157407 ; 0.107362 ; 0.301587 ; 0.314815 ; 0.265985
C6 ; 0.272727 ; 0.296496 ; 0.354312 ; 0.224 ; 0.418033 ; 1 ; 0.14881 ; 0.103858 ; 0.306494 ; 0.343387 ; 0.287532
C7 ; 0.123675 ; 0.203571 ; 0.248571 ; 0.117021 ; 0.157407 ; 0.14881 ; 1 ; 0.0654206 ; 0.104615 ; 0.175676 ; 0.149206
C8 ; 0.109489 ; 0.0986395 ; 0.131016 ; 0.106618 ; 0.107362 ; 0.103858 ; 0.0654206 ; 1 ; 0.161616 ; 0.260479 ; 0.16
C9 ; 0.208333 ; 0.243836 ; 0.297424 ; 0.227273 ; 0.301587 ; 0.306494 ; 0.104615 ; 0.161616 ; 1 ; 0.356265 ; 0.257218
C10 ; 0.287154 ; 0.286408 ; 0.387665 ; 0.292621 ; 0.314815 ; 0.343387 ; 0.175676 ; 0.260479 ; 0.356265 ; 1 ; 0.312057
CJA ; 0.213296 ; 0.269444 ; 0.417303 ; 0.235795 ; 0.265985 ; 0.287532 ; 0.149206 ; 0.16 ; 0.257218 ; 0.312057 ; 1
