Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;4;0;4;;C3.csv,C5.csv,C6.csv,CJA-automatic.csv,;
1;3;1;3;texte bn:00076732n,;C5.csv,C6.csv,CJA-automatic.csv,;
2;3;1;3;http bn:00045088n,;C3.csv,C6.csv,CJA-automatic.csv,;
3;3;3;3;classe bn:03608262n,java bn:00048043n,publique bn:00109211a,;C3.csv,C5.csv,C6.csv,;
4;3;4;3;langage bn:00049910n,base de données bn:00025333n,données bn:00025314n,site bn:00047172n,;C3.csv,C5.csv,CJA-automatic.csv,;
5;2;5;2;langage bn:00049910n,base de données bn:00025333n,données bn:00025314n,http bn:00045088n,site bn:00047172n,;C3.csv,CJA-automatic.csv,;
6;2;6;2;serveur bn:00044916n,fichiers bn:00021475n,texte bn:00076732n,http bn:00045088n,files bn:00065682n,composer bn:14766022n,;C6.csv,CJA-automatic.csv,;
7;2;6;2;http bn:00045088n,classe bn:03608262n,java bn:00048043n,xml bn:02771436n,mise bn:00016287n,publique bn:00109211a,;C3.csv,C6.csv,;
8;2;7;2;langage bn:00049910n,base de données bn:00025333n,données bn:00025314n,nombre bn:00058285n,texte bn:00076732n,site bn:00047172n,null bn:15898583n,;C5.csv,CJA-automatic.csv,;
9;2;8;2;script bn:01431715n,programmation bn:00021493n,timestamp bn:03603649n,texte bn:00076732n,méthode bn:01641329n,classe bn:03608262n,java bn:00048043n,publique bn:00109211a,;C5.csv,C6.csv,;
10;2;10;2;langage bn:00049910n,commentaires bn:00020978n,base de données bn:00025333n,données bn:00025314n,classe bn:03608262n,java bn:00048043n,site bn:00047172n,personne bn:00046516n,varchar bn:01838409n,publique bn:00109211a,;C3.csv,C5.csv,;
11;1;13;1;langage bn:00049910n,serveur bn:00044916n,base de données bn:00025333n,données bn:00025314n,nombre bn:00058285n,fichiers bn:00021475n,texte bn:00076732n,http bn:00045088n,exceptions bn:00032118n,site bn:00047172n,files bn:00065682n,composer bn:14766022n,null bn:15898583n,;CJA-automatic.csv,;
12;1;16;1;langage bn:00049910n,commentaires bn:00020978n,base de données bn:00025333n,données bn:00025314n,http bn:00045088n,classe bn:03608262n,java bn:00048043n,site bn:00047172n,personne bn:00046516n,xml bn:02771436n,configuration bn:03088982n,insert bn:03795444n,varchar bn:01838409n,mise bn:00016287n,client bn:00019764n,publique bn:00109211a,;C3.csv,;
13;1;18;1;php bn:01753580n,script bn:01431715n,serveur bn:00044916n,programmation bn:00021493n,timestamp bn:03603649n,fichiers bn:00021475n,code bn:00020354n,texte bn:00076732n,http bn:00045088n,méthode bn:01641329n,classe bn:03608262n,java bn:00048043n,xml bn:02771436n,echo bn:03626250n,files bn:00065682n,mise bn:00016287n,publique bn:00109211a,composer bn:14766022n,;C6.csv,;
14;1;19;1;script bn:01431715n,langage bn:00049910n,commentaires bn:00020978n,chaîne bn:00074685n,programmation bn:00021493n,timestamp bn:03603649n,base de données bn:00025333n,données bn:00025314n,nombre bn:00058285n,texte bn:00076732n,méthode bn:01641329n,classe bn:03608262n,java bn:00048043n,site bn:00047172n,personne bn:00046516n,class bn:03598962n,varchar bn:01838409n,publique bn:00109211a,null bn:15898583n,;C5.csv,;
15;0;33;0;php bn:01753580n,script bn:01431715n,langage bn:00049910n,serveur bn:00044916n,commentaires bn:00020978n,chaîne bn:00074685n,programmation bn:00021493n,timestamp bn:03603649n,base de données bn:00025333n,données bn:00025314n,nombre bn:00058285n,fichiers bn:00021475n,code bn:00020354n,texte bn:00076732n,http bn:00045088n,méthode bn:01641329n,classe bn:03608262n,exceptions bn:00032118n,java bn:00048043n,site bn:00047172n,personne bn:00046516n,xml bn:02771436n,echo bn:03626250n,files bn:00065682n,class bn:03598962n,configuration bn:03088982n,insert bn:03795444n,varchar bn:01838409n,mise bn:00016287n,client bn:00019764n,publique bn:00109211a,composer bn:14766022n,null bn:15898583n,;;
