X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
page web bn:00080778n ; 0 ; 0 ; 0.0452962 ; 0 ; 0.0487805 ; 0.0522648 ; 0 ; 0.0452962 ; 0 ; 0.0487805
navigateur bn:00013447n ; 0 ; 0.181185 ; 0.198606 ; 0 ; 0.212544 ; 0.240418 ; 0.146341 ; 0.121951 ; 0.174216 ; 0.216028
serveur web bn:02705179n ; 0 ; 0.135889 ; 0.160279 ; 0.139373 ; 0.1777 ; 0.170732 ; 0 ; 0 ; 0.146341 ; 0.167247
fichier bn:00021475n ; 0.0627178 ; 0 ; 0 ; 0 ; 0.087108 ; 0.087108 ; 0 ; 0.0557491 ; 0.0836237 ; 0.0801394
client bn:00019764n ; 0.0139373 ; 0 ; 0.0139373 ; 0.0139373 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0452962 ; 0.0383275 ; 0.0522648 ; 0 ; 0.0383275 ; 0 ; 0 ; 0.0487805
donnée bn:00025314n ; 0 ; 0.0836237 ; 0.0836237 ; 0.0662021 ; 0.101045 ; 0 ; 0.0766551 ; 0 ; 0 ; 0.0905923
php bn:01753580n ; 0.0557491 ; 0 ; 0.0557491 ; 0.0557491 ; 0 ; 0.0557491 ; 0 ; 0 ; 0.0557491 ; 0
java bn:00048043n ; 0.0627178 ; 0.0905923 ; 0.087108 ; 0 ; 0.0905923 ; 0.0905923 ; 0.0627178 ; 0 ; 0 ; 0
code bn:00020354n ; 0.167247 ; 0.195122 ; 0 ; 0.167247 ; 0.261324 ; 0.240418 ; 0.101045 ; 0 ; 0.174216 ; 0.202091
texte bn:00076732n ; 0 ; 0.219512 ; 0.229965 ; 0.181185 ; 0.278746 ; 0.254355 ; 0.160279 ; 0 ; 0.1777 ; 0.250871
concerner bn:00083240v ; 0 ; 0 ; 0.0905923 ; 0.0766551 ; 0.10453 ; 0.0940767 ; 0.0766551 ; 0 ; 0 ; 0.097561
commentaire bn:00020978n ; 0.0662021 ; 0 ; 0.0836237 ; 0.0801394 ; 0.0905923 ; 0 ; 0 ; 0.0592334 ; 0.0905923 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.0452962 ; 0.0452962 ; 0 ; 0.0487805 ; 0 ; 0.0418118 ; 0 ; 0.0452962
fois bn:00032768n ; 0.198606 ; 0.243902 ; 0.247387 ; 0 ; 0.25784 ; 0.28223 ; 0.132404 ; 0 ; 0.191638 ; 0.264808
url bn:00079080n ; 0.097561 ; 0 ; 0.101045 ; 0.0905923 ; 0.111498 ; 0 ; 0 ; 0 ; 0.097561 ; 0.0905923
