Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;7;0;10;;C1,C2,C3,C4,C5,C6,C7,C8,C9,CJA,;
1;4;1;4;fichier bn:00021475n,;C1,C6,C9,CJA,;
2;6;1;6;donnée bn:00025314n,;C2,C3,C4,C5,C7,CJA,;
3;4;1;4;php bn:01753580n,;C3,C4,C6,C9,;
4;5;1;6;commentaire bn:00020978n,;C1,C3,C4,C5,C8,C9,;
5;5;1;5;délimiter bn:00086464v,;C3,C4,C6,C8,CJA,;
6;6;1;6;post bn:01500184n,;C2,C3,C5,C6,C9,CJA,;
7;5;1;5;nombre bn:00058285n,;C4,C5,C7,C8,CJA,;
8;6;1;7;text bn:14981519n,;C1,C2,C3,C4,C5,C6,CJA,;
9;6;1;7;méthode post bn:00045088n,;C2,C3,C6,C7,C8,C9,CJA,;
10;5;1;5;typage bn:00016413n,;C3,C5,C6,C7,CJA,;
11;2;2;2;fichier bn:00021475n,commentaire bn:00020978n,;C1,C9,;
12;3;2;3;fichier bn:00021475n,text bn:14981519n,;C1,C6,CJA,;
13;5;2;5;base de donnée bn:00025333n,donnée bn:00025314n,;C3,C4,C5,C7,CJA,;
14;5;2;5;donnée bn:00025314n,text bn:14981519n,;C2,C3,C4,C5,CJA,;
15;4;2;4;donnée bn:00025314n,méthode post bn:00045088n,;C2,C3,C7,CJA,;
16;3;2;3;php bn:01753580n,code bn:00020354n,;C4,C6,C9,;
17;4;2;4;texte bn:00076732n,typage bn:00016413n,;C5,C6,C7,CJA,;
18;4;2;4;commentaire bn:00020978n,text bn:14981519n,;C1,C3,C4,C5,;
19;4;2;5;commentaire bn:00020978n,personne bn:00046516n,;C3,C4,C5,C8,C9,;
20;3;2;3;délimiter bn:00086464v,nombre bn:00058285n,;C4,C8,CJA,;
21;4;2;4;délimiter bn:00086464v,text bn:14981519n,;C3,C4,C6,CJA,;
22;4;2;4;délimiter bn:00086464v,méthode post bn:00045088n,;C3,C6,C8,CJA,;
23;5;2;5;post bn:01500184n,text bn:14981519n,;C2,C3,C5,C6,CJA,;
24;5;2;5;post bn:01500184n,méthode post bn:00045088n,;C2,C3,C6,C9,CJA,;
25;4;2;4;post bn:01500184n,classe bn:03608262n,;C3,C5,C6,C9,;
26;3;2;3;post bn:01500184n,null bn:15898583n,;C5,C9,CJA,;
27;3;2;3;nombre bn:00058285n,méthode post bn:00045088n,;C7,C8,CJA,;
28;4;2;4;text bn:14981519n,mysql bn:01225760n,;C3,C4,C5,C6,;
29;5;2;5;text bn:14981519n,site bn:00047172n,;C1,C2,C3,C5,CJA,;
30;4;2;4;méthode post bn:00045088n,typage bn:00016413n,;C3,C6,C7,CJA,;
31;3;3;3;fichier bn:00021475n,post bn:01500184n,méthode post bn:00045088n,;C6,C9,CJA,;
32;2;3;2;fichier bn:00021475n,text bn:14981519n,site bn:00047172n,;C1,CJA,;
33;3;3;3;client bn:00019764n,commentaire bn:00020978n,text bn:14981519n,;C1,C3,C4,;
34;4;3;4;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,;C4,C5,C7,CJA,;
35;4;3;4;base de donnée bn:00025333n,donnée bn:00025314n,text bn:14981519n,;C3,C4,C5,CJA,;
36;4;3;4;base de donnée bn:00025333n,donnée bn:00025314n,typage bn:00016413n,;C3,C5,C7,CJA,;
37;3;3;3;php bn:01753580n,commentaire bn:00020978n,personne bn:00046516n,;C3,C4,C9,;
38;3;3;3;commentaire bn:00020978n,délimiter bn:00086464v,personne bn:00046516n,;C3,C4,C8,;
39;3;3;3;commentaire bn:00020978n,nombre bn:00058285n,personne bn:00046516n,;C4,C5,C8,;
40;3;3;3;commentaire bn:00020978n,text bn:14981519n,site bn:00047172n,;C1,C3,C5,;
41;3;3;3;commentaire bn:00020978n,personne bn:00046516n,doctype bn:15839327n,;C4,C8,C9,;
42;2;3;2;délimiter bn:00086464v,nombre bn:00058285n,méthode post bn:00045088n,;C8,CJA,;
43;3;3;3;délimiter bn:00086464v,text bn:14981519n,composer bn:14766022n,;C4,C6,CJA,;
44;3;3;3;délimiter bn:00086464v,méthode post bn:00045088n,visiteur bn:03106425n,;C3,C6,C8,;
45;4;3;4;post bn:01500184n,text bn:14981519n,méthode post bn:00045088n,;C2,C3,C6,CJA,;
46;4;3;4;post bn:01500184n,text bn:14981519n,typage bn:00016413n,;C3,C5,C6,CJA,;
47;2;4;2;fichier bn:00021475n,post bn:01500184n,méthode post bn:00045088n,null bn:15898583n,;C9,CJA,;
48;2;4;2;client bn:00019764n,commentaire bn:00020978n,text bn:14981519n,site bn:00047172n,;C1,C3,;
49;3;4;3;base de donnée bn:00025333n,donnée bn:00025314n,délimiter bn:00086464v,text bn:14981519n,;C3,C4,CJA,;
50;3;4;3;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,text bn:14981519n,;C4,C5,CJA,;
51;3;4;3;base de donnée bn:00025333n,donnée bn:00025314n,méthode post bn:00045088n,typage bn:00016413n,;C3,C7,CJA,;
52;4;4;4;donnée bn:00025314n,post bn:01500184n,text bn:14981519n,site bn:00047172n,;C2,C3,C5,CJA,;
53;3;4;3;php bn:01753580n,délimiter bn:00086464v,text bn:14981519n,mysql bn:01225760n,;C3,C4,C6,;
54;3;4;3;texte bn:00076732n,post bn:01500184n,text bn:14981519n,typage bn:00016413n,;C5,C6,CJA,;
55;3;4;3;texte bn:00076732n,méthode post bn:00045088n,typage bn:00016413n,files bn:00065682n,;C6,C7,CJA,;
56;3;4;3;commentaire bn:00020978n,post bn:01500184n,personne bn:00046516n,classe bn:03608262n,;C3,C5,C9,;
57;3;4;3;commentaire bn:00020978n,personne bn:00046516n,méthode post bn:00045088n,insert bn:03795444n,;C3,C8,C9,;
58;3;4;3;post bn:01500184n,text bn:14981519n,langage de script bn:01431715n,timestamp bn:03603649n,;C2,C5,C6,;
59;1;5;1;fichier bn:00021475n,client bn:00019764n,commentaire bn:00020978n,text bn:14981519n,site bn:00047172n,;C1,;
60;3;5;3;base de donnée bn:00025333n,donnée bn:00025314n,texte bn:00076732n,nombre bn:00058285n,typage bn:00016413n,;C5,C7,CJA,;
61;3;5;3;donnée bn:00025314n,post bn:01500184n,text bn:14981519n,méthode post bn:00045088n,site bn:00047172n,;C2,C3,CJA,;
62;2;5;2;php bn:01753580n,code bn:00020354n,commentaire bn:00020978n,personne bn:00046516n,doctype bn:15839327n,;C4,C9,;
63;3;5;3;php bn:01753580n,post bn:01500184n,méthode post bn:00045088n,classe bn:03608262n,mise bn:00016287n,;C3,C6,C9,;
64;2;5;2;commentaire bn:00020978n,délimiter bn:00086464v,nombre bn:00058285n,personne bn:00046516n,doctype bn:15839327n,;C4,C8,;
65;2;5;2;commentaire bn:00020978n,nombre bn:00058285n,personne bn:00046516n,interpréter bn:00089840v,chaîne bn:00074685n,;C5,C8,;
66;2;5;2;commentaire bn:00020978n,personne bn:00046516n,méthode post bn:00045088n,insert bn:03795444n,doctype bn:15839327n,;C8,C9,;
67;3;5;3;délimiter bn:00086464v,post bn:01500184n,text bn:14981519n,méthode post bn:00045088n,typage bn:00016413n,;C3,C6,CJA,;
68;2;5;2;post bn:01500184n,text bn:14981519n,méthode post bn:00045088n,langage de script bn:01431715n,timestamp bn:03603649n,;C2,C6,;
