X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
fichier bn:00021475n ; 0.238095 ; 0 ; 0 ; 0 ; 0 ; 0.136364 ; 0 ; 0 ; 0.1875 ; 0.127273
client bn:00019764n ; 0.176471 ; 0 ; 0.0740741 ; 0.0789474 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.177419 ; 0.217391 ; 0.24 ; 0 ; 0.1875 ; 0 ; 0 ; 0.245614
donnée bn:00025314n ; 0 ; 0.179487 ; 0.25 ; 0.235294 ; 0.301887 ; 0 ; 0.216216 ; 0 ; 0 ; 0.322034
php bn:01753580n ; 0 ; 0 ; 0.135593 ; 0.190476 ; 0 ; 0.177778 ; 0 ; 0 ; 0.242424 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.105263 ; 0 ; 0.097561 ; 0 ; 0 ; 0.137931 ; 0
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0.130435 ; 0.139535 ; 0.166667 ; 0 ; 0 ; 0.150943
commentaire bn:00020978n ; 0.189189 ; 0 ; 0.242424 ; 0.27451 ; 0.20339 ; 0 ; 0 ; 0.275 ; 0.272727 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.206349 ; 0.255319 ; 0 ; 0.215686 ; 0 ; 0.25 ; 0 ; 0.193548
post bn:01500184n ; 0 ; 0.232558 ; 0.26087 ; 0 ; 0.288136 ; 0.327273 ; 0 ; 0 ; 0.244898 ; 0.25
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.204545 ; 0.18 ; 0 ; 0.166667 ; 0.258065 ; 0 ; 0.192982
text bn:14981519n ; 0.176471 ; 0.207547 ; 0.361111 ; 0.265625 ; 0.338462 ; 0.292308 ; 0 ; 0 ; 0 ; 0.315068
zones bn:00005513n ; 0 ; 0 ; 0.0377358 ; 0 ; 0 ; 0.0512821 ; 0 ; 0 ; 0 ; 0
personne bn:00046516n ; 0 ; 0 ; 0.171875 ; 0.234043 ; 0.163636 ; 0 ; 0 ; 0.294118 ; 0.25641 ; 0
méthode post bn:00045088n ; 0 ; 0.162791 ; 0.253731 ; 0 ; 0 ; 0.272727 ; 0.166667 ; 0.204545 ; 0.208333 ; 0.28125
