X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; commentaire bn:00020978n ; délimiter bn:00086464v ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; zones bn:00005513n ; personne bn:00046516n ; méthode post bn:00045088n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; interpréter bn:00089840v ; serveur bn:00044916n ; côté client bn:03163702n ; typage bn:00016413n ; pointeur bn:03222272n ; casse bn:03225002n ; timestamp bn:03603649n ; session bn:03751534n ; chaîne bn:00074685n ; opérateur bn:16281811n ; classe bn:03608262n ; exceptions bn:00032118n ; xml bn:02771436n ; echo bn:03626250n ; files bn:00065682n ; class bn:03598962n ; configuration bn:03088982n ; insert bn:03795444n ; varchar bn:01838409n ; mise bn:00016287n ; transaction bn:01403911n ; valeur bn:00079508n ; visiteur bn:03106425n ; composer bn:14766022n ; doctype bn:15839327n ; positionnement bn:00030615n ; mysqli bn:01438356n ; null bn:15898583n ; généralité bn:00041249n ; autre bn:00108013a ; avoir accès bn:00082209v ; bienvenue bn:00080852n ; paris bn:00015540n
fichier bn:00021475n ; 1 ; 0.111111 ; 0.0606061 ; 0.05 ; 0.16 ; 0.235294 ; 0.190476 ; 0.1 ; 0.117647 ; 0.195122 ; 0.0666667 ; 0.132075 ; 0.133333 ; 0.0571429 ; 0.210526 ; 0.0769231 ; 0.0714286 ; 0.153846 ; 0.0714286 ; 0.105263 ; 0.0625 ; 0.307692 ; 0.105263 ; 0.121212 ; 0.133333 ; 0.0714286 ; 0.105263 ; 0.105263 ; 0.0625 ; 0.0714286 ; 0.166667 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.266667 ; 0.133333 ; 0.133333 ; 0.105263 ; 0.0625 ; 0.235294 ; 0.105263 ; 0.133333 ; 0.111111 ; 0.235294 ; 0.105263 ; 0.153846 ; 0.133333 ; 0.235294 ; 0.153846 ; 0.153846 ; 0.307692 ; 0.153846 ; 0.153846
client bn:00019764n ; 0.111111 ; 1 ; 0.16 ; 0.125 ; 0.210526 ; 0.153846 ; 0.0555556 ; 0.225806 ; 0.142857 ; 0.0487805 ; 0.0833333 ; 0.148936 ; 0.222222 ; 0.148148 ; 0.0526316 ; 0.222222 ; 0.125 ; 0.2 ; 0.125 ; 0.0714286 ; 0.1 ; 0.1 ; 0.153846 ; 0.0689655 ; 0.222222 ; 0.125 ; 0.0714286 ; 0.153846 ; 0.1 ; 0.285714 ; 0.1 ; 0.125 ; 0.222222 ; 0.125 ; 0.0833333 ; 0.1 ; 0.222222 ; 0.153846 ; 0.222222 ; 0.153846 ; 0.153846 ; 0.222222 ; 0.166667 ; 0.153846 ; 0.153846 ; 0.125 ; 0.1 ; 0.0714286 ; 0.125 ; 0.125 ; 0.1 ; 0.125 ; 0.125
base de donnée bn:00025333n ; 0.0606061 ; 0.16 ; 1 ; 0.758621 ; 0.117647 ; 0.0714286 ; 0.214286 ; 0.177778 ; 0.205128 ; 0.16 ; 0.366667 ; 0.301887 ; 0.0833333 ; 0.210526 ; 0.122449 ; 0.275862 ; 0.0434783 ; 0.258065 ; 0.0434783 ; 0.0714286 ; 0.0833333 ; 0.0833333 ; 0.153846 ; 0.352941 ; 0.181818 ; 0.0909091 ; 0.0714286 ; 0.153846 ; 0.0833333 ; 0.0909091 ; 0.121212 ; 0.0909091 ; 0.0833333 ; 0.0434783 ; 0.12 ; 0.0833333 ; 0.0833333 ; 0.0714286 ; 0.181818 ; 0.0714286 ; 0.363636 ; 0.181818 ; 0.0740741 ; 0.153846 ; 0.0714286 ; 0.0909091 ; 0.0833333 ; 0.153846 ; 0.0434783 ; 0.0434783 ; 0.04 ; 0.0434783 ; 0.0434783
donnée bn:00025314n ; 0.05 ; 0.125 ; 0.758621 ; 1 ; 0.097561 ; 0.0571429 ; 0.171429 ; 0.153846 ; 0.173913 ; 0.226415 ; 0.297297 ; 0.381818 ; 0.0645161 ; 0.177778 ; 0.169811 ; 0.222222 ; 0.0333333 ; 0.352941 ; 0.0689655 ; 0.121212 ; 0.0645161 ; 0.0645161 ; 0.121212 ; 0.292683 ; 0.137931 ; 0.0689655 ; 0.121212 ; 0.121212 ; 0.0645161 ; 0.0689655 ; 0.1 ; 0.0689655 ; 0.0645161 ; 0.0333333 ; 0.09375 ; 0.0645161 ; 0.0645161 ; 0.0571429 ; 0.137931 ; 0.0571429 ; 0.275862 ; 0.137931 ; 0.0588235 ; 0.121212 ; 0.0571429 ; 0.0689655 ; 0.0645161 ; 0.121212 ; 0.0333333 ; 0.0333333 ; 0.03125 ; 0.0333333 ; 0.0333333
php bn:01753580n ; 0.16 ; 0.210526 ; 0.117647 ; 0.097561 ; 1 ; 0.5 ; 0.0769231 ; 0.205128 ; 0.242424 ; 0.181818 ; 0.0606061 ; 0.145455 ; 0.25 ; 0.25 ; 0.195122 ; 0.347826 ; 0.0588235 ; 0.0645161 ; 0.0588235 ; 0.0909091 ; 0.0526316 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0909091 ; 0.2 ; 0.0526316 ; 0.125 ; 0.347826 ; 0.0588235 ; 0.25 ; 0.125 ; 0.1 ; 0.111111 ; 0.25 ; 0.2 ; 0.111111 ; 0.5 ; 0.0909091 ; 0.111111 ; 0.210526 ; 0.2 ; 0.2 ; 0.0588235 ; 0.111111 ; 0.0909091 ; 0.125 ; 0.125 ; 0.25 ; 0.125 ; 0.125
code bn:00020354n ; 0.235294 ; 0.153846 ; 0.0714286 ; 0.0571429 ; 0.5 ; 1 ; 0.111111 ; 0.114286 ; 0.137931 ; 0.1 ; 0.08 ; 0.0784314 ; 0.2 ; 0.142857 ; 0.108108 ; 0.210526 ; 0.111111 ; 0.0416667 ; 0.111111 ; 0.142857 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.0666667 ; 0.0909091 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.210526 ; 0.111111 ; 0.2 ; 0.25 ; 0.166667 ; 0.2 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.333333 ; 0.0666667 ; 0.0909091 ; 0.153846 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.2 ; 0.142857 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.25
texte bn:00076732n ; 0.190476 ; 0.0555556 ; 0.214286 ; 0.171429 ; 0.0769231 ; 0.111111 ; 1 ; 0.0487805 ; 0.121212 ; 0.2 ; 0.24 ; 0.156863 ; 0.142857 ; 0.0588235 ; 0.153846 ; 0.173913 ; 0.0769231 ; 0.16 ; 0.0769231 ; 0.25 ; 0.142857 ; 0.333333 ; 0.25 ; 0.5 ; 0.142857 ; 0.166667 ; 0.25 ; 0.25 ; 0.142857 ; 0.0769231 ; 0.173913 ; 0.166667 ; 0.142857 ; 0.166667 ; 0.5 ; 0.142857 ; 0.0666667 ; 0.0526316 ; 0.142857 ; 0.111111 ; 0.25 ; 0.142857 ; 0.117647 ; 0.25 ; 0.0526316 ; 0.166667 ; 0.142857 ; 0.25 ; 0.166667 ; 0.166667 ; 0.142857 ; 0.166667 ; 0.0769231
commentaire bn:00020978n ; 0.1 ; 0.225806 ; 0.177778 ; 0.153846 ; 0.205128 ; 0.114286 ; 0.0487805 ; 1 ; 0.166667 ; 0.135593 ; 0.190476 ; 0.2 ; 0.0606061 ; 0.774194 ; 0.142857 ; 0.210526 ; 0.0645161 ; 0.170732 ; 0.03125 ; 0.0540541 ; 0.129032 ; 0.0294118 ; 0.114286 ; 0.0784314 ; 0.0606061 ; 0.0645161 ; 0.0540541 ; 0.114286 ; 0.129032 ; 0.0645161 ; 0.210526 ; 0.03125 ; 0.0606061 ; 0.03125 ; 0.0277778 ; 0.129032 ; 0.129032 ; 0.258065 ; 0.129032 ; 0.114286 ; 0.114286 ; 0.0606061 ; 0.117647 ; 0.0540541 ; 0.258065 ; 0.03125 ; 0.129032 ; 0.114286 ; 0.03125 ; 0.03125 ; 0.0606061 ; 0.03125 ; 0.0645161
délimiter bn:00086464v ; 0.117647 ; 0.142857 ; 0.205128 ; 0.173913 ; 0.242424 ; 0.137931 ; 0.121212 ; 0.166667 ; 1 ; 0.150943 ; 0.222222 ; 0.285714 ; 0.16 ; 0.195122 ; 0.288889 ; 0.25 ; 0.08 ; 0.105263 ; 0.0384615 ; 0.0645161 ; 0.0740741 ; 0.16 ; 0.137931 ; 0.195122 ; 0.16 ; 0.0384615 ; 0.0645161 ; 0.137931 ; 0.0740741 ; 0.08 ; 0.111111 ; 0.08 ; 0.16 ; 0.08 ; 0.148148 ; 0.0357143 ; 0.0740741 ; 0.137931 ; 0.0740741 ; 0.137931 ; 0.137931 ; 0.16 ; 0.28 ; 0.32 ; 0.137931 ; 0.08 ; 0.0357143 ; 0.0645161 ; 0.08 ; 0.08 ; 0.0740741 ; 0.08 ; 0.0384615
post bn:01500184n ; 0.195122 ; 0.0487805 ; 0.16 ; 0.226415 ; 0.181818 ; 0.1 ; 0.2 ; 0.135593 ; 0.150943 ; 1 ; 0.0784314 ; 0.40678 ; 0.111111 ; 0.153846 ; 0.38 ; 0.186047 ; 0.027027 ; 0.292683 ; 0.0555556 ; 0.222222 ; 0.0526316 ; 0.111111 ; 0.222222 ; 0.363636 ; 0.111111 ; 0.0555556 ; 0.222222 ; 0.222222 ; 0.0526316 ; 0.0555556 ; 0.416667 ; 0.0555556 ; 0.111111 ; 0.0555556 ; 0.105263 ; 0.111111 ; 0.111111 ; 0.1 ; 0.111111 ; 0.222222 ; 0.222222 ; 0.111111 ; 0.102564 ; 0.1 ; 0.047619 ; 0.0555556 ; 0.111111 ; 0.222222 ; 0.0555556 ; 0.0555556 ; 0.111111 ; 0.0555556 ; 0.0555556
