Objects;Weight
fichier bn:00021475n;0.173913
client bn:00019764n;0.217391
php bn:01753580n;0.217391
code bn:00020354n;0.217391
nombre bn:00058285n;0.347826
zones bn:00005513n;0.173913
salaire bn:15928884n;0.0869565
site bn:00047172n;0.391304
france bn:00036202n;0.0869565
langage de script bn:01431715n;0.26087
serveur bn:00044916n;0.173913
casse bn:03225002n;0.0869565
timestamp bn:03603649n;0.26087
chaîne bn:00074685n;0.173913
opérateur bn:16281811n;0.0869565
exceptions bn:00032118n;0.0869565
echo bn:03626250n;0.0869565
class bn:03598962n;0.173913
positionnement bn:00030615n;0.0869565
généralité bn:00041249n;0.0869565
autre bn:00108013a;0.0869565
bienvenue bn:00080852n;0.0869565
paris bn:00015540n;0.0869565
