X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.285714 ; 0.666667 ; 0.285714 ; 0.181818 ; 0.111111 ; 0.2 ; 0.142857 ; 0.125 ; 0.222222
C2 ; 0.285714 ; 1 ; 0.222222 ; 0.111111 ; 0.4 ; 0.222222 ; 0.166667 ; 0.125 ; 0.111111 ; 0.2
C3 ; 0.666667 ; 0.222222 ; 1 ; 0.222222 ; 0.153846 ; 0.2 ; 0.142857 ; 0.111111 ; 0.1 ; 0.181818
C4 ; 0.285714 ; 0.111111 ; 0.222222 ; 1 ; 0.166667 ; 0.222222 ; 0.4 ; 0.285714 ; 0.25 ; 0.2
C5 ; 0.181818 ; 0.4 ; 0.153846 ; 0.166667 ; 1 ; 0.153846 ; 0.222222 ; 0.3 ; 0.166667 ; 0.333333
C6 ; 0.111111 ; 0.222222 ; 0.2 ; 0.222222 ; 0.153846 ; 1 ; 0.142857 ; 0.111111 ; 0.222222 ; 0.181818
C7 ; 0.2 ; 0.166667 ; 0.142857 ; 0.4 ; 0.222222 ; 0.142857 ; 1 ; 0.5 ; 0.166667 ; 0.285714
C8 ; 0.142857 ; 0.125 ; 0.111111 ; 0.285714 ; 0.3 ; 0.111111 ; 0.5 ; 1 ; 0.125 ; 0.222222
C9 ; 0.125 ; 0.111111 ; 0.1 ; 0.25 ; 0.166667 ; 0.222222 ; 0.166667 ; 0.125 ; 1 ; 0.2
CJA ; 0.222222 ; 0.2 ; 0.181818 ; 0.2 ; 0.333333 ; 0.181818 ; 0.285714 ; 0.222222 ; 0.2 ; 1
