X ; fichier bn:00021475n ; client bn:00019764n ; php bn:01753580n ; code bn:00020354n ; nombre bn:00058285n ; zones bn:00005513n ; salaire bn:15928884n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; serveur bn:00044916n ; casse bn:03225002n ; timestamp bn:03603649n ; chaîne bn:00074685n ; opérateur bn:16281811n ; exceptions bn:00032118n ; echo bn:03626250n ; class bn:03598962n ; positionnement bn:00030615n ; généralité bn:00041249n ; autre bn:00108013a ; bienvenue bn:00080852n ; paris bn:00015540n
fichier bn:00021475n ; 1 ; 0.125 ; 0.285714 ; 0.285714 ; 0.2 ; 0.142857 ; 0.2 ; 0.181818 ; 0.2 ; 0.111111 ; 0.333333 ; 0.2 ; 0.111111 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5
client bn:00019764n ; 0.125 ; 1 ; 0.25 ; 0.25 ; 0.181818 ; 0.285714 ; 0.166667 ; 0.272727 ; 0.166667 ; 0.1 ; 0.125 ; 0.166667 ; 0.1 ; 0.125 ; 0.4 ; 0.166667 ; 0.166667 ; 0.125 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667
php bn:01753580n ; 0.285714 ; 0.25 ; 1 ; 1 ; 0.181818 ; 0.285714 ; 0.166667 ; 0.0769231 ; 0.166667 ; 0.222222 ; 0.285714 ; 0.166667 ; 0.222222 ; 0.125 ; 0.166667 ; 0.166667 ; 0.4 ; 0.285714 ; 0.166667 ; 0.4 ; 0.4 ; 0.4 ; 0.4
code bn:00020354n ; 0.285714 ; 0.25 ; 1 ; 1 ; 0.181818 ; 0.285714 ; 0.166667 ; 0.0769231 ; 0.166667 ; 0.222222 ; 0.285714 ; 0.166667 ; 0.222222 ; 0.125 ; 0.166667 ; 0.166667 ; 0.4 ; 0.285714 ; 0.166667 ; 0.4 ; 0.4 ; 0.4 ; 0.4
nombre bn:00058285n ; 0.2 ; 0.181818 ; 0.181818 ; 0.181818 ; 1 ; 0.0909091 ; 0.25 ; 0.307692 ; 0.111111 ; 0.166667 ; 0.2 ; 0.25 ; 0.166667 ; 0.5 ; 0.111111 ; 0.25 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
zones bn:00005513n ; 0.142857 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.0909091 ; 1 ; 0.2 ; 0.181818 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.25 ; 0.142857 ; 0.5 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.2
salaire bn:15928884n ; 0.2 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.25 ; 0.2 ; 1 ; 0.1 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.181818 ; 0.272727 ; 0.0769231 ; 0.0769231 ; 0.307692 ; 0.181818 ; 0.1 ; 1 ; 0.222222 ; 0.363636 ; 0.181818 ; 0.222222 ; 0.363636 ; 0.181818 ; 0.222222 ; 0.222222 ; 0.1 ; 0.181818 ; 0.222222 ; 0.1 ; 0.1 ; 0.1 ; 0.1
france bn:00036202n ; 0.2 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.111111 ; 0.2 ; 0.333333 ; 0.222222 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
langage de script bn:01431715n ; 0.111111 ; 0.1 ; 0.222222 ; 0.222222 ; 0.166667 ; 0.25 ; 0.142857 ; 0.363636 ; 0.333333 ; 1 ; 0.25 ; 0.333333 ; 1 ; 0.25 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.25 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857
