X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.25 ; 0.181818 ; 0.1 ; 0.111111 ; 0.333333 ; 0.1 ; 0.0909091 ; 0.25 ; 0.111111
C2 ; 0.25 ; 1 ; 0.333333 ; 0.166667 ; 0.181818 ; 0.153846 ; 0.166667 ; 0.153846 ; 0.2 ; 0.181818
C3 ; 0.181818 ; 0.333333 ; 1 ; 0.2 ; 0.1 ; 0.181818 ; 0.2 ; 0.0833333 ; 0.142857 ; 0.222222
C4 ; 0.1 ; 0.166667 ; 0.2 ; 1 ; 0.285714 ; 0.1 ; 0.111111 ; 0.1 ; 0.166667 ; 0.125
C5 ; 0.111111 ; 0.181818 ; 0.1 ; 0.285714 ; 1 ; 0.111111 ; 0.285714 ; 0.25 ; 0.0833333 ; 0.142857
C6 ; 0.333333 ; 0.153846 ; 0.181818 ; 0.1 ; 0.111111 ; 1 ; 0.1 ; 0.2 ; 0.363636 ; 0.111111
C7 ; 0.1 ; 0.166667 ; 0.2 ; 0.111111 ; 0.285714 ; 0.1 ; 1 ; 0.375 ; 0.0769231 ; 0.125
C8 ; 0.0909091 ; 0.153846 ; 0.0833333 ; 0.1 ; 0.25 ; 0.2 ; 0.375 ; 1 ; 0.25 ; 0.111111
C9 ; 0.25 ; 0.2 ; 0.142857 ; 0.166667 ; 0.0833333 ; 0.363636 ; 0.0769231 ; 0.25 ; 1 ; 0.0833333
CJA ; 0.111111 ; 0.181818 ; 0.222222 ; 0.125 ; 0.142857 ; 0.111111 ; 0.125 ; 0.111111 ; 0.0833333 ; 1
