X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.253968 ; 0.253676 ; 0.216667 ; 0.290698 ; 0.275194 ; 0.113122 ; 0.139535 ; 0.229008 ; 0.271255
C2 ; 0.253968 ; 1 ; 0.356364 ; 0.250965 ; 0.294326 ; 0.322344 ; 0.281106 ; 0.173729 ; 0.291971 ; 0.30566
C3 ; 0.253676 ; 0.356364 ; 1 ; 0.273723 ; 0.354167 ; 0.33564 ; 0.252066 ; 0.188976 ; 0.302405 ; 0.421456
C4 ; 0.216667 ; 0.250965 ; 0.273723 ; 1 ; 0.277154 ; 0.262172 ; 0.159817 ; 0.171296 ; 0.284047 ; 0.262745
C5 ; 0.290698 ; 0.294326 ; 0.354167 ; 0.277154 ; 1 ; 0.476562 ; 0.213992 ; 0.15748 ; 0.363971 ; 0.305755
C6 ; 0.275194 ; 0.322344 ; 0.33564 ; 0.262172 ; 0.476562 ; 1 ; 0.187755 ; 0.164659 ; 0.354244 ; 0.305455
C7 ; 0.113122 ; 0.281106 ; 0.252066 ; 0.159817 ; 0.213992 ; 0.187755 ; 1 ; 0.118919 ; 0.173554 ; 0.154812
C8 ; 0.139535 ; 0.173729 ; 0.188976 ; 0.171296 ; 0.15748 ; 0.164659 ; 0.118919 ; 1 ; 0.235808 ; 0.195652
C9 ; 0.229008 ; 0.291971 ; 0.302405 ; 0.284047 ; 0.363971 ; 0.354244 ; 0.173554 ; 0.235808 ; 1 ; 0.270758
CJA ; 0.271255 ; 0.30566 ; 0.421456 ; 0.262745 ; 0.305755 ; 0.305455 ; 0.154812 ; 0.195652 ; 0.270758 ; 1
