Objects;Weight
page web bn:00080778n;0.0668058
page web statiques bn:03576307n;0.00417537
navigateur bn:00013447n;0.609603
serveur web bn:02705179n;0.246347
fichier bn:00021475n;0.0668058
disque dur bn:00073359n;0.0167015
client serveur bn:03496583n;0.0334029
base de donnée bn:00025333n;0.350731
donnée bn:00025314n;0.217119
ensemble bn:00114766r;0.00417537
php bn:01753580n;0.0626305
javascript bn:00055423n;0.231733
perl bn:01723165n;0.0647182
python bn:01713224n;0.0334029
java bn:00048043n;0.121086
code bn:00020354n;0.114823
code source bn:00072947n;0.0334029
fichier texte bn:00028018n;0.384134
texte bn:00076732n;0.415449
mise en forme bn:01681906n;0.0167015
concerner bn:00083240v;0.11691
commentaire bn:00020978n;0.121086
délimiter bn:00086464v;0.0647182
affichage bn:00010421n;0.682672
gras bn:00011848n;0.0167015
fois bn:00032768n;0.402923
chemin bn:03131414n;0.0334029
lien hypertextes bn:00045513n;0.206681
url bn:00079080n;0.127349
textuels bn:00111786a;0.00417537
case à cocher bn:03157691n;0.0334029
page web dynamique bn:00937946n;0.00835073
post bn:01500184n;0.682672
champ de saisie bn:03113401n;0.0668058
size bn:03645138n;0.0647182
text bn:14981519n;0.246347
vide bn:00087578v;0.00835073
liste déroulante bn:00028831n;0.0167015
sélectionner bn:00084931v;0.0167015
déclencher bn:00082306v;0.00835073
réinitialisation bn:00067306n;0.00835073
langage bn:00049910n;0.663883
langage impératif bn:01246770n;0.00417537
impératif bn:00104644a;0.00835073
utilisateur bn:00079373n;0.133612
affectation bn:02806034n;0.112735
booléen bn:00294693n;0.187891
réalité bn:00066414n;0.00835073
concatène bn:00085508v;0.00417537
addition bn:00001296n;0.0334029
soustraction bn:00055233n;0.0334029
multiplié bn:00090977v;0.00417537
modulo bn:00553864n;0.0334029
égalité bn:00031284n;0.0167015
logiques bn:00051845n;0.613779
syntaxe bn:00062118n;0.248434
case bn:04777941n;0.127349
associer bn:00082868v;0.0668058
personne bn:00046516n;0.0626305
prenom bn:15996005n;0.133612
structure de contrôle bn:00047734n;0.25261
définition bn:00025928n;0.248434
initialiser bn:00089742v;0.221294
dépendre bn:00086606v;0.0334029
méthode post bn:00045088n;0.331942
fermeture bn:16858148n;0.402923
passwd bn:14874750n;0.00835073
machine bn:00054050n;0.0334029
mysql bn:01225760n;0.0668058
phase bn:00061898n;0.0334029
être utile bn:00085368v;0.0334029
boucle while bn:03237310n;0.0334029
jour bn:00000086n;0.0334029
euro bn:00031888n;0.00835073
etc bn:00114282r;0.0668058
programmation bn:00021493n;0.231733
site bn:00047172n;0.0167015
détruire bn:00084204v;0.0167015
second bn:00105773a;0.0167015
ordinateur bn:00021464n;0.0167015
université de rouen bn:00601230n;0.00417537
langage de programmation bn:00064652n;0.127349
évolué bn:00084199v;0.00417537
crée bn:00086008v;0.00835073
langage de script bn:01431715n;0.00835073
interpréter bn:00089840v;0.00835073
côté serveur bn:03816678n;0.0334029
serveur bn:00044916n;0.0626305
côté client bn:03163702n;0.0167015
manuel bn:00099315a;0.00417537
français bn:00103321a;0.00417537
typage bn:00016413n;0.0626305
attention bn:00007020n;0.0334029
faute de frappe bn:00031482n;0.00835073
entiers bn:00047009n;0.118998
3.14 bn:00062194n;0.0167015
printf bn:03243783n;0.0334029
comparaison bn:00021304n;0.0605428
switch bn:01071927n;0.204593
expr bn:03120209n;0.00417537
spécifique bn:00111003a;0.00417537
foreach bn:03463379n;0.415449
pointeur bn:03222272n;0.00835073
list bn:04720346n;0.0334029
inverse bn:00056301n;0.00417537
trie bn:02479296n;0.00417537
concaténation bn:03489514n;0.0668058
accès bn:00000759n;0.00417537
strcmp bn:13958358n;0.00835073
trim bn:00074703n;0.0668058
occurence bn:00047732n;0.00417537
décompte bn:00086432v;0.0167015
valeur de retour bn:03828774n;0.0334029
passage par référence bn:14985956n;0.0167015
traiter bn:00092034v;0.00417537
méthode bn:01641329n;0.202505
