X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.20353 ; 0.223749 ; 0.153436 ; 0.180703 ; 0.28484 ; 0.151363 ; 0.178048 ; 0.160307 ; 0.254677 ; 0.18909 ; 0.261304 ; 0.183564 ; 0.240915 ; 0.183689 ; 0.169357 ; 0.142159 ; 0.162995
C11 ; 0.20353 ; 1 ; 0.314417 ; 0.139617 ; 0.223301 ; 0.40644 ; 0.176776 ; 0.238072 ; 0.221515 ; 0.363795 ; 0.199682 ; 0.315565 ; 0.250134 ; 0.275951 ; 0.280312 ; 0.138072 ; 0.168072 ; 0.331905
C12 ; 0.223749 ; 0.314417 ; 1 ; 0.190579 ; 0.25911 ; 0.518607 ; 0.29439 ; 0.359975 ; 0.276737 ; 0.511625 ; 0.280564 ; 0.604422 ; 0.273266 ; 0.375335 ; 0.247205 ; 0.212055 ; 0.208739 ; 0.325605
C13 ; 0.153436 ; 0.139617 ; 0.190579 ; 1 ; 0.168172 ; 0.200396 ; 0.0997224 ; 0.136274 ; 0.126161 ; 0.230324 ; 0.128992 ; 0.184666 ; 0.18166 ; 0.171522 ; 0.11275 ; 0.0774797 ; 0.103593 ; 0.112391
C14 ; 0.180703 ; 0.223301 ; 0.25911 ; 0.168172 ; 1 ; 0.317033 ; 0.192384 ; 0.200261 ; 0.188596 ; 0.336715 ; 0.221184 ; 0.243837 ; 0.171967 ; 0.223092 ; 0.186076 ; 0.108239 ; 0.107256 ; 0.19556
C15 ; 0.28484 ; 0.40644 ; 0.518607 ; 0.200396 ; 0.317033 ; 1 ; 0.29431 ; 0.372554 ; 0.343086 ; 0.63977 ; 0.337858 ; 0.550112 ; 0.295045 ; 0.396761 ; 0.304962 ; 0.191492 ; 0.190876 ; 0.353786
C16 ; 0.151363 ; 0.176776 ; 0.29439 ; 0.0997224 ; 0.192384 ; 0.29431 ; 1 ; 0.223093 ; 0.217325 ; 0.254918 ; 0.189684 ; 0.287806 ; 0.175411 ; 0.212544 ; 0.164568 ; 0.129025 ; 0.121038 ; 0.232836
C17 ; 0.178048 ; 0.238072 ; 0.359975 ; 0.136274 ; 0.200261 ; 0.372554 ; 0.223093 ; 1 ; 0.209951 ; 0.323312 ; 0.203902 ; 0.349336 ; 0.174729 ; 0.252098 ; 0.201631 ; 0.169393 ; 0.115739 ; 0.20276
C18 ; 0.160307 ; 0.221515 ; 0.276737 ; 0.126161 ; 0.188596 ; 0.343086 ; 0.217325 ; 0.209951 ; 1 ; 0.305982 ; 0.18732 ; 0.282488 ; 0.204028 ; 0.271983 ; 0.218163 ; 0.147717 ; 0.120646 ; 0.272307
C19 ; 0.254677 ; 0.363795 ; 0.511625 ; 0.230324 ; 0.336715 ; 0.63977 ; 0.254918 ; 0.323312 ; 0.305982 ; 1 ; 0.303898 ; 0.498301 ; 0.284173 ; 0.439149 ; 0.250652 ; 0.192162 ; 0.216471 ; 0.315274
C2 ; 0.18909 ; 0.199682 ; 0.280564 ; 0.128992 ; 0.221184 ; 0.337858 ; 0.189684 ; 0.203902 ; 0.18732 ; 0.303898 ; 1 ; 0.284323 ; 0.214422 ; 0.184937 ; 0.150249 ; 0.166453 ; 0.165873 ; 0.18585
C3 ; 0.261304 ; 0.315565 ; 0.604422 ; 0.184666 ; 0.243837 ; 0.550112 ; 0.287806 ; 0.349336 ; 0.282488 ; 0.498301 ; 0.284323 ; 1 ; 0.300281 ; 0.353545 ; 0.255588 ; 0.262303 ; 0.208568 ; 0.278217
C4 ; 0.183564 ; 0.250134 ; 0.273266 ; 0.18166 ; 0.171967 ; 0.295045 ; 0.175411 ; 0.174729 ; 0.204028 ; 0.284173 ; 0.214422 ; 0.300281 ; 1 ; 0.226799 ; 0.139633 ; 0.150387 ; 0.172929 ; 0.208348
C5 ; 0.240915 ; 0.275951 ; 0.375335 ; 0.171522 ; 0.223092 ; 0.396761 ; 0.212544 ; 0.252098 ; 0.271983 ; 0.439149 ; 0.184937 ; 0.353545 ; 0.226799 ; 1 ; 0.328642 ; 0.144752 ; 0.140951 ; 0.297167
C6 ; 0.183689 ; 0.280312 ; 0.247205 ; 0.11275 ; 0.186076 ; 0.304962 ; 0.164568 ; 0.201631 ; 0.218163 ; 0.250652 ; 0.150249 ; 0.255588 ; 0.139633 ; 0.328642 ; 1 ; 0.106099 ; 0.099187 ; 0.286503
C7 ; 0.169357 ; 0.138072 ; 0.212055 ; 0.0774797 ; 0.108239 ; 0.191492 ; 0.129025 ; 0.169393 ; 0.147717 ; 0.192162 ; 0.166453 ; 0.262303 ; 0.150387 ; 0.144752 ; 0.106099 ; 1 ; 0.113383 ; 0.106455
C8 ; 0.142159 ; 0.168072 ; 0.208739 ; 0.103593 ; 0.107256 ; 0.190876 ; 0.121038 ; 0.115739 ; 0.120646 ; 0.216471 ; 0.165873 ; 0.208568 ; 0.172929 ; 0.140951 ; 0.099187 ; 0.113383 ; 1 ; 0.142191
C9 ; 0.162995 ; 0.331905 ; 0.325605 ; 0.112391 ; 0.19556 ; 0.353786 ; 0.232836 ; 0.20276 ; 0.272307 ; 0.315274 ; 0.18585 ; 0.278217 ; 0.208348 ; 0.297167 ; 0.286503 ; 0.106455 ; 0.142191 ; 1
