X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; javascript bn:00055423n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; commentaire bn:00020978n ; délimiter bn:00086464v ; gras bn:00011848n ; fois bn:00032768n ; lien hypertextes bn:00045513n ; url bn:00079080n ; case à cocher bn:03157691n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; sélectionner bn:00084931v ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; affectation bn:02806034n ; syntaxe bn:00062118n ; case bn:04777941n ; associer bn:00082868v ; personne bn:00046516n ; structure de contrôle bn:00047734n ; définition bn:00025928n ; méthode post bn:00045088n ; fermeture bn:16858148n ; passwd bn:14874750n ; machine bn:00054050n ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; programmation bn:00021493n ; site bn:00047172n ; types bn:00016413n ; session bn:03751534n ; entités bn:00031027n ; côté serveur bn:03816678n ; langage de script bn:01431715n ; internet bn:00024712n ; avoir accès bn:00082209v ; système bn:15125301n ; valeur par défaut bn:03854990n ; menu bn:00021485n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; class bn:03598962n ; composer bn:14766022n ; chaîne bn:00074685n ; helvetica bn:00043646n ; côté client bn:03163702n ; list bn:04720346n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; conditionnelle bn:00100214a ; foreach bn:03463379n ; pouvoir bn:00084450v ; mot bn:00081546n ; information bn:00046705n ; varchar bn:01838409n ; timestamp bn:03603649n ; easyphp bn:14837849n ; casse bn:03225002n ; sauvegarder bn:00093281v ; insert bn:03795444n ; pouvoir bn:00084451v ; impossible bn:00104687a ; fonctionnalité bn:00036836n ; couleurs bn:00020726n ; bienvenue bn:00080852n ; id bn:03885719n ; paris bn:00015540n ; france bn:00036202n ; programmation web bn:03446093n ; interpréter bn:00089840v ; opérateurs bn:16281811n ; pointeur bn:03222272n ; cle bn:04756252n ; classes bn:03608262n ; header bn:00043309n ; visiteur bn:03106425n ; null bn:15898583n ; echo bn:03626250n ; positionnement bn:00030615n ; exe bn:14503132n ; rue bn:00074595n ; thomas bn:00005240n ; doctype bn:15839327n ; file bn:00065682n ; mysqli bn:01438356n ; attribut bn:00007068n ; moteur bn:00030850n ; transaction bn:01403911n ; valeur bn:00079508n ; exception bn:00032118n ; head bn:02338897n ; wamp bn:01708928n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
page web bn:00080778n ; 1 ; 0.0749774 ; 0.266158 ; 0.104778 ; 0.062302 ; 0.0317797 ; 0.016684 ; 0.0512077 ; 0.17594 ; 0.00812065 ; 0.237042 ; 0.229587 ; 0.0799397 ; 0.0964247 ; 0.00926999 ; 0.12479 ; 0.0948148 ; 0.172114 ; 0.0315271 ; 0.162684 ; 0.0360767 ; 0.146325 ; 0.00472255 ; 0.0306878 ; 0.0379597 ; 0.246975 ; 0.0319043 ; 0.082361 ; 0.0603774 ; 0.214719 ; 0.0348964 ; 0.160401 ; 0.167386 ; 0.0733163 ; 0.0457291 ; 0.00236686 ; 0.455516 ; 0.264854 ; 0.00474496 ; 0.129925 ; 0.107287 ; 0.0977814 ; 0.136674 ; 0.0735469 ; 0.0627572 ; 0.478428 ; 0.0313901 ; 0.338923 ; 0.00940071 ; 0.175397 ; 0.0942085 ; 0.0759193 ; 0.0347448 ; 0.00940071 ; 0.132539 ; 0.0648045 ; 0.0365714 ; 0.0189798 ; 0.00237248 ; 0.736655 ; 0.0328947 ; 0.267409 ; 0.0616016 ; 0.0670391 ; 0.0711744 ; 0.0835465 ; 0.0368664 ; 0.0367816 ; 0.0934959 ; 0.00940071 ; 0.376508 ; 0.0367394 ; 0.0367394 ; 0.0368239 ; 0.0189798 ; 0.0711744 ; 0.142349 ; 0.141053 ; 0.00237248 ; 0.0186698 ; 0.0189798 ; 0.109389 ; 0.00948992 ; 0.116869 ; 0.00472255 ; 0.00472255 ; 0.00940071 ; 0.00948992 ; 0.00472255 ; 0.0344009 ; 0.00857449 ; 0.119958 ; 0.0367816 ; 0.0664294 ; 0.00922722 ; 0.0189798 ; 0.00237248 ; 0.00948992 ; 0.00948992 ; 0.00237248 ; 0.00901917 ; 0.0353591 ; 0.00472255 ; 0.00940071 ; 0.0367816 ; 0.00948992 ; 0.0186263 ; 0.00474496 ; 0.00472255 ; 0.00472255 ; 0.00237248 ; 0.00237248 ; 0.00237248 ; 0.00237248 ; 0.00237248 ; 0.00237248
navigateur bn:00013447n ; 0.0749774 ; 1 ; 0.0848749 ; 0.191304 ; 0.0159363 ; 0.0528634 ; 0.0961098 ; 0.0496454 ; 0.0975813 ; 0.0219178 ; 0.12229 ; 0.0208333 ; 0.0660592 ; 0.032 ; 0.0107817 ; 0.0971014 ; 0.0424628 ; 0.0350978 ; 0.014733 ; 0.228435 ; 0.0628141 ; 0.0494966 ; 0.00566572 ; 0.0717489 ; 0.0440771 ; 0.051046 ; 0.102249 ; 0.0587659 ; 0.0536913 ; 0.0908193 ; 0.0760095 ; 0.111475 ; 0.0625 ; 0.0931232 ; 0.175698 ; 0.00573066 ; 0.0457797 ; 0.0764873 ; 0.00285714 ; 0.0143627 ; 0.0223214 ; 0.0714286 ; 0.0613108 ; 0.0407125 ; 0.130526 ; 0.0447871 ; 0.115789 ; 0.0635417 ; 0.0111421 ; 0.0671723 ; 0.0721769 ; 0.0198511 ; 0.0362812 ; 0.0111421 ; 0.105731 ; 0.0362812 ; 0.00982801 ; 0.0225352 ; 0.00576369 ; 0.034188 ; 0.0372093 ; 0.0482977 ; 0.0306513 ; 0.0749415 ; 0.0200501 ; 0.0884831 ; 0.0412371 ; 0.0201005 ; 0.0760456 ; 0.00554017 ; 0.0714286 ; 0.0200501 ; 0.0409207 ; 0.0201511 ; 0.00554017 ; 0.0200501 ; 0.0354767 ; 0.0929368 ; 0.00287356 ; 0.0443213 ; 0.00554017 ; 0.0464441 ; 0.00566572 ; 0.0659794 ; 0.011396 ; 0.011396 ; 0.0225352 ; 0.0230548 ; 0.0230548 ; 0.0107527 ; 0.0697115 ; 0.0607211 ; 0.0410256 ; 0.0775401 ; 0.0440771 ; 0.0111421 ; 0.00576369 ; 0.00566572 ; 0.011396 ; 0.00576369 ; 0.0390625 ; 0.0352113 ; 0.0230548 ; 0.0111421 ; 0.0410256 ; 0.011396 ; 0.0106667 ; 0.00285714 ; 0.011396 ; 0.0230548 ; 0.00287356 ; 0.00287356 ; 0.00287356 ; 0.00576369 ; 0.00576369 ; 0.00576369
serveur web bn:02705179n ; 0.266158 ; 0.0848749 ; 1 ; 0.0963093 ; 0.0388601 ; 0.0369955 ; 0.0381451 ; 0.0926626 ; 0.618188 ; 0.00983359 ; 0.314903 ; 0.143653 ; 0.115597 ; 0.0476723 ; 0.00564546 ; 0.275862 ; 0.126804 ; 0.389888 ; 0.0390368 ; 0.159607 ; 0.0119048 ; 0.235376 ; 0.00151057 ; 0.0213471 ; 0.0121029 ; 0.343797 ; 0.037308 ; 0.179469 ; 0.0671288 ; 0.286687 ; 0.022685 ; 0.273266 ; 0.426887 ; 0.107492 ; 0.0669263 ; 0.000755858 ; 0.145234 ; 0.156203 ; 0.00151286 ; 0.0445255 ; 0.202235 ; 0.134949 ; 0.0447928 ; 0.0234493 ; 0.0718608 ; 0.406959 ; 0.0291225 ; 0.254917 ; 0.00605144 ; 0.241301 ; 0.217095 ; 0.0242057 ; 0.0416036 ; 0.00605144 ; 0.209204 ; 0.0416036 ; 0.0242057 ; 0.00301659 ; 0.00075643 ; 0.234871 ; 0.0374433 ; 0.369516 ; 0.072239 ; 0.0423601 ; 0.0226929 ; 0.105434 ; 0.0215582 ; 0.0223147 ; 0.189864 ; 0.00605144 ; 0.32829 ; 0.0226929 ; 0.0226929 ; 0.0219365 ; 0.00605144 ; 0.0226929 ; 0.0453858 ; 0.0653619 ; 0.00075643 ; 0.0113464 ; 0.00605144 ; 0.141452 ; 0.00302572 ; 0.0402957 ; 0.00302572 ; 0.00302572 ; 0.00605144 ; 0.00151057 ; 0.00302572 ; 0.0109682 ; 0.0370651 ; 0.0801815 ; 0.0223147 ; 0.0116148 ; 0.0121029 ; 0.00605144 ; 0.00075643 ; 0.00302572 ; 0.00302572 ; 0.00075643 ; 0.0116323 ; 0.0239342 ; 0.00302572 ; 0.00605144 ; 0.0223147 ; 0.00302572 ; 0.0121029 ; 0.00151286 ; 0.00302572 ; 0.00302572 ; 0.00075643 ; 0.00075643 ; 0.00075643 ; 0.00075643 ; 0.00075643 ; 0.00075643
fichier bn:00021475n ; 0.104778 ; 0.191304 ; 0.0963093 ; 1 ; 0.0126984 ; 0.0133779 ; 0.0133556 ; 0.142857 ; 0.0969793 ; 0.0287474 ; 0.0789074 ; 0.0178571 ; 0.0846075 ; 0.0254777 ; 0.00801603 ; 0.123888 ; 0.130346 ; 0.0887006 ; 0.104065 ; 0.136882 ; 0.0299065 ; 0.0723173 ; 0.00835073 ; 0.0430293 ; 0.0325866 ; 0.0889064 ; 0.0245776 ; 0.0951087 ; 0.0441989 ; 0.0853873 ; 0.0582878 ; 0.10089 ; 0.169875 ; 0.0645161 ; 0.185393 ; 0.00842105 ; 0.07375 ; 0.0325581 ; 0.00209205 ; 0.0484115 ; 0.0788136 ; 0.0544662 ; 0.0260586 ; 0.0307102 ; 0.0488959 ; 0.0785814 ; 0.0514286 ; 0.109073 ; 0.0165631 ; 0.0589914 ; 0.0628166 ; 0.0631164 ; 0.0281195 ; 0.00408998 ; 0.0957821 ; 0.0578662 ; 0.0150659 ; 0.0165631 ; 0.00421053 ; 0.0568949 ; 0.0286738 ; 0.0843913 ; 0.0246154 ; 0.0576577 ; 0.0151803 ; 0.12875 ; 0.0310078 ; 0.0152091 ; 0.0665939 ; 0.00821355 ; 0.0427019 ; 0.00753296 ; 0.0308285 ; 0.0309478 ; 0.00408998 ; 0.0308285 ; 0.0276339 ; 0.0766917 ; 0.00210084 ; 0.0160966 ; 0.0165631 ; 0.0391677 ; 0.00835073 ; 0.0522023 ; 0.00835073 ; 0.004158 ; 0.0165631 ; 0.0168421 ; 0.00835073 ; 0.008 ; 0.0141593 ; 0.023845 ; 0.0152091 ; 0.0290698 ; 0.0325866 ; 0.00821355 ; 0.00421053 ; 0.004158 ; 0.00835073 ; 0.00421053 ; 0.0292969 ; 0.0142602 ; 0.0168421 ; 0.00821355 ; 0.0152091 ; 0.004158 ; 0.0039604 ; 0.00209205 ; 0.00835073 ; 0.00835073 ; 0.00210084 ; 0.00210084 ; 0.00210084 ; 0.00421053 ; 0.00421053 ; 0.00421053
client bn:00019764n ; 0.062302 ; 0.0159363 ; 0.0388601 ; 0.0126984 ; 1 ; 0.113636 ; 0.0573477 ; 0.02 ; 0.0713348 ; 0.0106952 ; 0.056137 ; 0.056338 ; 0.0804598 ; 0.106667 ; 0.0914286 ; 0.0222905 ; 0.0204604 ; 0.112259 ; 0.045584 ; 0.0281195 ; 0.0717489 ; 0.0553907 ; 0.0239521 ; 0.057554 ; 0.0209424 ; 0.0571992 ; 0.0923077 ; 0.0704057 ; 0.0698795 ; 0.03367 ; 0.0306513 ; 0.0501792 ; 0.0515588 ; 0.0140105 ; 0.0290135 ; 0.0121212 ; 0.0600775 ; 0.22293 ; 0.0245399 ; 0.0854701 ; 0.0344456 ; 0.163121 ; 0.0529801 ; 0.0368664 ; 0.0474777 ; 0.05 ; 0.0169492 ; 0.0384615 ; 0.0112994 ; 0.0389105 ; 0.0453901 ; 0.0179372 ; 0.0622568 ; 0.0467836 ; 0.034292 ; 0.0301887 ; 0.0758294 ; 0.0228571 ; 0.0122699 ; 0.0813793 ; 0.0314961 ; 0.0545791 ; 0.0925926 ; 0.0617761 ; 0.0772947 ; 0.0137221 ; 0.0377358 ; 0.0776699 ; 0.0246533 ; 0.0467836 ; 0.113391 ; 0.0772947 ; 0.0372093 ; 0.00913242 ; 0.0467836 ; 0.0772947 ; 0.0599251 ; 0.0831099 ; 0.0122699 ; 0.021164 ; 0.0112994 ; 0.0612648 ; 0.0118343 ; 0.0246154 ; 0.0239521 ; 0.0239521 ; 0.0228571 ; 0.0118343 ; 0.0239521 ; 0.0909091 ; 0.0653061 ; 0.0869565 ; 0.0776699 ; 0.0788177 ; 0.0209424 ; 0.0467836 ; 0.0122699 ; 0.0239521 ; 0.0118343 ; 0.00609756 ; 0.0386473 ; 0.06639 ; 0.0118343 ; 0.0228571 ; 0.0373832 ; 0.0239521 ; 0.0893855 ; 0.0245399 ; 0.0118343 ; 0.0118343 ; 0.0122699 ; 0.0122699 ; 0.0122699 ; 0.00609756 ; 0.00609756 ; 0.00609756
base de donnée bn:00025333n ; 0.0317797 ; 0.0528634 ; 0.0369955 ; 0.0133779 ; 0.113636 ; 1 ; 0.421622 ; 0.0217391 ; 0.0427277 ; 0.0129032 ; 0.0823293 ; 0.0923077 ; 0.0876133 ; 0.056338 ; 0.0258065 ; 0.0384 ; 0.0105541 ; 0.0667116 ; 0.00600601 ; 0.0146789 ; 0.131148 ; 0.0593654 ; 0.00724638 ; 0.0650407 ; 0.0124224 ; 0.0307235 ; 0.0521173 ; 0.0359281 ; 0.019802 ; 0.0672269 ; 0.0723982 ; 0.027027 ; 0.0609982 ; 0.0621359 ; 0.0615711 ; 0.0150376 ; 0.0320641 ; 0.121649 ; 0.0150376 ; 0.0115942 ; 0.0175246 ; 0.0909091 ; 0.0592593 ; 0.0903955 ; 0.0993151 ; 0.0254885 ; 0.04 ; 0.0202788 ; 0.00684932 ; 0.0785414 ; 0.0796325 ; 0.0209424 ; 0.131455 ; 0.027972 ; 0.0686391 ; 0.0343348 ; 0.0427807 ; 0.027972 ; 0.00757576 ; 0.0415512 ; 0.0176991 ; 0.0297398 ; 0.0989761 ; 0.0657895 ; 0.0437158 ; 0.0448598 ; 0.0930233 ; 0.043956 ; 0.0259319 ; 0.027972 ; 0.062766 ; 0.201258 ; 0.201258 ; 0.0106952 ; 0.027972 ; 0.0437158 ; 0.0680851 ; 0.021978 ; 0.00757576 ; 0.0522876 ; 0.00684932 ; 0.0676533 ; 0.0145985 ; 0.0561404 ; 0.0145985 ; 0.0296296 ; 0.057554 ; 0.0296296 ; 0.0610687 ; 0.0526316 ; 0.150754 ; 0.0958466 ; 0.043956 ; 0.0446927 ; 0.108844 ; 0.027972 ; 0.0152672 ; 0.0145985 ; 0.0145985 ; 0.00757576 ; 0.0457143 ; 0.076555 ; 0.0145985 ; 0.027972 ; 0.091954 ; 0.0296296 ; 0.108844 ; 0.0150376 ; 0.0296296 ; 0.0296296 ; 0.0152672 ; 0.0152672 ; 0.0152672 ; 0.0152672 ; 0.00757576 ; 0.00757576
donnée bn:00025314n ; 0.016684 ; 0.0961098 ; 0.0381451 ; 0.0133556 ; 0.0573477 ; 0.421622 ; 1 ; 0.0107239 ; 0.0440605 ; 0.0128205 ; 0.0465567 ; 0.0478821 ; 0.0874811 ; 0.0273038 ; 0.025641 ; 0.0691358 ; 0.0213049 ; 0.0380079 ; 0.00598802 ; 0.0297398 ; 0.130435 ; 0.109208 ; 0.00719424 ; 0.0647773 ; 0.0123457 ; 0.0156098 ; 0.0451613 ; 0.0358852 ; 0.0197531 ; 0.037296 ; 0.0720721 ; 0.0288548 ; 0.0348348 ; 0.0538462 ; 0.0614407 ; 0.0149254 ; 0.032 ; 0.0623782 ; 0.0149254 ; 0.0115607 ; 0.0175055 ; 0.0888502 ; 0.0590406 ; 0.0898876 ; 0.0522876 ; 0.0134228 ; 0.0829016 ; 0.0202532 ; 0.00680272 ; 0.0433604 ; 0.042836 ; 0.0208333 ; 0.0660793 ; 0.0277778 ; 0.0685579 ; 0.034188 ; 0.0208333 ; 0.0277778 ; 0.0075188 ; 0.0217096 ; 0.0358744 ; 0.0297122 ; 0.0521173 ; 0.0338983 ; 0.0434783 ; 0.0873786 ; 0.0924855 ; 0.0213904 ; 0.0496689 ; 0.0277778 ; 0.0638298 ; 0.0909091 ; 0.2 ; 0.0215054 ; 0.0277778 ; 0.0212766 ; 0.0677966 ; 0.0219178 ; 0.0075188 ; 0.0519481 ; 0.00680272 ; 0.0675105 ; 0.00719424 ; 0.0559441 ; 0.0144928 ; 0.0606061 ; 0.0571429 ; 0.0294118 ; 0.0606061 ; 0.0254777 ; 0.292135 ; 0.0487805 ; 0.0213904 ; 0.0444444 ; 0.108108 ; 0.0277778 ; 0.0151515 ; 0.00719424 ; 0.00719424 ; 0.0075188 ; 0.0454545 ; 0.0366972 ; 0.0144928 ; 0.0277778 ; 0.0914286 ; 0.0294118 ; 0.0512821 ; 0.00740741 ; 0.0294118 ; 0.0294118 ; 0.0151515 ; 0.0151515 ; 0.0151515 ; 0.0151515 ; 0.0075188 ; 0.0075188
php bn:01753580n ; 0.0512077 ; 0.0496454 ; 0.0926626 ; 0.142857 ; 0.02 ; 0.0217391 ; 0.0107239 ; 1 ; 0.0643668 ; 0.106122 ; 0.0511464 ; 0.0460123 ; 0.0195599 ; 0.040201 ; 0.0148699 ; 0.0231884 ; 0.0615199 ; 0.0593009 ; 0.145408 ; 0.0503937 ; 0.0126183 ; 0.0286482 ; 0.00796813 ; 0.0107527 ; 0.0613027 ; 0.102197 ; 0.0380048 ; 0.0652884 ; 0.0313725 ; 0.0524659 ; 0.0233236 ; 0.0717949 ; 0.11138 ; 0.0998336 ; 0.0549828 ; 0.00403226 ; 0.0261011 ; 0.0427892 ; 0.00403226 ; 0.0357942 ; 0.0932914 ; 0.0438472 ; 0.0204082 ; 0.0132013 ; 0.0381862 ; 0.0509149 ; 0.0454545 ; 0.0360767 ; 0.0316206 ; 0.0376028 ; 0.0776316 ; 0.0546075 ; 0.095679 ; 0.0155642 ; 0.0324873 ; 0.0230548 ; 0.0546075 ; 0.00772201 ; 0.00816327 ; 0.0383693 ; 0.0238095 ; 0.048927 ; 0.0380952 ; 0.0984615 ; 0.013289 ; 0.049922 ; 0.0134228 ; 0.027027 ; 0.0447552 ; 0.0155642 ; 0.0490104 ; 0.026936 ; 0.013289 ; 0.0271186 ; 0.00772201 ; 0.026936 ; 0.0110803 ; 0.0340426 ; 0.00406504 ; 0.0147601 ; 0.0316206 ; 0.026534 ; 0.0326531 ; 0.019656 ; 0.00796813 ; 0.00396825 ; 0.0155642 ; 0.00396825 ; 0.00796813 ; 0.0148148 ; 0.0238806 ; 0.0178174 ; 0.027027 ; 0.013468 ; 0.014652 ; 0.00772201 ; 0.00406504 ; 0.0160643 ; 0.0326531 ; 0.00816327 ; 0.0569395 ; 0.0495356 ; 0.0160643 ; 0.00772201 ; 0.0133333 ; 0.00396825 ; 0.014652 ; 0.00809717 ; 0.0160643 ; 0.00796813 ; 0.00406504 ; 0.00406504 ; 0.00406504 ; 0.00406504 ; 0.00816327 ; 0.00816327
javascript bn:00055423n ; 0.17594 ; 0.0975813 ; 0.618188 ; 0.0969793 ; 0.0713348 ; 0.0427277 ; 0.0440605 ; 0.0643668 ; 1 ; 0.0065331 ; 0.208676 ; 0.0918572 ; 0.190062 ; 0.0550301 ; 0.0122538 ; 0.25436 ; 0.124807 ; 0.38305 ; 0.0462379 ; 0.184683 ; 0.0137398 ; 0.234611 ; 0.00350109 ; 0.0382467 ; 0.0140044 ; 0.228934 ; 0.0658348 ; 0.321225 ; 0.122976 ; 0.331729 ; 0.0261803 ; 0.263521 ; 0.375444 ; 0.0701268 ; 0.0671492 ; 0.00175055 ; 0.0884992 ; 0.180744 ; 0.00175055 ; 0.0485966 ; 0.189888 ; 0.215755 ; 0.0517241 ; 0.0271335 ; 0.083151 ; 0.242514 ; 0.033698 ; 0.153606 ; 0.00700219 ; 0.279212 ; 0.251204 ; 0.013811 ; 0.04814 ; 0.00700219 ; 0.239659 ; 0.04814 ; 0.0280088 ; 0.00348888 ; 0.000875274 ; 0.147709 ; 0.023176 ; 0.232338 ; 0.0835886 ; 0.0490153 ; 0.0138348 ; 0.0676899 ; 0.0249453 ; 0.0258206 ; 0.124244 ; 0.00700219 ; 0.379869 ; 0.0262582 ; 0.0262582 ; 0.0138468 ; 0.00700219 ; 0.0262582 ; 0.0525164 ; 0.0753512 ; 0.000875274 ; 0.0131291 ; 0.00348888 ; 0.163676 ; 0.00350109 ; 0.0464621 ; 0.00350109 ; 0.00350109 ; 0.00700219 ; 0.00174749 ; 0.00350109 ; 0.00696258 ; 0.0428884 ; 0.092779 ; 0.0258206 ; 0.0134199 ; 0.0140044 ; 0.00700219 ; 0.000875274 ; 0.00350109 ; 0.00350109 ; 0.000875274 ; 0.0134432 ; 0.0276458 ; 0.00350109 ; 0.00700219 ; 0.0258206 ; 0.00350109 ; 0.0140044 ; 0.00175055 ; 0.00350109 ; 0.00350109 ; 0.000875274 ; 0.000875274 ; 0.000875274 ; 0.000875274 ; 0.000875274 ; 0.000875274
code bn:00020354n ; 0.00812065 ; 0.0219178 ; 0.00983359 ; 0.0287474 ; 0.0106952 ; 0.0129032 ; 0.0128205 ; 0.106122 ; 0.0065331 ; 1 ; 0.00829016 ; 0.0175824 ; 0.00654664 ; 0.0209424 ; 0.08 ; 0.00675105 ; 0.0409449 ; 0.00544218 ; 0.0747664 ; 0.0181818 ; 0.02 ; 0.00867679 ; 0.0625 ; 0.0129032 ; 0.0740741 ; 0.0174102 ; 0.00925926 ; 0.0106383 ; 0.0132013 ; 0.0103093 ; 0.03125 ; 0.013712 ; 0.00999375 ; 0.0184332 ; 0.0422164 ; 0.0344828 ; 0.00985222 ; 0.0185615 ; 0.0344828 ; 0.0166667 ; 0.0325815 ; 0.00386847 ; 0.0111732 ; 0.0232558 ; 0.0188679 ; 0.00731261 ; 0.040404 ; 0.0115607 ; 0.105263 ; 0.00606061 ; 0.0135135 ; 0.0465116 ; 0.030303 ; 0.105263 ; 0.0101266 ; 0.030303 ; 0.0465116 ; 0.0243902 ; 0.037037 ; 0.00622084 ; 0.0330579 ; 0.0162107 ; 0.00930233 ; 0.0147059 ; 0.0487805 ; 0.0365297 ; 0.0121951 ; 0.0240964 ; 0.03125 ; 0.05 ; 0.00902935 ; 0.0487805 ; 0.0117647 ; 0.05 ; 0.0243902 ; 0.0117647 ; 0.0138889 ; 0.0152091 ; 0.037037 ; 0.037037 ; 0.105263 ; 0.0204082 ; 0.0625 ; 0.0103093 ; 0.0625 ; 0.030303 ; 0.105263 ; 0.030303 ; 0.030303 ; 0.0377358 ; 0.0333333 ; 0.017094 ; 0.0493827 ; 0.025 ; 0.0357143 ; 0.05 ; 0.037037 ; 0.0625 ; 0.133333 ; 0.0769231 ; 0.0540541 ; 0.0169492 ; 0.0625 ; 0.05 ; 0.0240964 ; 0.030303 ; 0.0175439 ; 0.0344828 ; 0.133333 ; 0.0625 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.0769231 ; 0.0769231
