X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
navigateur bn:00013447n ; 0 ; 0 ; 0.111842 ; 0.0307018 ; 0.0657895 ; 0 ; 0.105263 ; 0 ; 0 ; 0 ; 0.0701754 ; 0.140351 ; 0 ; 0.133772 ; 0.122807 ; 0.0482456 ; 0.0307018 ; 0.0899123
fichier bn:00021475n ; 0.0153509 ; 0 ; 0 ; 0.0175439 ; 0.0219298 ; 0 ; 0.0219298 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0328947 ; 0 ; 0 ; 0.0241228
client bn:00019764n ; 0.0175439 ; 0 ; 0.0679825 ; 0 ; 0.0328947 ; 0.0504386 ; 0 ; 0.0328947 ; 0 ; 0.0482456 ; 0 ; 0.0745614 ; 0.0372807 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0964912 ; 0 ; 0 ; 0 ; 0.0679825 ; 0.0460526 ; 0 ; 0.0745614 ; 0 ; 0.0964912 ; 0.0482456 ; 0.0811404 ; 0 ; 0.0438596 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.0921053 ; 0 ; 0 ; 0 ; 0.0811404 ; 0 ; 0 ; 0.0789474 ; 0.0526316 ; 0.0986842 ; 0.0460526 ; 0.0855263 ; 0 ; 0.0438596 ; 0 ; 0
php bn:01753580n ; 0 ; 0.0219298 ; 0 ; 0.0197368 ; 0.0241228 ; 0 ; 0.0197368 ; 0.0285088 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0416667 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0109649 ; 0 ; 0 ; 0 ; 0 ; 0.0109649 ; 0 ; 0 ; 0 ; 0.0153509 ; 0 ; 0.0241228 ; 0 ; 0 ; 0.0153509
texte bn:00076732n ; 0 ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0.0438596 ; 0.0307018 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0372807 ; 0.0416667 ; 0.0285088 ; 0 ; 0
commentaire bn:00020978n ; 0.0328947 ; 0.0657895 ; 0.166667 ; 0 ; 0 ; 0.0877193 ; 0.100877 ; 0 ; 0 ; 0.127193 ; 0 ; 0.203947 ; 0.0745614 ; 0.162281 ; 0 ; 0 ; 0.0416667 ; 0.118421
post bn:01500184n ; 0 ; 0.0789474 ; 0.118421 ; 0.0328947 ; 0.0745614 ; 0.0921053 ; 0 ; 0 ; 0 ; 0 ; 0.0504386 ; 0.171053 ; 0 ; 0.135965 ; 0.153509 ; 0 ; 0 ; 0.0877193
