X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.0363636 ; 0.0420561 ; 0.0377358 ; 0.043956 ; 0.092437 ; 0.101562 ; 0.0227273 ; 0.04 ; 0.0612245 ; 0.0340909 ; 0.0520446 ; 0.0588235 ; 0.0485437 ; 0.028169 ; 0.0149254 ; 0.06 ; 0.0409836
C11 ; 0.0363636 ; 1 ; 0.137795 ; 0.0431034 ; 0.0805369 ; 0.180723 ; 0.0952381 ; 0.0833333 ; 0.18 ; 0.0882353 ; 0.121429 ; 0.250896 ; 0.12987 ; 0.184874 ; 0.266667 ; 0.0307692 ; 0.0530973 ; 0.135294
C12 ; 0.0420561 ; 0.137795 ; 1 ; 0.0313901 ; 0.106557 ; 0.255144 ; 0.179104 ; 0.162281 ; 0.0412844 ; 0.225926 ; 0.122363 ; 0.449367 ; 0.334906 ; 0.391459 ; 0.223602 ; 0.0657895 ; 0.0506912 ; 0.193676
C13 ; 0.0377358 ; 0.0431034 ; 0.0313901 ; 1 ; 0.275 ; 0.0458015 ; 0.0571429 ; 0.0777778 ; 0.0350877 ; 0.0251572 ; 0.0769231 ; 0.0320285 ; 0.036036 ; 0.056872 ; 0.135678 ; 0.0273973 ; 0.0344828 ; 0.072
C14 ; 0.043956 ; 0.0805369 ; 0.106557 ; 0.275 ; 1 ; 0.113208 ; 0.0444444 ; 0.096 ; 0.0206186 ; 0.0913978 ; 0.0534351 ; 0.103679 ; 0.0839161 ; 0.168889 ; 0.192825 ; 0.0747664 ; 0.0638298 ; 0.0807453
C15 ; 0.092437 ; 0.180723 ; 0.255144 ; 0.0458015 ; 0.113208 ; 1 ; 0.0276498 ; 0.109677 ; 0.0983607 ; 0.18408 ; 0.054878 ; 0.294326 ; 0.151515 ; 0.257384 ; 0.223577 ; 0.0135135 ; 0.0227273 ; 0.13587
C16 ; 0.101562 ; 0.0952381 ; 0.179104 ; 0.0571429 ; 0.0444444 ; 0.0276498 ; 1 ; 0.109091 ; 0.0283688 ; 0.197115 ; 0.218543 ; 0.205128 ; 0.0983607 ; 0.166038 ; 0.138686 ; 0.158273 ; 0.0814815 ; 0.164021
C17 ; 0.0227273 ; 0.0833333 ; 0.162281 ; 0.0777778 ; 0.096 ; 0.109677 ; 0.109091 ; 1 ; 0.0444444 ; 0.0939227 ; 0.0152672 ; 0.144366 ; 0.119403 ; 0.0705394 ; 0.16 ; 0.0784314 ; 0.0215054 ; 0.05625
C18 ; 0.04 ; 0.18 ; 0.0412844 ; 0.0350877 ; 0.0206186 ; 0.0983607 ; 0.0283688 ; 0.0444444 ; 1 ; 0.038961 ; 0.117647 ; 0.0669145 ; 0.0980392 ; 0.042654 ; 0.14359 ; 0.0285714 ; 0.0363636 ; 0.0916667
C19 ; 0.0612245 ; 0.0882353 ; 0.225926 ; 0.0251572 ; 0.0913978 ; 0.18408 ; 0.197115 ; 0.0939227 ; 0.038961 ; 1 ; 0.0994475 ; 0.273616 ; 0.167568 ; 0.241379 ; 0.127586 ; 0.113924 ; 0.0805369 ; 0.113744
