X ; navigateur bn:00013447n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; commentaire bn:00020978n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; sélectionner bn:00084931v ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; personne bn:00046516n ; méthode post bn:00045088n ; passwd bn:14874750n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; types bn:00016413n ; session bn:03751534n ; langage de script bn:01431715n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; chaîne bn:00074685n ; helvetica bn:00043646n ; web bn:00080772n ; foreach bn:03463379n ; timestamp bn:03603649n ; pouvoir bn:00084451v ; bienvenue bn:00080852n ; paris bn:00015540n ; france bn:00036202n ; programmation web bn:03446093n ; interpréter bn:00089840v ; opérateurs bn:16281811n ; cle bn:04756252n ; classes bn:03608262n ; header bn:00043309n ; null bn:15898583n ; echo bn:03626250n ; positionnement bn:00030615n ; exe bn:14503132n ; rue bn:00074595n ; thomas bn:00005240n ; mysqli bn:01438356n ; transaction bn:01403911n ; exception bn:00032118n ; head bn:02338897n ; wamp bn:01708928n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
navigateur bn:00013447n ; 1 ; 0.134752 ; 0.0437158 ; 0.131579 ; 0.211111 ; 0.0653595 ; 0.048951 ; 0.168919 ; 0.156 ; 0.338384 ; 0.111801 ; 0.166667 ; 0.0142857 ; 0.122093 ; 0.084507 ; 0.166023 ; 0.140127 ; 0.18932 ; 0.0147059 ; 0.130435 ; 0.00729927 ; 0.190141 ; 0.125654 ; 0.0958084 ; 0.18 ; 0.0893855 ; 0.0277778 ; 0.0298507 ; 0.0496454 ; 0.0149254 ; 0.0487805 ; 0.180258 ; 0.0526316 ; 0.00740741 ; 0.0143885 ; 0.0289855 ; 0.0289855 ; 0.056338 ; 0.0522388 ; 0.0597015 ; 0.160714 ; 0.129032 ; 0.09375 ; 0.106667 ; 0.0273973 ; 0.0149254 ; 0.0142857 ; 0.0289855 ; 0.0149254 ; 0.0597015 ; 0.0289855 ; 0.00729927 ; 0.0289855 ; 0.0597015 ; 0.00740741 ; 0.00740741 ; 0.00740741 ; 0.0149254 ; 0.0149254 ; 0.0149254
fichier bn:00021475n ; 0.134752 ; 1 ; 0.0506329 ; 0.0190476 ; 0.0185185 ; 0.222222 ; 0.2 ; 0.0655738 ; 0.0402299 ; 0.0902778 ; 0.0289855 ; 0.0352423 ; 0.133333 ; 0.0897436 ; 0.179487 ; 0.0430108 ; 0.0289855 ; 0.0620155 ; 0.0714286 ; 0.0409357 ; 0.0344828 ; 0.0701754 ; 0.038835 ; 0.0273973 ; 0.169492 ; 0.0481928 ; 0.0526316 ; 0.153846 ; 0.0526316 ; 0.0769231 ; 0.0322581 ; 0.0245399 ; 0.04 ; 0.037037 ; 0.0645161 ; 0.0625 ; 0.030303 ; 0.05 ; 0.03125 ; 0.0625 ; 0.0481928 ; 0.0300752 ; 0.0634921 ; 0.0740741 ; 0.05 ; 0.037037 ; 0.0625 ; 0.133333 ; 0.0769231 ; 0.133333 ; 0.030303 ; 0.0344828 ; 0.0625 ; 0.0625 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.0769231 ; 0.0769231
client bn:00019764n ; 0.0437158 ; 0.0506329 ; 1 ; 0.189655 ; 0.110236 ; 0.0487805 ; 0.028169 ; 0.0434783 ; 0.171271 ; 0.0804598 ; 0.133333 ; 0.131915 ; 0.0655738 ; 0.115385 ; 0.0547945 ; 0.153846 ; 0.0851064 ; 0.0434783 ; 0.0338983 ; 0.30625 ; 0.0701754 ; 0.0823529 ; 0.104 ; 0.0816327 ; 0.0416667 ; 0.12381 ; 0.109375 ; 0.0166667 ; 0.0597015 ; 0.0350877 ; 0.202532 ; 0.076087 ; 0.0246914 ; 0.0350877 ; 0.0322581 ; 0.0655738 ; 0.0655738 ; 0.057971 ; 0.0322581 ; 0.0655738 ; 0.134615 ; 0.174825 ; 0.166667 ; 0.0470588 ; 0.123077 ; 0.0350877 ; 0.0655738 ; 0.031746 ; 0.0172414 ; 0.031746 ; 0.0655738 ; 0.0701754 ; 0.031746 ; 0.031746 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0172414 ; 0.0172414 ; 0.0172414
base de donnée bn:00025333n ; 0.131579 ; 0.0190476 ; 0.189655 ; 1 ; 0.571429 ; 0.0377358 ; 0.0210526 ; 0.2 ; 0.229167 ; 0.0392157 ; 0.188679 ; 0.178862 ; 0.0113636 ; 0.129032 ; 0.020202 ; 0.10177 ; 0.135135 ; 0.129412 ; 0.0240964 ; 0.207254 ; 0.0240964 ; 0.16 ; 0.109589 ; 0.140351 ; 0.0689655 ; 0.183333 ; 0.043956 ; 0.0240964 ; 0.043956 ; 0.0121951 ; 0.0720721 ; 0.0724638 ; 0.0190476 ; 0.0121951 ; 0.0232558 ; 0.0229885 ; 0.0470588 ; 0.0898876 ; 0.047619 ; 0.0987654 ; 0.193277 ; 0.149701 ; 0.0701754 ; 0.164948 ; 0.0430108 ; 0.0246914 ; 0.0229885 ; 0.0229885 ; 0.0121951 ; 0.0229885 ; 0.0470588 ; 0.0240964 ; 0.0470588 ; 0.0470588 ; 0.0246914 ; 0.0246914 ; 0.0246914 ; 0.0246914 ; 0.0121951 ; 0.0121951
donnée bn:00025314n ; 0.211111 ; 0.0185185 ; 0.110236 ; 0.571429 ; 1 ; 0.018018 ; 0.0204082 ; 0.118182 ; 0.225641 ; 0.0696517 ; 0.183486 ; 0.279476 ; 0.010989 ; 0.125984 ; 0.0196078 ; 0.0632911 ; 0.131579 ; 0.140351 ; 0.0232558 ; 0.129187 ; 0.0232558 ; 0.293478 ; 0.107383 ; 0.136752 ; 0.133929 ; 0.0984848 ; 0.0425532 ; 0.0232558 ; 0.0425532 ; 0.0117647 ; 0.0701754 ; 0.113861 ; 0.0377358 ; 0.0117647 ; 0.0111111 ; 0.0222222 ; 0.0952381 ; 0.0869565 ; 0.045977 ; 0.0952381 ; 0.330275 ; 0.0893855 ; 0.0330579 ; 0.16 ; 0.0416667 ; 0.0238095 ; 0.010989 ; 0.010989 ; 0.0117647 ; 0.0222222 ; 0.0454545 ; 0.0114943 ; 0.0454545 ; 0.0454545 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0117647 ; 0.0117647
php bn:01753580n ; 0.0653595 ; 0.222222 ; 0.0487805 ; 0.0377358 ; 0.018018 ; 1 ; 0.097561 ; 0.133333 ; 0.0222222 ; 0.0738255 ; 0.0277778 ; 0.0347826 ; 0.0571429 ; 0.0232558 ; 0.289474 ; 0.0706522 ; 0.0277778 ; 0.111111 ; 0.03125 ; 0.0838323 ; 0.03125 ; 0.0322581 ; 0.0679612 ; 0.0540541 ; 0.16129 ; 0.184211 ; 0.0487805 ; 0.137931 ; 0.0487805 ; 0.0689655 ; 0.0307692 ; 0.0240964 ; 0.0784314 ; 0.0333333 ; 0.241379 ; 0.0277778 ; 0.0277778 ; 0.0465116 ; 0.0285714 ; 0.0571429 ; 0.0227273 ; 0.0294118 ; 0.0606061 ; 0.0338983 ; 0.0465116 ; 0.0333333 ; 0.121212 ; 0.275862 ; 0.0689655 ; 0.0571429 ; 0.0277778 ; 0.0645161 ; 0.0571429 ; 0.0277778 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.0689655 ; 0.0689655
code bn:00020354n ; 0.048951 ; 0.2 ; 0.028169 ; 0.0210526 ; 0.0204082 ; 0.097561 ; 1 ; 0.0377358 ; 0.0239521 ; 0.05 ; 0.0338983 ; 0.0273973 ; 0.0909091 ; 0.0273973 ; 0.125 ; 0.0635838 ; 0.0701754 ; 0.0495868 ; 0.0526316 ; 0.0434783 ; 0.0526316 ; 0.02 ; 0.0210526 ; 0.031746 ; 0.0727273 ; 0.0547945 ; 0.153846 ; 0.111111 ; 0.0344828 ; 0.0588235 ; 0.0588235 ; 0.0753425 ; 0.0769231 ; 0.0588235 ; 0.0952381 ; 0.0909091 ; 0.0434783 ; 0.142857 ; 0.0454545 ; 0.0434783 ; 0.0547945 ; 0.0325203 ; 0.0754717 ; 0.0434783 ; 0.0666667 ; 0.0588235 ; 0.0909091 ; 0.2 ; 0.125 ; 0.0909091 ; 0.0434783 ; 0.0526316 ; 0.2 ; 0.0909091 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.125
texte bn:00076732n ; 0.168919 ; 0.0655738 ; 0.0434783 ; 0.2 ; 0.118182 ; 0.133333 ; 0.0377358 ; 1 ; 0.0430108 ; 0.0493827 ; 0.0909091 ; 0.0689655 ; 0.0444444 ; 0.0425532 ; 0.0350877 ; 0.0725389 ; 0.05 ; 0.102941 ; 0.0487805 ; 0.079096 ; 0.0238095 ; 0.121212 ; 0.0714286 ; 0.1 ; 0.108108 ; 0.190476 ; 0.0392157 ; 0.102564 ; 0.0392157 ; 0.025 ; 0.0547945 ; 0.0465116 ; 0.0655738 ; 0.025 ; 0.0952381 ; 0.0444444 ; 0.0444444 ; 0.170213 ; 0.0952381 ; 0.0930233 ; 0.0416667 ; 0.102941 ; 0.111111 ; 0.126984 ; 0.0784314 ; 0.0512821 ; 0.0444444 ; 0.0930233 ; 0.0512821 ; 0.0444444 ; 0.0444444 ; 0.0487805 ; 0.0930233 ; 0.0444444 ; 0.025 ; 0.025 ; 0.025 ; 0.0512821 ; 0.0512821 ; 0.0512821
commentaire bn:00020978n ; 0.156 ; 0.0402299 ; 0.171271 ; 0.229167 ; 0.225641 ; 0.0222222 ; 0.0239521 ; 0.0430108 ; 1 ; 0.167347 ; 0.117318 ; 0.348148 ; 0.0251572 ; 0.380645 ; 0.0233918 ; 0.218868 ; 0.290323 ; 0.127119 ; 0.0258065 ; 0.171756 ; 0.0258065 ; 0.137725 ; 0.113208 ; 0.139665 ; 0.0421053 ; 0.102041 ; 0.0432099 ; 0.0127389 ; 0.0496894 ; 0.00641026 ; 0.0903955 ; 0.243697 ; 0.0402299 ; 0.0129032 ; 0.0125 ; 0.0516129 ; 0.0251572 ; 0.0490798 ; 0.0451613 ; 0.0516129 ; 0.234286 ; 0.237209 ; 0.0888889 ; 0.206452 ; 0.0490798 ; 0.0129032 ; 0.0124224 ; 0.00617284 ; 0.00641026 ; 0.0251572 ; 0.0516129 ; 0.0127389 ; 0.0251572 ; 0.0516129 ; 0.0129032 ; 0.0129032 ; 0.0129032 ; 0.0129032 ; 0.00641026 ; 0.00641026
post bn:01500184n ; 0.338384 ; 0.0902778 ; 0.0804598 ; 0.0392157 ; 0.0696517 ; 0.0738255 ; 0.05 ; 0.0493827 ; 0.167347 ; 1 ; 0.047619 ; 0.223022 ; 0.0296296 ; 0.0857143 ; 0.152672 ; 0.472906 ; 0.157895 ; 0.105023 ; 0.0150376 ; 0.230435 ; 0.0150376 ; 0.0921053 ; 0.232558 ; 0.184211 ; 0.10828 ; 0.0786517 ; 0.0583942 ; 0.0150376 ; 0.0283688 ; 0.0152672 ; 0.104575 ; 0.519553 ; 0.145985 ; 0.0152672 ; 0.0298507 ; 0.0610687 ; 0.0296296 ; 0.057554 ; 0.0298507 ; 0.0296296 ; 0.0786517 ; 0.260417 ; 0.194444 ; 0.0516129 ; 0.057554 ; 0.0152672 ; 0.0296296 ; 0.0296296 ; 0.0152672 ; 0.0610687 ; 0.0610687 ; 0.0150376 ; 0.0296296 ; 0.0610687 ; 0.00757576 ; 0.00757576 ; 0.00757576 ; 0.0152672 ; 0.0152672 ; 0.0152672
