Objects;Weight
fichier bn:00021475n;0.109091
client bn:00019764n;0.327273
base de donnée bn:00025333n;0.418182
donnée bn:00025314n;0.454545
php bn:01753580n;0.2
code bn:00020354n;0.109091
nombre bn:00058285n;0.309091
salaire bn:15928884n;0.0727273
site bn:00047172n;0.254545
types bn:00016413n;0.381818
langage de script bn:01431715n;0.363636
serveur bn:00044916n;0.0727273
chaîne bn:00074685n;0.145455
helvetica bn:00043646n;0.0363636
pouvoir bn:00084451v;0.0363636
positionnement bn:00030615n;0.0363636
thomas bn:00005240n;0.0363636
symfony bn:02798620n;0.0363636
inverse bn:00056301n;0.0363636
info bn:00046698n;0.0363636
realisateur bn:00027369n;0.0363636
généralité bn:00041249n;0.0363636
autre bn:00108013a;0.0363636
