X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0.136364 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.25
client bn:00019764n ; 0.1 ; 0 ; 0.285714 ; 0 ; 0.15625 ; 0.2 ; 0 ; 0.1 ; 0 ; 0.285714 ; 0 ; 0.285714 ; 0.24 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.322581 ; 0 ; 0 ; 0 ; 0.171429 ; 0.08 ; 0 ; 0.315789 ; 0 ; 0.322581 ; 0.241379 ; 0.333333 ; 0 ; 0.178571 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.30303 ; 0 ; 0 ; 0 ; 0.264706 ; 0 ; 0 ; 0.3 ; 0.142857 ; 0.30303 ; 0.1875 ; 0.428571 ; 0 ; 0.166667 ; 0 ; 0
php bn:01753580n ; 0 ; 0.153846 ; 0 ; 0.214286 ; 0.25 ; 0 ; 0.208333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.4375 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0.117647 ; 0 ; 0.2 ; 0 ; 0 ; 0.25
nombre bn:00058285n ; 0 ; 0 ; 0.206897 ; 0 ; 0.241379 ; 0 ; 0 ; 0 ; 0 ; 0.333333 ; 0 ; 0 ; 0.2 ; 0.272727 ; 0 ; 0.173913 ; 0.111111 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0 ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.125 ; 0 ; 0.28 ; 0 ; 0 ; 0 ; 0.230769 ; 0 ; 0 ; 0 ; 0.166667 ; 0.28 ; 0 ; 0.258065 ; 0 ; 0 ; 0 ; 0
types bn:00016413n ; 0 ; 0.0869565 ; 0 ; 0 ; 0.290323 ; 0.173913 ; 0 ; 0 ; 0 ; 0.333333 ; 0 ; 0.181818 ; 0 ; 0.243243 ; 0.178571 ; 0.148148 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.130435 ; 0.258065 ; 0 ; 0.310345 ; 0 ; 0 ; 0.205128 ; 0.125 ; 0 ; 0 ; 0.25 ; 0.28 ; 0 ; 0 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.173913 ; 0 ; 0 ; 0 ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0.137931 ; 0 ; 0 ; 0.1 ; 0
helvetica bn:00043646n ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
positionnement bn:00030615n ; 0 ; 0 ; 0.0526316 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
thomas bn:00005240n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
inverse bn:00056301n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
info bn:00046698n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0 ; 0
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0
