X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.306122 ; 0.0816327 ; 0.132075 ; 0.047619 ; 0.181818 ; 0.0816327 ; 0.0547945 ; 0.133333 ; 0.145455 ; 0.113208 ; 0.0384615 ; 0.173077 ; 0.114286 ; 0.111111 ; 0.0645161 ; 0.105263 ; 0.111111
C11 ; 0.306122 ; 1 ; 0.0392157 ; 0.132075 ; 0.0232558 ; 0.3 ; 0.0392157 ; 0.132353 ; 0.307692 ; 0.0677966 ; 0.0727273 ; 0.08 ; 0.12963 ; 0.0263158 ; 0.190476 ; 0.03125 ; 0.05 ; 0.272727
C12 ; 0.0816327 ; 0.0392157 ; 1 ; 0.0425532 ; 0.0645161 ; 0.08 ; 0.105263 ; 0.178571 ; 0.0882353 ; 0.04 ; 0.0909091 ; 0.131579 ; 0.162791 ; 0.166667 ; 0.0263158 ; 0.170213 ; 0.04 ; 0.0727273
C13 ; 0.132075 ; 0.132075 ; 0.0425532 ; 1 ; 0.111111 ; 0.0701754 ; 0.0425532 ; 0.0895522 ; 0.208955 ; 0.0350877 ; 0.195652 ; 0.0416667 ; 0.0754717 ; 0.0606061 ; 0.179487 ; 0.107143 ; 0.204082 ; 0.178571
C14 ; 0.047619 ; 0.0232558 ; 0.0645161 ; 0.111111 ; 1 ; 0.0465116 ; 0.1 ; 0.0961538 ; 0.031746 ; 0.0487805 ; 0.0833333 ; 0.0625 ; 0.0512821 ; 0.117647 ; 0.0344828 ; 0.0222222 ; 0.131579 ; 0.0416667
C15 ; 0.181818 ; 0.3 ; 0.08 ; 0.0701754 ; 0.0465116 ; 1 ; 0.0384615 ; 0.238095 ; 0.211268 ; 0.103448 ; 0.0714286 ; 0.222222 ; 0.24 ; 0.0526316 ; 0.133333 ; 0.0634921 ; 0.0491803 ; 0.183333
C16 ; 0.0816327 ; 0.0392157 ; 0.105263 ; 0.0425532 ; 0.1 ; 0.0384615 ; 1 ; 0.03125 ; 0.104478 ; 0.0833333 ; 0.116279 ; 0.102564 ; 0.0204082 ; 0.0769231 ; 0.0263158 ; 0.0784314 ; 0.130435 ; 0.0727273
C17 ; 0.0547945 ; 0.132353 ; 0.178571 ; 0.0895522 ; 0.0961538 ; 0.238095 ; 0.03125 ; 1 ; 0.240506 ; 0.101449 ; 0.180328 ; 0.264151 ; 0.193548 ; 0.0196078 ; 0.0327869 ; 0.161765 ; 0.0410959 ; 0.106667
C18 ; 0.133333 ; 0.307692 ; 0.0882353 ; 0.208955 ; 0.031746 ; 0.211268 ; 0.104478 ; 0.240506 ; 1 ; 0.0632911 ; 0.15942 ; 0.0869565 ; 0.0512821 ; 0.0344828 ; 0.20339 ; 0.115385 ; 0.135135 ; 0.358209
C19 ; 0.145455 ; 0.0677966 ; 0.04 ; 0.0350877 ; 0.0487805 ; 0.103448 ; 0.0833333 ; 0.101449 ; 0.0632911 ; 1 ; 0.0740741 ; 0.0816327 ; 0.153846 ; 0.0555556 ; 0.0888889 ; 0.226415 ; 0.169811 ; 0.0952381
