Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;5;0;18;;C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C3,C4,C5,C6,C7,C8,C9,;
1;3;1;4;fichier bn:00021475n,;C15,C17,C19,C2,;
2;4;1;7;client bn:00019764n,;C13,C16,C18,C2,C5,C7,C8,;
3;2;1;3;base de donnée bn:00025333n,;C11,C18,C6,;
4;3;1;3;donnée bn:00025314n,;C11,C15,C6,;
5;3;1;4;php bn:01753580n,;C12,C2,C5,C8,;
6;3;1;3;commentaire bn:00020978n,;C14,C17,C2,;
7;2;1;2;délimiter bn:00086464v,;C1,C2,;
8;2;1;2;fois bn:00032768n,;C17,C8,;
9;3;1;4;text bn:14981519n,;C13,C14,C8,C9,;
10;2;1;2;zones bn:00005513n,;C1,C9,;
11;2;1;3;utilisateur bn:00079373n,;C1,C16,C19,;
12;2;1;2;personne bn:00046516n,;C1,C6,;
13;3;1;4;méthode post bn:00045088n,;C12,C14,C4,C5,;
14;2;1;2;programmation bn:00021493n,;C12,C16,;
15;4;1;4;site bn:00047172n,;C13,C19,C7,C8,;
16;3;1;5;langage de script bn:01431715n,;C11,C12,C17,C4,C9,;
17;2;1;2;afficher bn:00087013v,;C19,C9,;
18;2;1;3;méthode bn:01641329n,;C15,C16,C3,;
19;2;1;2;timestamp bn:03603649n,;C3,C7,;
20;2;1;2;programmation web bn:03446093n,;C14,C16,;
21;3;1;3;header bn:00043309n,;C18,C19,C7,;
22;2;1;2;echo bn:03626250n,;C17,C3,;
23;2;2;2;navigateur bn:00013447n,mysql bn:01225760n,;C1,C18,;
24;2;2;2;fichier bn:00021475n,commentaire bn:00020978n,;C17,C2,;
25;2;2;3;client bn:00019764n,php bn:01753580n,;C2,C5,C8,;
26;2;2;2;client bn:00019764n,case à cocher bn:03157691n,;C16,C2,;
27;3;2;3;client bn:00019764n,site bn:00047172n,;C13,C7,C8,;
28;2;2;3;client bn:00019764n,serveur bn:00044916n,;C13,C18,C2,;
29;2;2;2;client bn:00019764n,cle bn:04756252n,;C18,C8,;
30;2;2;2;client bn:00019764n,classes bn:03608262n,;C16,C8,;
31;2;2;2;base de donnée bn:00025333n,donnée bn:00025314n,;C11,C6,;
32;2;2;2;php bn:01753580n,méthode post bn:00045088n,;C12,C5,;
33;2;2;2;code bn:00020354n,site bn:00047172n,;C19,C8,;
34;2;2;2;syntaxe bn:00062118n,langage de script bn:01431715n,;C12,C17,;
35;2;2;2;méthode post bn:00045088n,langage de script bn:01431715n,;C12,C4,;
36;2;2;2;site bn:00047172n,header bn:00043309n,;C19,C7,;
37;2;2;2;langage de script bn:01431715n,nécessaire bn:00107182a,;C11,C17,;
38;2;3;2;client bn:00019764n,url bn:00079080n,site bn:00047172n,;C13,C7,;
39;2;3;2;client bn:00019764n,text bn:14981519n,site bn:00047172n,;C13,C8,;
40;1;3;1;méthode post bn:00045088n,langage de script bn:01431715n,list bn:04720346n,;C4,;
41;2;4;2;client bn:00019764n,case bn:04777941n,chaîne bn:00074685n,header bn:00043309n,;C18,C7,;
42;1;5;1;fichier bn:00021475n,donnée bn:00025314n,définition bn:00025928n,méthode bn:01641329n,rue bn:00074595n,;C15,;
43;1;5;1;méthode bn:01641329n,timestamp bn:03603649n,echo bn:03626250n,file bn:00065682n,exception bn:00032118n,;C3,;
44;1;6;1;base de donnée bn:00025333n,donnée bn:00025314n,personne bn:00046516n,varchar bn:01838409n,insert bn:03795444n,null bn:15898583n,;C6,;
45;1;6;1;commentaire bn:00020978n,gras bn:00011848n,lien hypertextes bn:00045513n,text bn:14981519n,méthode post bn:00045088n,programmation web bn:03446093n,;C14,;
46;1;7;1;fichier bn:00021475n,code bn:00020354n,utilisateur bn:00079373n,site bn:00047172n,afficher bn:00087013v,header bn:00043309n,wamp bn:01708928n,;C19,;
47;1;7;1;client bn:00019764n,php bn:01753580n,méthode post bn:00045088n,composer bn:14766022n,configuration bn:03088982n,xml bn:02771436n,doctype bn:15839327n,;C5,;
48;1;7;1;php bn:01753580n,syntaxe bn:00062118n,structure de contrôle bn:00047734n,méthode post bn:00045088n,programmation bn:00021493n,langage de script bn:01431715n,fonctionnalité bn:00036836n,;C12,;
49;1;8;1;base de donnée bn:00025333n,donnée bn:00025314n,sélectionner bn:00084931v,entités bn:00031027n,langage de script bn:01431715n,nécessaire bn:00107182a,information bn:00046705n,impossible bn:00104687a,;C11,;
50;1;9;1;text bn:14981519n,zones bn:00005513n,types bn:00016413n,langage de script bn:01431715n,afficher bn:00087013v,mot bn:00081546n,visiteur bn:03106425n,moteur bn:00030850n,transaction bn:01403911n,;C9,;
51;1;11;1;fichier bn:00021475n,commentaire bn:00020978n,fois bn:00032768n,syntaxe bn:00062118n,langage de script bn:01431715n,nécessaire bn:00107182a,mode bn:00033729n,bits bn:00010731n,pouvoir bn:00084450v,easyphp bn:14837849n,echo bn:03626250n,;C17,;
52;1;11;1;client bn:00019764n,url bn:00079080n,text bn:14981519n,site bn:00047172n,internet bn:00024712n,système bn:15125301n,menu bn:00021485n,serveur bn:00044916n,sauvegarder bn:00093281v,couleurs bn:00020726n,id bn:03885719n,;C13,;
53;1;11;1;client bn:00019764n,case à cocher bn:03157691n,utilisateur bn:00079373n,passwd bn:14874750n,programmation bn:00021493n,web bn:00080772n,méthode bn:01641329n,programmation web bn:03446093n,classes bn:03608262n,attribut bn:00007068n,head bn:02338897n,;C16,;
54;1;13;1;page web bn:00080778n,navigateur bn:00013447n,serveur web bn:02705179n,texte bn:00076732n,concerner bn:00083240v,délimiter bn:00086464v,zones bn:00005513n,utilisateur bn:00079373n,associer bn:00082868v,personne bn:00046516n,machine bn:00054050n,mysql bn:01225760n,salaire bn:15928884n,;C1,;
55;1;13;1;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,commentaire bn:00020978n,délimiter bn:00086464v,case à cocher bn:03157691n,côté serveur bn:03816678n,serveur bn:00044916n,côté client bn:03163702n,casse bn:03225002n,interpréter bn:00089840v,pointeur bn:03222272n,exe bn:14503132n,;C2,;
56;1;13;1;client bn:00019764n,url bn:00079080n,langage bn:00049910n,case bn:04777941n,fermeture bn:16858148n,site bn:00047172n,session bn:03751534n,avoir accès bn:00082209v,chaîne bn:00074685n,timestamp bn:03603649n,france bn:00036202n,header bn:00043309n,valeur bn:00079508n,;C7,;
57;1;14;1;navigateur bn:00013447n,client bn:00019764n,base de donnée bn:00025333n,javascript bn:00055423n,nombre bn:00058285n,affectation bn:02806034n,case bn:04777941n,mysql bn:01225760n,valeur par défaut bn:03854990n,serveur bn:00044916n,chaîne bn:00074685n,conditionnelle bn:00100214a,cle bn:04756252n,header bn:00043309n,;C18,;
58;1;16;1;client bn:00019764n,php bn:01753580n,code bn:00020354n,fois bn:00032768n,post bn:01500184n,text bn:14981519n,jour bn:00000086n,site bn:00047172n,class bn:03598962n,foreach bn:03463379n,bienvenue bn:00080852n,paris bn:00015540n,opérateurs bn:16281811n,cle bn:04756252n,classes bn:03608262n,mysqli bn:01438356n,;C8,;
