X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.110421 ; 0.0694626 ; 0.046252 ; 0.0712042 ; 0.11063 ; 0.0593849 ; 0.10566 ; 0.021256 ; 0.125424 ; 0.0539474 ; 0.0711514 ; 0.039173 ; 0.0756881 ; 0.0744027 ; 0.0867925 ; 0.0412186 ; 0.0650038
C11 ; 0.110421 ; 1 ; 0.224892 ; 0.0781357 ; 0.195317 ; 0.328119 ; 0.141836 ; 0.214686 ; 0.188441 ; 0.322273 ; 0.11849 ; 0.222328 ; 0.139379 ; 0.204769 ; 0.228304 ; 0.0710187 ; 0.0831526 ; 0.205806
C12 ; 0.0694626 ; 0.224892 ; 1 ; 0.0718603 ; 0.153349 ; 0.346457 ; 0.15348 ; 0.279255 ; 0.146383 ; 0.308929 ; 0.137908 ; 0.327198 ; 0.117994 ; 0.222396 ; 0.263952 ; 0.0790036 ; 0.0614096 ; 0.239578
C13 ; 0.046252 ; 0.0781357 ; 0.0718603 ; 1 ; 0.0810515 ; 0.0844466 ; 0.0456026 ; 0.0736289 ; 0.0334008 ; 0.0872707 ; 0.0254692 ; 0.0700132 ; 0.0673635 ; 0.07361 ; 0.0777856 ; 0.0131332 ; 0.042065 ; 0.0315552
C14 ; 0.0712042 ; 0.195317 ; 0.153349 ; 0.0810515 ; 1 ; 0.180152 ; 0.104651 ; 0.114836 ; 0.091195 ; 0.224565 ; 0.120792 ; 0.130262 ; 0.111495 ; 0.111964 ; 0.160878 ; 0.0497685 ; 0.0293454 ; 0.13577
C15 ; 0.11063 ; 0.328119 ; 0.346457 ; 0.0844466 ; 0.180152 ; 1 ; 0.20442 ; 0.299325 ; 0.214351 ; 0.464097 ; 0.185294 ; 0.342494 ; 0.172823 ; 0.25738 ; 0.310472 ; 0.0702782 ; 0.0919026 ; 0.33011
C16 ; 0.0593849 ; 0.141836 ; 0.15348 ; 0.0456026 ; 0.104651 ; 0.20442 ; 1 ; 0.137356 ; 0.109845 ; 0.125306 ; 0.0905512 ; 0.151995 ; 0.0749574 ; 0.10652 ; 0.129052 ; 0.0339578 ; 0.062201 ; 0.168142
C17 ; 0.10566 ; 0.214686 ; 0.279255 ; 0.0736289 ; 0.114836 ; 0.299325 ; 0.137356 ; 1 ; 0.128933 ; 0.245495 ; 0.122682 ; 0.258549 ; 0.105566 ; 0.211784 ; 0.232668 ; 0.0555556 ; 0.0391404 ; 0.200881
C18 ; 0.021256 ; 0.188441 ; 0.146383 ; 0.0334008 ; 0.091195 ; 0.214351 ; 0.109845 ; 0.128933 ; 1 ; 0.201325 ; 0.0836431 ; 0.134756 ; 0.0954357 ; 0.138086 ; 0.159689 ; 0.0386313 ; 0.0327511 ; 0.177955
C19 ; 0.125424 ; 0.322273 ; 0.308929 ; 0.0872707 ; 0.224565 ; 0.464097 ; 0.125306 ; 0.245495 ; 0.201325 ; 1 ; 0.161415 ; 0.313778 ; 0.14467 ; 0.302695 ; 0.268874 ; 0.106785 ; 0.0730177 ; 0.240385
C2 ; 0.0539474 ; 0.11849 ; 0.137908 ; 0.0254692 ; 0.120792 ; 0.185294 ; 0.0905512 ; 0.122682 ; 0.0836431 ; 0.161415 ; 1 ; 0.13651 ; 0.059761 ; 0.0898634 ; 0.0872093 ; 0.137874 ; 0.037594 ; 0.103198
C3 ; 0.0711514 ; 0.222328 ; 0.327198 ; 0.0700132 ; 0.130262 ; 0.342494 ; 0.151995 ; 0.258549 ; 0.134756 ; 0.313778 ; 0.13651 ; 1 ; 0.1737 ; 0.221535 ; 0.234436 ; 0.1 ; 0.0589445 ; 0.20948
C4 ; 0.039173 ; 0.139379 ; 0.117994 ; 0.0673635 ; 0.111495 ; 0.172823 ; 0.0749574 ; 0.105566 ; 0.0954357 ; 0.14467 ; 0.059761 ; 0.1737 ; 1 ; 0.142271 ; 0.133951 ; 0.0409429 ; 0.0119904 ; 0.149141
C5 ; 0.0756881 ; 0.204769 ; 0.222396 ; 0.07361 ; 0.111964 ; 0.25738 ; 0.10652 ; 0.211784 ; 0.138086 ; 0.302695 ; 0.0898634 ; 0.221535 ; 0.142271 ; 1 ; 0.294683 ; 0.0678246 ; 0.0368 ; 0.170248
C6 ; 0.0744027 ; 0.228304 ; 0.263952 ; 0.0777856 ; 0.160878 ; 0.310472 ; 0.129052 ; 0.232668 ; 0.159689 ; 0.268874 ; 0.0872093 ; 0.234436 ; 0.133951 ; 0.294683 ; 1 ; 0.0406852 ; 0.0472441 ; 0.217969
C7 ; 0.0867925 ; 0.0710187 ; 0.0790036 ; 0.0131332 ; 0.0497685 ; 0.0702782 ; 0.0339578 ; 0.0555556 ; 0.0386313 ; 0.106785 ; 0.137874 ; 0.1 ; 0.0409429 ; 0.0678246 ; 0.0406852 ; 1 ; 0.0310421 ; 0.0537897
C8 ; 0.0412186 ; 0.0831526 ; 0.0614096 ; 0.042065 ; 0.0293454 ; 0.0919026 ; 0.062201 ; 0.0391404 ; 0.0327511 ; 0.0730177 ; 0.037594 ; 0.0589445 ; 0.0119904 ; 0.0368 ; 0.0472441 ; 0.0310421 ; 1 ; 0.0691928
C9 ; 0.0650038 ; 0.205806 ; 0.239578 ; 0.0315552 ; 0.13577 ; 0.33011 ; 0.168142 ; 0.200881 ; 0.177955 ; 0.240385 ; 0.103198 ; 0.20948 ; 0.149141 ; 0.170248 ; 0.217969 ; 0.0537897 ; 0.0691928 ; 1
