Objects;Weight
page web bn:00080778n;0.116865
page web statiques bn:03576307n;0.000152765
navigateur bn:00013447n;0.473572
serveur web bn:02705179n;0.55553
fichier bn:00021475n;0.0565231
disque dur bn:00073359n;0.00244424
client bn:00019764n;0.0161167
client serveur bn:03496583n;0.119691
base de donnée bn:00025333n;0.156355
donnée bn:00025314n;0.203178
ensemble bn:00114766r;0.00061106
php bn:01753580n;0.156049
javascript bn:00055423n;0.500687
perl bn:01723165n;0.0627101
python bn:01713224n;0.00488848
java bn:00048043n;0.164681
code bn:00020354n;0.489001
code source bn:00072947n;0.0296364
fichier texte bn:00028018n;0.0779866
texte bn:00076732n;0.662007
mise en forme bn:01681906n;0.0159639
concerner bn:00083240v;0.0563703
commentaire bn:00020978n;0.0853193
délimiter bn:00086464v;0.0155057
affichage bn:00010421n;0.49473
gras bn:00011848n;0.00244424
fois bn:00032768n;0.238695
chemin bn:03131414n;0.00977696
lien hypertextes bn:00045513n;0.101283
url bn:00079080n;0.290024
textuels bn:00111786a;0.000152765
case à cocher bn:03157691n;0.017568
page web dynamique bn:00937946n;0.00122212
post bn:01500184n;0.251833
champ de saisie bn:03113401n;0.0345249
size bn:03645138n;0.00244424
nombre bn:00058285n;0.0262756
text bn:14981519n;0.144668
vide bn:00087578v;0.00061106
liste déroulante bn:00028831n;0.00122212
sélectionner bn:00084931v;0.00061106
déclencher bn:00082306v;0.00061106
réinitialisation bn:00067306n;0.00061106
langage bn:00049910n;0.842499
langage impératif bn:01246770n;0.000152765
impératif bn:00104644a;0.00030553
zones bn:00005513n;0.00244424
utilisateur bn:00079373n;0.113734
affectation bn:02806034n;0.0224565
booléen bn:00294693n;0.16575
réalité bn:00066414n;0.00488848
concatène bn:00085508v;0.00122212
addition bn:00001296n;0.0180263
soustraction bn:00055233n;0.0091659
multiplié bn:00090977v;0.00061106
modulo bn:00553864n;0.035747
égalité bn:00031284n;0.00488848
logiques bn:00051845n;0.399557
syntaxe bn:00062118n;0.113657
case bn:04777941n;0.0288726
associer bn:00082868v;0.102887
personne bn:00046516n;0.00901314
prenom bn:15996005n;0.0456004
structure de contrôle bn:00047734n;0.212496
définition bn:00025928n;0.269401
initialiser bn:00089742v;0.0278796
dépendre bn:00086606v;0.00901314
méthode post bn:00045088n;0.17377
fermeture bn:16858148n;0.0415521
passwd bn:14874750n;0.00030553
machine bn:00054050n;0.0373511
mysql bn:01225760n;0.259624
salaire bn:15928884n;0.00061106
phase bn:00061898n;0.00122212
être utile bn:00085368v;0.00947143
boucle while bn:03237310n;0.0153529
jour bn:00000086n;0.0195539
euro bn:00031888n;0.00122212
etc bn:00114282r;0.0195539
programmation bn:00021493n;0.234036
