X ; C1.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0
navigateur bn:00013447n ; 0 ; 0.272727 ; 0 ; 0.277778 ; 0.263158 ; 0.25
serveur web bn:02705179n ; 0 ; 0.2 ; 0.210526 ; 0 ; 0 ; 0.181818
fichier bn:00021475n ; 0.1875 ; 0 ; 0 ; 0 ; 0.1875 ; 0.190476
client bn:00019764n ; 0.142857 ; 0 ; 0.117647 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.117647 ; 0.153846 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.2 ; 0.210526 ; 0.266667 ; 0 ; 0
php bn:01753580n ; 0.25 ; 0 ; 0.210526 ; 0 ; 0 ; 0.181818
code bn:00020354n ; 0 ; 0 ; 0.117647 ; 0 ; 0 ; 0.1
texte bn:00076732n ; 0 ; 0.363636 ; 0.318182 ; 0.315789 ; 0 ; 0.230769
concerner bn:00083240v ; 0 ; 0 ; 0.117647 ; 0.153846 ; 0 ; 0
commentaire bn:00020978n ; 0.3 ; 0 ; 0.318182 ; 0 ; 0.3 ; 0.333333
délimiter bn:00086464v ; 0 ; 0 ; 0.117647 ; 0 ; 0.142857 ; 0
fois bn:00032768n ; 0.263158 ; 0.333333 ; 0 ; 0.210526 ; 0 ; 0.25
url bn:00079080n ; 0.25 ; 0 ; 0.210526 ; 0 ; 0 ; 0.181818
case à cocher bn:03157691n ; 0.25 ; 0 ; 0.210526 ; 0 ; 0 ; 0.181818
post bn:01500184n ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0.1
nombre bn:00058285n ; 0 ; 0 ; 0.210526 ; 0.266667 ; 0.25 ; 0
text bn:14981519n ; 0.25 ; 0.2 ; 0.210526 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.315789 ; 0.26087 ; 0 ; 0 ; 0.25 ; 0.347826
utilisateur bn:00079373n ; 0 ; 0 ; 0.117647 ; 0 ; 0 ; 0.1
case bn:04777941n ; 0.25 ; 0.2 ; 0 ; 0 ; 0 ; 0.181818
associer bn:00082868v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
personne bn:00046516n ; 0 ; 0 ; 0.210526 ; 0 ; 0.25 ; 0.181818
méthode post bn:00045088n ; 0 ; 0.272727 ; 0 ; 0.277778 ; 0.263158 ; 0.25
fermeture bn:16858148n ; 0.3 ; 0 ; 0.318182 ; 0 ; 0.3 ; 0.333333
mysql bn:01225760n ; 0 ; 0 ; 0.117647 ; 0 ; 0 ; 0.1
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0
jour bn:00000086n ; 0.0769231 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.25 ; 0.2 ; 0.210526 ; 0 ; 0 ; 0
france bn:00036202n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0.111111 ; 0 ; 0.153846 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0
côté serveur bn:03816678n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
serveur bn:00044916n ; 0 ; 0 ; 0.210526 ; 0 ; 0.25 ; 0.181818
typage bn:00016413n ; 0 ; 0 ; 0 ; 0.0833333 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0.2 ; 0.210526 ; 0 ; 0 ; 0.181818
list bn:04720346n ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0.1
cle bn:04756252n ; 0 ; 0.2 ; 0.210526 ; 0 ; 0 ; 0.181818
mot bn:00081546n ; 0 ; 0.111111 ; 0.117647 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0.111111 ; 0.117647 ; 0 ; 0 ; 0
afficher bn:00087013v ; 0 ; 0 ; 0.0625 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0.1
header bn:00043309n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
accéder bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
classe bn:03608262n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
visiteur bn:03106425n ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0
