X ; page web bn:00080778n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; délimiter bn:00086464v ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; associer bn:00082868v ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; interpréter bn:00089840v ; côté serveur bn:03816678n ; typage bn:00016413n ; timestamp bn:03603649n ; session bn:03751534n ; afficher bn:00087013v ; chaîne bn:00074685n ; header bn:00043309n ; accéder bn:00082209v ; paris bn:00015540n ; classe bn:03608262n ; class bn:03598962n ; mysqli bn:01438356n ; visiteur bn:03106425n
page web bn:00080778n ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.2 ; 0.5 ; 0.2 ; 0.285714 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
fichier bn:00021475n ; 0.2 ; 1 ; 0.333333 ; 0.142857 ; 0.1 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.1 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2
client bn:00019764n ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.222222 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.222222 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
base de donnée bn:00025333n ; 0.2 ; 0.142857 ; 0.333333 ; 1 ; 0.571429 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.571429 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
donnée bn:00025314n ; 0.125 ; 0.1 ; 0.222222 ; 0.571429 ; 1 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.4 ; 0.363636 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125
php bn:01753580n ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.222222 ; 1 ; 0.333333 ; 0.333333 ; 0.222222 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2
délimiter bn:00086464v ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.222222 ; 0.333333 ; 1 ; 0.142857 ; 0.571429 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5
post bn:01500184n ; 0.2 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.222222 ; 0.333333 ; 0.142857 ; 1 ; 0.1 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2
nombre bn:00058285n ; 0.285714 ; 0.1 ; 0.222222 ; 0.571429 ; 0.4 ; 0.222222 ; 0.571429 ; 0.1 ; 1 ; 0.153846 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125 ; 0.1 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.285714 ; 0.125 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714
text bn:14981519n ; 0.111111 ; 0.2 ; 0.5 ; 0.2 ; 0.363636 ; 0.2 ; 0.2 ; 0.2 ; 0.153846 ; 1 ; 0.111111 ; 0.25 ; 0.111111 ; 0.25 ; 0.5 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
