Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;4;0;6;;C1.csv,C2.csv,C4.csv,C7.csv,C8.csv,C9.csv,;
1;2;1;2;fichier bn:00021475n,;C2.csv,C4.csv,;
2;3;1;3;client bn:00019764n,;C2.csv,C7.csv,C8.csv,;
3;3;1;3;base de donnée bn:00025333n,;C1.csv,C8.csv,C9.csv,;
4;3;1;3;nombre bn:00058285n,;C1.csv,C2.csv,C9.csv,;
5;2;1;2;méthode post bn:00045088n,;C1.csv,C4.csv,;
6;2;1;2;langage de script bn:01431715n,;C4.csv,C9.csv,;
7;2;2;2;client bn:00019764n,php bn:01753580n,;C2.csv,C8.csv,;
8;2;2;2;client bn:00019764n,site bn:00047172n,;C7.csv,C8.csv,;
9;2;2;2;base de donnée bn:00025333n,nombre bn:00058285n,;C1.csv,C9.csv,;
10;2;2;2;délimiter bn:00086464v,nombre bn:00058285n,;C1.csv,C2.csv,;
11;2;3;2;base de donnée bn:00025333n,donnée bn:00025314n,text bn:14981519n,;C8.csv,C9.csv,;
12;1;4;1;fichier bn:00021475n,méthode post bn:00045088n,langage de script bn:01431715n,list bn:04720346n,;C4.csv,;
13;1;9;1;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,text bn:14981519n,langage de script bn:01431715n,typage bn:00016413n,mot bn:00081546n,afficher bn:00087013v,visiteur bn:03106425n,;C9.csv,;
14;1;10;1;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,commentaire bn:00020978n,délimiter bn:00086464v,case à cocher bn:03157691n,nombre bn:00058285n,interpréter bn:00089840v,côté serveur bn:03816678n,serveur bn:00044916n,;C2.csv,;
15;1;12;1;client bn:00019764n,url bn:00079080n,langage bn:00049910n,case bn:04777941n,fermeture bn:16858148n,site bn:00047172n,france bn:00036202n,timestamp bn:03603649n,session bn:03751534n,chaîne bn:00074685n,header bn:00043309n,accéder bn:00082209v,;C7.csv,;
16;1;14;1;page web bn:00080778n,navigateur bn:00013447n,serveur web bn:02705179n,base de donnée bn:00025333n,texte bn:00076732n,concerner bn:00083240v,délimiter bn:00086464v,nombre bn:00058285n,utilisateur bn:00079373n,associer bn:00082868v,personne bn:00046516n,méthode post bn:00045088n,mysql bn:01225760n,salaire bn:15928884n,;C1.csv,;
17;1;16;1;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,code bn:00020354n,fois bn:00032768n,post bn:01500184n,text bn:14981519n,jour bn:00000086n,site bn:00047172n,foreach bn:03463379n,cle bn:04756252n,paris bn:00015540n,classe bn:03608262n,class bn:03598962n,mysqli bn:01438356n,;C8.csv,;
18;0;51;0;page web bn:00080778n,navigateur bn:00013447n,serveur web bn:02705179n,fichier bn:00021475n,client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,code bn:00020354n,texte bn:00076732n,concerner bn:00083240v,commentaire bn:00020978n,délimiter bn:00086464v,fois bn:00032768n,url bn:00079080n,case à cocher bn:03157691n,post bn:01500184n,nombre bn:00058285n,text bn:14981519n,langage bn:00049910n,utilisateur bn:00079373n,case bn:04777941n,associer bn:00082868v,personne bn:00046516n,méthode post bn:00045088n,fermeture bn:16858148n,mysql bn:01225760n,salaire bn:15928884n,jour bn:00000086n,site bn:00047172n,france bn:00036202n,langage de script bn:01431715n,interpréter bn:00089840v,côté serveur bn:03816678n,serveur bn:00044916n,typage bn:00016413n,foreach bn:03463379n,list bn:04720346n,cle bn:04756252n,mot bn:00081546n,timestamp bn:03603649n,session bn:03751534n,afficher bn:00087013v,chaîne bn:00074685n,header bn:00043309n,accéder bn:00082209v,paris bn:00015540n,classe bn:03608262n,class bn:03598962n,mysqli bn:01438356n,visiteur bn:03106425n,;;
