X ; C1.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web statiques bn:03576307n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
disque dur bn:00073359n ; 0.0689655 ; 0 ; 0 ; 0.0689655 ; 0 ; 0
client serveur bn:03496583n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
donnée bn:00025314n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
javascript bn:00055423n ; 0.228571 ; 0.2 ; 0.242424 ; 0 ; 0 ; 0.222222
perl bn:01723165n ; 0.129032 ; 0 ; 0.137931 ; 0 ; 0 ; 0.125
python bn:01713224n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.129032 ; 0.111111 ; 0 ; 0.129032 ; 0 ; 0
code bn:00020354n ; 0.129032 ; 0.111111 ; 0 ; 0.129032 ; 0 ; 0
code source bn:00072947n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.228571 ; 0.2 ; 0.242424 ; 0.228571 ; 0 ; 0
mise en forme bn:01681906n ; 0.0689655 ; 0 ; 0.0740741 ; 0 ; 0 ; 0
affichage bn:00010421n ; 0.348837 ; 0.340426 ; 0.365854 ; 0.348837 ; 0 ; 0.340909
gras bn:00011848n ; 0.0689655 ; 0 ; 0.0740741 ; 0 ; 0 ; 0
chemin bn:03131414n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
lien hypertextes bn:00045513n ; 0.325581 ; 0.347826 ; 0.341463 ; 0 ; 0.333333 ; 0.348837
textuels bn:00111786a ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
page web dynamique bn:00937946n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0.129032 ; 0 ; 0.137931 ; 0.129032 ; 0 ; 0
champ de saisie bn:03113401n ; 0.325581 ; 0.347826 ; 0.341463 ; 0 ; 0.333333 ; 0.348837
size bn:03645138n ; 0.0689655 ; 0 ; 0 ; 0 ; 0.0714286 ; 0
vide bn:00087578v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
liste déroulante bn:00028831n ; 0.0689655 ; 0 ; 0.0740741 ; 0 ; 0 ; 0
sélectionner bn:00084931v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
déclencher bn:00082306v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
réinitialisation bn:00067306n ; 0.0689655 ; 0.0588235 ; 0 ; 0 ; 0 ; 0
langage bn:00049910n ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
langage impératif bn:01246770n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
impératif bn:00104644a ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
zones bn:00005513n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
affectation bn:02806034n ; 0.129032 ; 0.111111 ; 0 ; 0.129032 ; 0 ; 0
booléen bn:00294693n ; 0.333333 ; 0.355556 ; 0.317073 ; 0.333333 ; 0.309524 ; 0
réalité bn:00066414n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
concatène bn:00085508v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
addition bn:00001296n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
soustraction bn:00055233n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
multiplié bn:00090977v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
égalité bn:00031284n ; 0.0689655 ; 0 ; 0.0740741 ; 0 ; 0 ; 0
logiques bn:00051845n ; 0.372093 ; 0.333333 ; 0 ; 0.372093 ; 0.380952 ; 0.363636
syntaxe bn:00062118n ; 0.129032 ; 0 ; 0.137931 ; 0 ; 0 ; 0.125
prenom bn:15996005n ; 0.228571 ; 0 ; 0 ; 0.228571 ; 0.235294 ; 0.222222
structure de contrôle bn:00047734n ; 0.129032 ; 0.111111 ; 0 ; 0 ; 0 ; 0.125
définition bn:00025928n ; 0.129032 ; 0 ; 0.137931 ; 0 ; 0 ; 0.125
initialiser bn:00089742v ; 0.129032 ; 0.111111 ; 0 ; 0.129032 ; 0 ; 0
dépendre bn:00086606v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
passwd bn:14874750n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
phase bn:00061898n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
être utile bn:00085368v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
boucle while bn:03237310n ; 0.129032 ; 0 ; 0 ; 0 ; 0.133333 ; 0.125
euro bn:00031888n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
etc bn:00114282r ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
programmation bn:00021493n ; 0.228571 ; 0.2 ; 0.242424 ; 0 ; 0 ; 0.222222
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0344828
détruire bn:00084204v ; 0.129032 ; 0 ; 0 ; 0.129032 ; 0 ; 0.125
second bn:00105773a ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
ordinateur bn:00021464n ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
université de rouen bn:00601230n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0
langage de programmation bn:00064652n ; 0 ; 0.0588235 ; 0.0740741 ; 0 ; 0 ; 0
évolué bn:00084199v ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0
crée bn:00086008v ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0
