X ; C3.csv ; C5.csv ; C6.csv
php bn:01753580n ; 0 ; 0 ; 0.333333
serveur bn:00044916n ; 0 ; 0 ; 0.333333
chaîne bn:00074685n ; 0 ; 0.333333 ; 0
nombre bn:00058285n ; 0 ; 0.333333 ; 0
fichiers bn:00021475n ; 0 ; 0 ; 0.333333
code bn:00020354n ; 0 ; 0 ; 0.333333
echo bn:03626250n ; 0 ; 0 ; 0.333333
files bn:00065682n ; 0 ; 0 ; 0.333333
class bn:03598962n ; 0 ; 0.333333 ; 0
configuration bn:03088982n ; 0.333333 ; 0 ; 0
insert bn:03795444n ; 0.333333 ; 0 ; 0
client bn:00019764n ; 0.333333 ; 0 ; 0
composer bn:14766022n ; 0 ; 0 ; 0.333333
null bn:15898583n ; 0 ; 0.333333 ; 0
