X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0 ; 0.0451977 ; 0 ; 0.0451977 ; 0.0451977 ; 0 ; 0.0451977 ; 0
navigateur bn:00013447n ; 0 ; 0.169492 ; 0.19774 ; 0 ; 0.19774 ; 0.225989 ; 0.124294 ; 0.146893 ; 0.19209
serveur web bn:02705179n ; 0 ; 0.135593 ; 0.158192 ; 0.146893 ; 0.158192 ; 0.158192 ; 0 ; 0 ; 0.146893
fichier bn:00021475n ; 0.0564972 ; 0 ; 0 ; 0 ; 0.079096 ; 0.0734463 ; 0 ; 0.0564972 ; 0.079096
client bn:00019764n ; 0.0225989 ; 0 ; 0.0225989 ; 0.0225989 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.039548 ; 0.0338983 ; 0.0451977 ; 0 ; 0.0338983 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.079096 ; 0.079096 ; 0.0677966 ; 0.0903955 ; 0 ; 0.0677966 ; 0 ; 0
php bn:01753580n ; 0.0903955 ; 0 ; 0.0903955 ; 0.0903955 ; 0 ; 0.0903955 ; 0 ; 0 ; 0.0903955
code bn:00020354n ; 0.152542 ; 0.163842 ; 0 ; 0.163842 ; 0.214689 ; 0.20339 ; 0.079096 ; 0 ; 0.163842
texte bn:00076732n ; 0 ; 0.20339 ; 0.225989 ; 0.19209 ; 0.248588 ; 0.225989 ; 0.135593 ; 0 ; 0.180791
concerner bn:00083240v ; 0 ; 0 ; 0.079096 ; 0.0677966 ; 0.0903955 ; 0.079096 ; 0.0677966 ; 0 ; 0
commentaire bn:00020978n ; 0.107345 ; 0 ; 0.135593 ; 0.129944 ; 0.146893 ; 0 ; 0 ; 0.0960452 ; 0.146893
délimiter bn:00086464v ; 0 ; 0 ; 0.0451977 ; 0.0451977 ; 0 ; 0.0451977 ; 0 ; 0.0451977 ; 0
fois bn:00032768n ; 0.169492 ; 0.20339 ; 0.214689 ; 0 ; 0.214689 ; 0.237288 ; 0.101695 ; 0 ; 0.180791
url bn:00079080n ; 0.0903955 ; 0 ; 0.0903955 ; 0.0903955 ; 0.0903955 ; 0 ; 0 ; 0 ; 0.0903955
case à cocher bn:03157691n ; 0.0451977 ; 0 ; 0 ; 0.0451977 ; 0 ; 0.0451977 ; 0 ; 0 ; 0.0451977
post bn:01500184n ; 0 ; 0.079096 ; 0.0847458 ; 0 ; 0.079096 ; 0.0903955 ; 0 ; 0 ; 0.079096
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0338983 ; 0.0451977 ; 0 ; 0.0338983 ; 0.039548 ; 0
