Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;7;0;9;;C1,C2,C3,C4,C5,C6,C7,C8,C9,;
1;7;1;7;navigateur bn:00013447n,;C2,C3,C5,C6,C7,C8,C9,;
2;5;1;5;donnée bn:00025314n,;C2,C3,C4,C5,C7,;
3;5;1;5;concerner bn:00083240v,;C3,C4,C5,C6,C7,;
4;7;1;7;fois bn:00032768n,;C1,C2,C3,C5,C6,C7,C9,;
5;6;1;6;text bn:14981519n,;C1,C2,C3,C4,C5,C6,;
6;6;1;7;fermeture bn:16858148n,;C1,C3,C4,C5,C6,C8,C9,;
7;6;1;6;programmation bn:00021493n,;C1,C2,C4,C5,C6,C9,;
8;6;1;7;méthode bn:01641329n,;C2,C4,C5,C6,C7,C8,C9,;
9;6;2;6;navigateur bn:00013447n,fois bn:00032768n,;C2,C3,C5,C6,C7,C9,;
10;6;2;6;navigateur bn:00013447n,méthode post bn:00045088n,;C2,C3,C6,C7,C8,C9,;
11;5;2;5;navigateur bn:00013447n,fermeture bn:16858148n,;C3,C5,C6,C8,C9,;
12;6;2;6;navigateur bn:00013447n,méthode bn:01641329n,;C2,C5,C6,C7,C8,C9,;
13;6;2;6;serveur web bn:02705179n,foreach bn:03463379n,;C2,C3,C4,C5,C6,C9,;
14;5;2;5;fichier bn:00021475n,fermeture bn:16858148n,;C1,C5,C6,C8,C9,;
15;4;2;4;donnée bn:00025314n,méthode bn:01641329n,;C2,C4,C5,C7,;
16;5;2;5;php bn:01753580n,fermeture bn:16858148n,;C1,C3,C4,C6,C9,;
17;4;2;4;concerner bn:00083240v,méthode bn:01641329n,;C4,C5,C6,C7,;
18;6;2;6;commentaire bn:00020978n,fermeture bn:16858148n,;C1,C3,C4,C5,C8,C9,;
19;4;2;4;délimiter bn:00086464v,fermeture bn:16858148n,;C3,C4,C6,C8,;
20;5;2;5;fois bn:00032768n,text bn:14981519n,;C1,C2,C3,C5,C6,;
21;5;2;5;fois bn:00032768n,case bn:04777941n,;C1,C2,C3,C6,C9,;
22;5;2;5;fois bn:00032768n,fermeture bn:16858148n,;C1,C3,C5,C6,C9,;
23;5;2;5;fois bn:00032768n,programmation bn:00021493n,;C1,C2,C5,C6,C9,;
24;4;2;4;nombre bn:00058285n,méthode bn:01641329n,;C4,C5,C7,C8,;
25;5;2;5;text bn:14981519n,fermeture bn:16858148n,;C1,C3,C4,C5,C6,;
26;5;2;5;text bn:14981519n,programmation bn:00021493n,;C1,C2,C4,C5,C6,;
27;5;2;5;fermeture bn:16858148n,programmation bn:00021493n,;C1,C4,C5,C6,C9,;
28;5;2;5;fermeture bn:16858148n,méthode bn:01641329n,;C4,C5,C6,C8,C9,;
29;4;3;4;page web bn:00080778n,navigateur bn:00013447n,fermeture bn:16858148n,;C3,C5,C6,C8,;
30;4;3;4;navigateur bn:00013447n,donnée bn:00025314n,fois bn:00032768n,;C2,C3,C5,C7,;
31;5;3;5;navigateur bn:00013447n,texte bn:00076732n,fois bn:00032768n,;C3,C5,C6,C7,C9,;
32;5;3;5;navigateur bn:00013447n,fois bn:00032768n,méthode post bn:00045088n,;C2,C3,C6,C7,C9,;
33;5;3;5;navigateur bn:00013447n,fois bn:00032768n,méthode bn:01641329n,;C2,C5,C6,C7,C9,;
34;3;3;3;navigateur bn:00013447n,nombre bn:00058285n,méthode bn:01641329n,;C5,C7,C8,;
35;4;3;4;navigateur bn:00013447n,méthode post bn:00045088n,fermeture bn:16858148n,;C3,C6,C8,C9,;
36;5;3;5;navigateur bn:00013447n,méthode post bn:00045088n,méthode bn:01641329n,;C2,C6,C7,C8,C9,;
37;4;3;4;serveur web bn:02705179n,foreach bn:03463379n,cle bn:04756252n,;C2,C3,C4,C9,;
38;4;3;4;base de donnée bn:00025333n,donnée bn:00025314n,concerner bn:00083240v,;C3,C4,C5,C7,;
39;4;3;4;php bn:01753580n,text bn:14981519n,fermeture bn:16858148n,;C1,C3,C4,C6,;
40;5;3;5;commentaire bn:00020978n,url bn:00079080n,fermeture bn:16858148n,;C1,C3,C4,C5,C9,;
41;5;3;5;commentaire bn:00020978n,langage bn:00049910n,fermeture bn:16858148n,;C1,C3,C5,C8,C9,;
42;5;3;5;commentaire bn:00020978n,personne bn:00046516n,fermeture bn:16858148n,;C3,C4,C5,C8,C9,;
