Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;9;0;9;;C1,C2,C3,C4,C5,C6,C7,C8,C9,;
1;8;1;8;navigateur bn:00013447n,;C2,C3,C4,C5,C6,C7,C8,C9,;
2;7;1;7;fichier bn:00021475n,;C1,C3,C4,C5,C6,C7,C8,;
3;7;1;7;base de donnée bn:00025333n,;C1,C3,C4,C5,C7,C8,C9,;
4;8;1;8;langage bn:00049910n,;C1,C2,C3,C4,C5,C6,C8,C9,;
5;6;1;6;booléen bn:00294693n,;C1,C2,C3,C4,C7,C8,;
6;8;1;8;logiques bn:00051845n,;C1,C2,C3,C5,C6,C7,C8,C9,;
7;6;2;6;navigateur bn:00013447n,fichier bn:00021475n,;C3,C4,C5,C6,C7,C8,;
8;6;2;6;navigateur bn:00013447n,base de donnée bn:00025333n,;C3,C4,C5,C7,C8,C9,;
9;7;2;7;navigateur bn:00013447n,langage bn:00049910n,;C2,C3,C4,C5,C6,C8,C9,;
10;7;2;7;navigateur bn:00013447n,logiques bn:00051845n,;C2,C3,C5,C6,C7,C8,C9,;
11;6;2;6;navigateur bn:00013447n,switch bn:01071927n,;C2,C3,C4,C7,C8,C9,;
12;7;2;7;navigateur bn:00013447n,méthode bn:01641329n,;C2,C4,C5,C6,C7,C8,C9,;
13;6;2;6;fichier bn:00021475n,base de donnée bn:00025333n,;C1,C3,C4,C5,C7,C8,;
14;6;2;6;fichier bn:00021475n,logiques bn:00051845n,;C1,C3,C5,C6,C7,C8,;
15;6;2;6;base de donnée bn:00025333n,logiques bn:00051845n,;C1,C3,C5,C7,C8,C9,;
16;7;2;7;lien hypertextes bn:00045513n,langage bn:00049910n,;C1,C2,C4,C5,C6,C8,C9,;
17;5;2;5;langage bn:00049910n,booléen bn:00294693n,;C1,C2,C3,C4,C8,;
18;7;2;7;langage bn:00049910n,logiques bn:00051845n,;C1,C2,C3,C5,C6,C8,C9,;
19;7;2;7;langage bn:00049910n,fermeture bn:16858148n,;C1,C3,C4,C5,C6,C8,C9,;
20;6;2;6;logiques bn:00051845n,prenom bn:15996005n,;C1,C5,C6,C7,C8,C9,;
21;7;2;7;logiques bn:00051845n,méthode post bn:00045088n,;C1,C2,C3,C6,C7,C8,C9,;
22;5;3;5;navigateur bn:00013447n,fichier bn:00021475n,base de donnée bn:00025333n,;C3,C4,C5,C7,C8,;
23;5;3;5;navigateur bn:00013447n,fichier bn:00021475n,logiques bn:00051845n,;C3,C5,C6,C7,C8,;
24;5;3;5;navigateur bn:00013447n,fichier bn:00021475n,méthode bn:01641329n,;C4,C5,C6,C7,C8,;
25;5;3;5;navigateur bn:00013447n,base de donnée bn:00025333n,logiques bn:00051845n,;C3,C5,C7,C8,C9,;
26;5;3;5;navigateur bn:00013447n,base de donnée bn:00025333n,switch bn:01071927n,;C3,C4,C7,C8,C9,;
27;5;3;5;navigateur bn:00013447n,base de donnée bn:00025333n,méthode bn:01641329n,;C4,C5,C7,C8,C9,;
28;6;3;6;navigateur bn:00013447n,langage bn:00049910n,logiques bn:00051845n,;C2,C3,C5,C6,C8,C9,;
29;6;3;6;navigateur bn:00013447n,langage bn:00049910n,fermeture bn:16858148n,;C3,C4,C5,C6,C8,C9,;
30;5;3;5;navigateur bn:00013447n,langage bn:00049910n,switch bn:01071927n,;C2,C3,C4,C8,C9,;
31;5;3;5;navigateur bn:00013447n,booléen bn:00294693n,switch bn:01071927n,;C2,C3,C4,C7,C8,;
32;6;3;6;navigateur bn:00013447n,logiques bn:00051845n,méthode post bn:00045088n,;C2,C3,C6,C7,C8,C9,;
33;6;3;6;navigateur bn:00013447n,logiques bn:00051845n,méthode bn:01641329n,;C2,C5,C6,C7,C8,C9,;
34;5;3;5;navigateur bn:00013447n,switch bn:01071927n,méthode bn:01641329n,;C2,C4,C7,C8,C9,;
35;5;3;5;fichier bn:00021475n,base de donnée bn:00025333n,booléen bn:00294693n,;C1,C3,C4,C7,C8,;
36;5;3;5;fichier bn:00021475n,base de donnée bn:00025333n,logiques bn:00051845n,;C1,C3,C5,C7,C8,;
37;6;3;6;fichier bn:00021475n,langage bn:00049910n,fermeture bn:16858148n,;C1,C3,C4,C5,C6,C8,;
38;5;3;5;fichier bn:00021475n,logiques bn:00051845n,prenom bn:15996005n,;C1,C5,C6,C7,C8,;
39;5;3;5;fichier bn:00021475n,logiques bn:00051845n,méthode post bn:00045088n,;C1,C3,C6,C7,C8,;
40;5;3;5;base de donnée bn:00025333n,logiques bn:00051845n,prenom bn:15996005n,;C1,C5,C7,C8,C9,;
41;5;3;5;base de donnée bn:00025333n,logiques bn:00051845n,méthode post bn:00045088n,;C1,C3,C7,C8,C9,;
42;8;3;8;code bn:00020354n,affichage bn:00010421n,post bn:01500184n,;C1,C2,C3,C4,C5,C6,C7,C9,;
43;5;3;5;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,;C1,C2,C4,C8,C9,;
44;6;3;6;lien hypertextes bn:00045513n,langage bn:00049910n,logiques bn:00051845n,;C1,C2,C5,C6,C8,C9,;
45;6;3;6;lien hypertextes bn:00045513n,langage bn:00049910n,fermeture bn:16858148n,;C1,C4,C5,C6,C8,C9,;
46;6;3;6;langage bn:00049910n,logiques bn:00051845n,méthode post bn:00045088n,;C1,C2,C3,C6,C8,C9,;
47;6;3;6;langage bn:00049910n,logiques bn:00051845n,fermeture bn:16858148n,;C1,C3,C5,C6,C8,C9,;
48;5;3;5;booléen bn:00294693n,logiques bn:00051845n,méthode post bn:00045088n,;C1,C2,C3,C7,C8,;
49;5;3;5;logiques bn:00051845n,prenom bn:15996005n,méthode post bn:00045088n,;C1,C6,C7,C8,C9,;
50;4;4;4;navigateur bn:00013447n,fichier bn:00021475n,base de donnée bn:00025333n,logiques bn:00051845n,;C3,C5,C7,C8,;
51;4;4;4;navigateur bn:00013447n,fichier bn:00021475n,base de donnée bn:00025333n,méthode bn:01641329n,;C4,C5,C7,C8,;
52;5;4;5;navigateur bn:00013447n,fichier bn:00021475n,langage bn:00049910n,fermeture bn:16858148n,;C3,C4,C5,C6,C8,;
53;4;4;4;navigateur bn:00013447n,fichier bn:00021475n,logiques bn:00051845n,méthode post bn:00045088n,;C3,C6,C7,C8,;
54;4;4;4;navigateur bn:00013447n,client bn:00019764n,logiques bn:00051845n,méthode bn:01641329n,;C2,C5,C7,C8,;
55;4;4;4;navigateur bn:00013447n,base de donnée bn:00025333n,switch bn:01071927n,méthode bn:01641329n,;C4,C7,C8,C9,;
56;6;4;6;navigateur bn:00013447n,lien hypertextes bn:00045513n,langage bn:00049910n,méthode bn:01641329n,;C2,C4,C5,C6,C8,C9,;
57;4;4;4;navigateur bn:00013447n,langage bn:00049910n,booléen bn:00294693n,switch bn:01071927n,;C2,C3,C4,C8,;
58;5;4;5;navigateur bn:00013447n,langage bn:00049910n,logiques bn:00051845n,méthode post bn:00045088n,;C2,C3,C6,C8,C9,;
59;4;4;4;navigateur bn:00013447n,booléen bn:00294693n,switch bn:01071927n,méthode bn:01641329n,;C2,C4,C7,C8,;
60;5;4;5;navigateur bn:00013447n,logiques bn:00051845n,prenom bn:15996005n,méthode bn:01641329n,;C5,C6,C7,C8,C9,;
61;5;4;5;navigateur bn:00013447n,logiques bn:00051845n,méthode post bn:00045088n,switch bn:01071927n,;C2,C3,C7,C8,C9,;
62;5;4;5;navigateur bn:00013447n,logiques bn:00051845n,méthode post bn:00045088n,méthode bn:01641329n,;C2,C6,C7,C8,C9,;
63;4;4;4;fichier bn:00021475n,base de donnée bn:00025333n,logiques bn:00051845n,prenom bn:15996005n,;C1,C5,C7,C8,;
64;5;4;5;fichier bn:00021475n,lien hypertextes bn:00045513n,langage bn:00049910n,fermeture bn:16858148n,;C1,C4,C5,C6,C8,;
65;5;4;5;fichier bn:00021475n,langage bn:00049910n,logiques bn:00051845n,fermeture bn:16858148n,;C1,C3,C5,C6,C8,;
66;4;4;4;fichier bn:00021475n,logiques bn:00051845n,prenom bn:15996005n,méthode post bn:00045088n,;C1,C6,C7,C8,;
67;6;4;6;base de donnée bn:00025333n,commentaire bn:00020978n,langage bn:00049910n,fermeture bn:16858148n,;C1,C3,C4,C5,C8,C9,;
68;4;4;4;base de donnée bn:00025333n,logiques bn:00051845n,prenom bn:15996005n,méthode post bn:00045088n,;C1,C7,C8,C9,;
69;7;4;7;php bn:01753580n,code bn:00020354n,affichage bn:00010421n,post bn:01500184n,;C1,C2,C3,C4,C5,C7,C9,;
70;7;4;7;code bn:00020354n,fichier texte bn:00028018n,affichage bn:00010421n,post bn:01500184n,;C1,C2,C3,C4,C5,C6,C7,;
71;4;4;4;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,;C1,C2,C4,C8,;
72;5;4;5;lien hypertextes bn:00045513n,langage bn:00049910n,logiques bn:00051845n,méthode post bn:00045088n,;C1,C2,C6,C8,C9,;
73;4;4;4;langage bn:00049910n,booléen bn:00294693n,logiques bn:00051845n,méthode post bn:00045088n,;C1,C2,C3,C8,;
74;5;4;5;langage bn:00049910n,logiques bn:00051845n,méthode post bn:00045088n,fermeture bn:16858148n,;C1,C3,C6,C8,C9,;
