Objects;Weight
science bn:00069670n;0.181313
computer bn:00021464n;0.30812
north-holland bn:03160161n;0.00889878
statecharts bn:01128895n;1
systems bn:15125301n;0.657397
david harel bn:03178978n;0.0378198
applied mathematics bn:00005103n;0.00222469
mathematics bn:00053823n;0.645161
weizmann bn:00017485n;0.00222469
weizmann institute bn:03173130n;0.00444939
institute bn:00046952n;0.00444939
rehovot bn:02588387n;0.00222469
israel bn:00047679n;0.00444939
pnueli bn:02432625n;0.00444939
december 1984 bn:02815569n;0.00222469
july bn:00048548n;0.00444939
july 1986 bn:02831635n;0.00222469
state bn:00023236n;0.189099
state machine bn:00212740n;1
diagrams bn:00026817n;0.600667
relevant bn:00109659a;0.00889878
real-time bn:00109500a;0.00778643
real-time systems bn:01927979n;0.00222469
communication bn:00021221n;0.0756396
communication protocol bn:00021227n;0.00444939
digital control bn:03371928n;0.00222469
units bn:00021497n;0.450501
notion bn:00058174n;0.00889878
hierarchy bn:00044017n;0.00444939
language bn:00049910n;0.265851
structured bn:00094491v;0.00444939
behavior bn:00009657n;0.14683
enable bn:00087587v;0.0177976
manageable bn:00096274a;0.00444939
attractive bn:00097733a;0.00222469
behavioral bn:00098202a;0.00222469
design methodology bn:02802208n;0.00222469
methodology bn:00054633n;0.0333704
functional decomposition bn:00302749n;0.00444939
data-flow bn:03750145n;0.00889878
experience bn:00032306n;0.00444939
particularly bn:00115235r;0.00889878
complex bn:00100148a;0.278087
complex system bn:03086504n;0.0600667
literature bn:00051538n;0.00444939
system engineering bn:02138008n;0.00444939
engineering bn:00086870v;0.0177976
problem bn:00048242n;0.103448
reactive systems bn:02824399n;0.0856507
characterized bn:00084801v;0.00222469
example bn:00032100n;0.307008
automobiles bn:00007309n;0.0355951
communication networks bn:03231902n;0.00444939
networks bn:00024712n;0.0177976
computer operating systems bn:00059123n;0.00889878
missile bn:00055322n;0.00222469
avionics bn:00007477n;0.00222469
man-machine interface bn:00047088n;0.0177976
kind bn:00035907n;0.0278087
rooted bn:00093113v;0.00222469
difficulty bn:00027043n;0.00222469
way bn:00033729n;0.183537
time bn:00077270n;0.817575
research bn:00067280n;0.0177976
author bn:00007287n;0.0177976
consulting bn:00085686v;0.00222469
research development bn:02012371n;0.00222469
aircraft bn:00002275n;0.00444939
aircraft industries bn:03857294n;0.00222469
industries bn:00046576n;0.00444939
ad bn:00001227n;0.00889878
cad bn:00014510n;0.00222469
rigorous bn:00109874a;0.00889878
detailed bn:00101268a;0.00222469
simulation bn:00021496n;0.0600667
really bn:00115504r;0.00889878
set bn:00070697n;0.21802
output bn:00036821n;0.352614
information bn:00046705n;0.100111
usually bn:00114778r;0.131257
lend bn:00090289v;0.00222469
gradual bn:00103716a;0.00222469
mind bn:00012681n;0.0177976
input/output bn:01541423n;0.00444939
tool bn:00077585n;0.201335
very well bn:00114213r;0.00222469
difficult bn:00101358a;0.00444939
number bn:00058285n;0.259177
medium bn:00054149n;0.00444939
state transition bn:03348716n;0.283648
alpha state bn:02017266n;0.00222469
concerning bn:00083240v;0.0177976
dynamics bn:00029296n;0.00889878
nature bn:00057017n;0.057842
directed graphs bn:01240512n;0.0355951
denoting bn:00086587v;0.0177976
triggering bn:00082306v;0.31257
unstructured bn:00113284a;0.00222469
hierarchical bn:00104156a;0.0355951
gearbox bn:14477485n;0.00222469
ability bn:00000318n;0.00444939
orthogonality bn:00059586n;0.117909
flowchart bn:00035375n;0.00444939
techniques bn:00076341n;0.0355951
computer science bn:00021494n;0.0645161
research community bn:02747390n;0.00222469
main bn:00099598a;0.0711902
possible bn:00108829a;0.477197
easily bn:00115155r;0.0355951
forth bn:00114455r;0.00222469
broadcast bn:00013234n;0.0767519
idea bn:00045800n;0.0177976
strongly bn:00116666r;0.00222469
diagrammatic bn:00101317a;0.00889878
textual bn:00111786a;0.00222469
mundane name bn:03003964n;0.00222469
lack bn:00090161v;0.00444939
chart bn:00017904n;0.0177976
version bn:00047114n;0.0656285
stratification bn:00072553n;0.00222469
entirety bn:00031025n;0.00222469
investigation bn:00047354n;0.00222469
addition bn:00001296n;0.0355951
temporal logic bn:02569818n;0.00444939
logic bn:00051845n;0.14238
probabilism bn:00064506n;0.00222469
semantics bn:00070404n;0.434928
treatment bn:00027523n;0.00889878
mentioned bn:00082412v;0.00889878
implementation bn:00016287n;0.117909
graphical representation bn:00509244n;0.00444939
area bn:00005513n;0.00444939
location bn:00062699n;0.00889878
rounded bn:00084164v;0.00889878
rectangle bn:00066608n;0.0177976
graphics bn:00005929n;0.00222469
concept bn:00021547n;0.37931
euler bn:00031826n;0.00444939
circles bn:00019169n;0.00889878
abbreviation bn:00000239n;0.00889878
occurring bn:00085337v;0.0956618
instant bn:00046942n;0.00222469
lb bn:00050327n;0.00222469
citizen watch bn:01538519n;0.00222469
america bn:00003341n;0.170189
angle bn:00004117n;0.00222469
say bn:00093287v;0.00889878
added bn:00082317v;0.00889878
give rise bn:00084069v;0.00222469
illustrated bn:00087826v;0.0344828
achieved bn:00082226v;0.0333704
time being bn:00057921n;0.00222469
significance bn:00046139n;0.00222469
world concerned bn:00334798n;0.00222469
obvious bn:00097350a;0.00889878
automata bn:00007371n;0.123471
beeper bn:00009588n;0.00222469
c d bn:00016915n;0.0611791
am/pm bn:01752019n;0.00222469
hour bn:00000127n;0.00444939
month bn:00014710n;0.00444939
week bn:00043484n;0.00222469
stopwatch bn:00074440n;0.0155729
terminology bn:00049915n;0.00444939
distinction bn:00027036n;0.00444939
likely bn:00105981a;0.00222469
detected bn:00086708v;0.0177976
normal bn:00107587a;0.00889878
observation bn:00058495n;0.00222469
avoided bn:00082954v;0.00889878
beeping bn:00083319v;0.00444939
t2 bn:00052738n;0.00222469
sec bn:00068672n;0.0333704
sleep bn:00072101n;0.00222469
available bn:00097846a;0.00444939
things bn:00006125n;0.00444939
good enough bn:00103688a;0.00222469
min bn:00055094n;0.00444939
frequent bn:00103324a;0.00222469
history bn:00044268n;0.269188
corresponding bn:00085837v;0.0177976
asterisk bn:00006605n;0.00889878
effect bn:00021961n;0.163515
modifying bn:00082553v;0.0333704
require bn:00091028v;0.177976
pressing bn:00091991v;0.00444939
contradiction bn:00022245n;0.00222469
determinism bn:00026654n;0.0177976
dashed bn:00086292v;0.00889878
simultaneous bn:00099916a;0.0600667
happenings bn:00042904n;0.00222469
dependence bn:00026351n;0.00222469
generalization bn:00037671n;0.00222469
lack bn:00025913n;0.00222469
application bn:00005095n;0.201335
radar bn:00054808n;0.00222469
calibration bn:00014732n;0.00222469
matter bn:00053867n;0.00444939
omitted bn:00087798v;0.00444939
explicit bn:00102589a;0.00222469
epsilon bn:00031270n;0.00222469
possibility bn:00045632n;0.185762
merging bn:00083597v;0.00222469
stubbed bn:00094497v;0.00222469
rely bn:00083095v;0.00222469
delta h bn:00031016n;0.00222469
separate bn:00110423a;0.00222469
