X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
science bn:00069670n ; 0.0677966 ; 0.065678 ; 0.0635593 ; 0 ; 0.0720339 ; 0 ; 0 ; 0.0550847 ; 0.0466102 ; 0 ; 0.0529661 ; 0 ; 0
computer bn:00021464n ; 0.0402542 ; 0 ; 0.0402542 ; 0.0381356 ; 0.0487288 ; 0 ; 0 ; 0 ; 0.0275424 ; 0 ; 0.0360169 ; 0 ; 0
statecharts bn:01128895n ; 0.118644 ; 0.101695 ; 0.0995763 ; 0.101695 ; 0.101695 ; 0 ; 0 ; 0.0805085 ; 0 ; 0 ; 0 ; 0.101695 ; 0
systems bn:15125301n ; 0 ; 0.101695 ; 0.0720339 ; 0.0805085 ; 0 ; 0.0677966 ; 0.0614407 ; 0 ; 0 ; 0.0487288 ; 0 ; 0.103814 ; 0.0699153
david harel bn:03178978n ; 0.0211864 ; 0 ; 0 ; 0 ; 0.0233051 ; 0 ; 0 ; 0.0211864 ; 0.0169492 ; 0 ; 0.0190678 ; 0 ; 0
mathematics bn:00053823n ; 0.137712 ; 0.17161 ; 0.141949 ; 0 ; 0.165254 ; 0.103814 ; 0 ; 0 ; 0.0572034 ; 0 ; 0.103814 ; 0.144068 ; 0.131356
state bn:00023236n ; 0 ; 0.0169492 ; 0.0169492 ; 0 ; 0 ; 0 ; 0 ; 0.0169492 ; 0 ; 0 ; 0 ; 0.0169492 ; 0
state machine bn:00212740n ; 0.15678 ; 0.175847 ; 0.133475 ; 0 ; 0.158898 ; 0 ; 0.0720339 ; 0.095339 ; 0.0720339 ; 0.0508475 ; 0.0911017 ; 0 ; 0.112288
diagrams bn:00026817n ; 0.165254 ; 0.141949 ; 0 ; 0.137712 ; 0.144068 ; 0.137712 ; 0.0826271 ; 0.095339 ; 0 ; 0 ; 0 ; 0.139831 ; 0
communication bn:00021221n ; 0.029661 ; 0 ; 0.029661 ; 0 ; 0.029661 ; 0 ; 0 ; 0.0254237 ; 0 ; 0 ; 0 ; 0 ; 0.0254237
units bn:00021497n ; 0.211864 ; 0.207627 ; 0 ; 0.180085 ; 0.190678 ; 0.177966 ; 0.101695 ; 0.114407 ; 0 ; 0 ; 0 ; 0.192797 ; 0.118644
