Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;9;0;13;;A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,C6,C7,C8,;
1;6;1;6;computer bn:00021464n,;A1,A3,A4,A5,C4,C6,;
2;6;1;6;systems bn:15125301n,;A3,A4,C1,C2,C7,C8,;
3;8;1;9;mathematics bn:00053823n,;A1,A2,A3,A5,C1,C4,C6,C7,C8,;
4;7;1;9;state machine bn:00212740n,;A1,A2,A3,A5,C2,C3,C4,C6,C8,;
5;8;1;9;units bn:00021497n,;A1,A2,A4,A5,C1,C2,C3,C7,C8,;
6;4;1;4;behavior bn:00009657n,;A1,A2,A4,C5,;
7;5;1;5;problem bn:00048242n,;A2,A3,C5,C7,C8,;
8;6;1;6;reactive systems bn:02824399n,;A1,A2,A5,C3,C5,C7,;
9;7;1;8;time bn:00077270n,;A2,A3,A4,A5,C1,C6,C7,C8,;
10;4;1;4;simulation bn:00021496n,;A1,A3,C5,C7,;
11;6;1;6;set bn:00070697n,;A1,A3,A5,C1,C2,C7,;
12;7;1;7;tool bn:00077585n,;A1,A2,A3,A4,C1,C3,C7,;
13;6;1;6;triggering bn:00082306v,;A1,A2,A3,A4,C7,C8,;
14;6;1;6;broadcast bn:00013234n,;A1,A2,A3,A5,C3,C5,;
15;7;1;8;semantics bn:00070404n,;A2,A3,C1,C3,C4,C6,C7,C8,;
16;7;1;7;concept bn:00021547n,;A1,A2,A3,A4,A5,C2,C7,;
17;7;1;7;america bn:00003341n,;A1,A2,A4,A5,C3,C6,C7,;
18;6;1;7;require bn:00091028v,;A1,A3,A4,A5,C6,C7,C8,;
19;6;1;6;possibility bn:00045632n,;A1,A2,A3,A4,A5,C3,;
20;7;1;7;second bn:00095974a,;A1,A2,A4,A5,C2,C6,C7,;
21;8;1;8;definition bn:00025928n,;A1,A2,A3,A4,A5,C1,C4,C7,;
22;6;1;6;new york bn:00041611n,;A1,A4,C2,C3,C5,C7,;
23;4;1;4;summary bn:00075142n,;A4,C4,C6,C8,;
24;6;2;7;science bn:00069670n,state machine bn:00212740n,;A1,A2,A3,A5,C3,C4,C6,;
25;3;2;3;computer bn:00021464n,summary bn:00075142n,;A4,C4,C6,;
26;3;2;3;systems bn:15125301n,state machine bn:00212740n,;A3,C2,C8,;
27;5;2;5;systems bn:15125301n,units bn:00021497n,;A4,C1,C2,C7,C8,;
28;5;2;5;systems bn:15125301n,time bn:00077270n,;A3,A4,C1,C7,C8,;
29;4;2;4;systems bn:15125301n,set bn:00070697n,;A3,C1,C2,C7,;
30;7;2;7;mathematics bn:00053823n,state machine bn:00212740n,;A1,A2,A3,A5,C4,C6,C8,;
31;6;2;6;mathematics bn:00053823n,units bn:00021497n,;A1,A2,A5,C1,C7,C8,;
32;6;2;7;mathematics bn:00053823n,time bn:00077270n,;A2,A3,A5,C1,C6,C7,C8,;
33;5;2;5;mathematics bn:00053823n,triggering bn:00082306v,;A1,A2,A3,C7,C8,;
34;6;2;7;mathematics bn:00053823n,semantics bn:00070404n,;A2,A3,C1,C4,C6,C7,C8,;
35;5;2;6;mathematics bn:00053823n,require bn:00091028v,;A1,A3,A5,C6,C7,C8,;
36;7;2;7;mathematics bn:00053823n,definition bn:00025928n,;A1,A2,A3,A5,C1,C4,C7,;
37;6;2;6;state machine bn:00212740n,units bn:00021497n,;A1,A2,A5,C2,C3,C8,;
38;5;2;5;state machine bn:00212740n,complex system bn:03086504n,;A2,A5,C2,C6,C8,;
39;6;2;6;state machine bn:00212740n,orthogonality bn:00059586n,;A1,A2,A3,A5,C3,C8,;
40;6;2;6;state machine bn:00212740n,semantics bn:00070404n,;A2,A3,C3,C4,C6,C8,;
41;5;2;5;state machine bn:00212740n,concept bn:00021547n,;A1,A2,A3,A5,C2,;
42;5;2;5;state machine bn:00212740n,second bn:00095974a,;A1,A2,A5,C2,C6,;
43;7;2;7;diagrams bn:00026817n,units bn:00021497n,;A1,A2,A4,A5,C1,C3,C7,;
44;6;2;6;units bn:00021497n,time bn:00077270n,;A2,A4,A5,C1,C7,C8,;
45;5;2;5;units bn:00021497n,triggering bn:00082306v,;A1,A2,A4,C7,C8,;
46;5;2;5;units bn:00021497n,semantics bn:00070404n,;A2,C1,C3,C7,C8,;
