X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
A1 ; 1 ; 0.323529 ; 0.256944 ; 0.298246 ; 0.39726 ; 0.202206 ; 0.141026 ; 0.24498 ; 0.108108 ; 0.0654206 ; 0.104651 ; 0.300971 ; 0.145455
A2 ; 0.323529 ; 1 ; 0.244828 ; 0.255102 ; 0.343234 ; 0.234848 ; 0.122363 ; 0.207031 ; 0.118721 ; 0.0460829 ; 0.163934 ; 0.301948 ; 0.212355
A3 ; 0.256944 ; 0.244828 ; 1 ; 0.202952 ; 0.246575 ; 0.169421 ; 0.0825243 ; 0.136752 ; 0.134831 ; 0.0454545 ; 0.169903 ; 0.251748 ; 0.204444
A4 ; 0.298246 ; 0.255102 ; 0.202952 ; 1 ; 0.287197 ; 0.238298 ; 0.121359 ; 0.181034 ; 0.0606061 ; 0.0212766 ; 0.0921053 ; 0.335766 ; 0.129555
A5 ; 0.39726 ; 0.343234 ; 0.246575 ; 0.287197 ; 1 ; 0.209559 ; 0.130252 ; 0.186312 ; 0.107143 ; 0.0267857 ; 0.216102 ; 0.28254 ; 0.174074
C1 ; 0.202206 ; 0.234848 ; 0.169421 ; 0.238298 ; 0.209559 ; 1 ; 0.0804598 ; 0.166667 ; 0.0705128 ; 0.00675676 ; 0.0510204 ; 0.334711 ; 0.134615
C2 ; 0.141026 ; 0.122363 ; 0.0825243 ; 0.121359 ; 0.130252 ; 0.0804598 ; 1 ; 0.0426829 ; 0.038835 ; 0.0348837 ; 0.0428571 ; 0.153509 ; 0.0864198
C3 ; 0.24498 ; 0.207031 ; 0.136752 ; 0.181034 ; 0.186312 ; 0.166667 ; 0.0426829 ; 1 ; 0.056338 ; 0.056 ; 0.08 ; 0.137546 ; 0.0841584
C4 ; 0.108108 ; 0.118721 ; 0.134831 ; 0.0606061 ; 0.107143 ; 0.0705128 ; 0.038835 ; 0.056338 ; 1 ; 0.0149254 ; 0.213592 ; 0.047619 ; 0.0689655
C5 ; 0.0654206 ; 0.0460829 ; 0.0454545 ; 0.0212766 ; 0.0267857 ; 0.00675676 ; 0.0348837 ; 0.056 ; 0.0149254 ; 1 ; 0.00943396 ; 0.0566038 ; 0.0148148
C6 ; 0.104651 ; 0.163934 ; 0.169903 ; 0.0921053 ; 0.216102 ; 0.0510204 ; 0.0428571 ; 0.08 ; 0.213592 ; 0.00943396 ; 1 ; 0.124 ; 0.197531
C7 ; 0.300971 ; 0.301948 ; 0.251748 ; 0.335766 ; 0.28254 ; 0.334711 ; 0.153509 ; 0.137546 ; 0.047619 ; 0.0566038 ; 0.124 ; 1 ; 0.196154
C8 ; 0.145455 ; 0.212355 ; 0.204444 ; 0.129555 ; 0.174074 ; 0.134615 ; 0.0864198 ; 0.0841584 ; 0.0689655 ; 0.0148148 ; 0.197531 ; 0.196154 ; 1
