X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
science bn:00069670n ; 0.2 ; 0.195402 ; 0.206522 ; 0 ; 0.206186 ; 0 ; 0 ; 0.191176 ; 0.191489 ; 0 ; 0.2 ; 0 ; 0
computer bn:00021464n ; 0.163043 ; 0 ; 0.180723 ; 0.1375 ; 0.168539 ; 0 ; 0 ; 0 ; 0.162162 ; 0 ; 0.236842 ; 0 ; 0
statecharts bn:01128895n ; 0 ; 0.112676 ; 0 ; 0.112676 ; 0 ; 0 ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0.109589 ; 0
systems bn:15125301n ; 0 ; 0 ; 0.179775 ; 0.180723 ; 0 ; 0.190476 ; 0.230769 ; 0 ; 0 ; 0 ; 0 ; 0.25 ; 0.183333
state bn:00023236n ; 0 ; 0.0597015 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0 ; 0 ; 0.057971 ; 0
state machine bn:00212740n ; 0.266055 ; 0.284211 ; 0.29 ; 0 ; 0.25 ; 0 ; 0 ; 0.2375 ; 0.174603 ; 0 ; 0.181818 ; 0 ; 0.233766
diagrams bn:00026817n ; 0.217822 ; 0 ; 0 ; 0.244186 ; 0.2 ; 0.292308 ; 0 ; 0.217391 ; 0 ; 0 ; 0 ; 0.197802 ; 0
communication bn:00021221n ; 0.120879 ; 0 ; 0.134146 ; 0 ; 0.125 ; 0 ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0.156863
behavior bn:00009657n ; 0.0705882 ; 0.0869565 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.210526 ; 0 ; 0 ; 0
problem bn:00048242n ; 0 ; 0.121622 ; 0.125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.192308 ; 0 ; 0.133333 ; 0.166667
example bn:00032100n ; 0.188119 ; 0.168539 ; 0 ; 0.238095 ; 0.21875 ; 0.208955 ; 0 ; 0.246154 ; 0 ; 0 ; 0 ; 0 ; 0
networks bn:00024712n ; 0.0481928 ; 0 ; 0.0540541 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0
kind bn:00035907n ; 0 ; 0 ; 0.0277778 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.117647 ; 0 ; 0 ; 0 ; 0
way bn:00033729n ; 0 ; 0 ; 0.142857 ; 0.155844 ; 0.146067 ; 0.222222 ; 0 ; 0.178571 ; 0 ; 0 ; 0 ; 0 ; 0
time bn:00077270n ; 0 ; 0 ; 0.0540541 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0.1
simulation bn:00021496n ; 0.0697674 ; 0 ; 0.0779221 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.263158 ; 0 ; 0.0985915 ; 0
set bn:00070697n ; 0.173469 ; 0 ; 0.164835 ; 0 ; 0.178947 ; 0.225806 ; 0.181818 ; 0 ; 0 ; 0 ; 0 ; 0.231707 ; 0
output bn:00036821n ; 0.119565 ; 0.16 ; 0 ; 0 ; 0.162791 ; 0 ; 0.177778 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.22449
number bn:00058285n ; 0.134831 ; 0 ; 0.135802 ; 0.133333 ; 0.139535 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.171429 ; 0 ; 0
state transition bn:03348716n ; 0.25 ; 0 ; 0.222222 ; 0.280899 ; 0.221154 ; 0.318841 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.247312 ; 0
triggering bn:00082306v ; 0.174757 ; 0.206897 ; 0.217391 ; 0.193182 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.202247 ; 0.238095
orthogonality bn:00059586n ; 0.21 ; 0.22093 ; 0.217391 ; 0 ; 0.191919 ; 0 ; 0 ; 0.223881 ; 0 ; 0 ; 0 ; 0 ; 0.258065
semantics bn:00070404n ; 0 ; 0.227273 ; 0.236559 ; 0 ; 0 ; 0.164384 ; 0 ; 0.214286 ; 0.132075 ; 0 ; 0.142857 ; 0.170213 ; 0.173913
concept bn:00021547n ; 0.275229 ; 0.205882 ; 0.214953 ; 0.28125 ; 0.247706 ; 0 ; 0.202703 ; 0 ; 0 ; 0 ; 0 ; 0.262626 ; 0
automata bn:00007371n ; 0.139785 ; 0.153846 ; 0 ; 0.168831 ; 0.157303 ; 0 ; 0 ; 0.196429 ; 0 ; 0 ; 0 ; 0 ; 0
history bn:00044268n ; 0.0246914 ; 0.0307692 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
effect bn:00021961n ; 0 ; 0.146667 ; 0 ; 0.131579 ; 0.125 ; 0 ; 0.209302 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.204082
determinism bn:00026654n ; 0.0481928 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0 ; 0 ; 0.057971 ; 0
simultaneous bn:00099916a ; 0.0365854 ; 0 ; 0 ; 0 ; 0.0379747 ; 0 ; 0 ; 0 ; 0.105263 ; 0 ; 0 ; 0 ; 0
light bn:00051108n ; 0.091954 ; 0 ; 0 ; 0.112676 ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.109589 ; 0
second bn:00095974a ; 0.205882 ; 0.215909 ; 0 ; 0.215909 ; 0.22449 ; 0 ; 0.196721 ; 0 ; 0 ; 0 ; 0.125 ; 0.172043 ; 0
reg bn:01922794n ; 0.0125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timers bn:00077309n ; 0.0246914 ; 0 ; 0 ; 0 ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
substates bn:00964536n ; 0.102273 ; 0.125 ; 0 ; 0 ; 0.13253 ; 0 ; 0.146341 ; 0 ; 0.178571 ; 0 ; 0 ; 0 ; 0
conditional bn:00100214a ; 0.0125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
operational semantics bn:02057536n ; 0.0125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
condition c bn:00675915n ; 0.0125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
subset bn:00074971n ; 0.0481928 ; 0 ; 0 ; 0.0597015 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0
management bn:00053116n ; 0.0481928 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0
higraphs bn:01691263n ; 0.0481928 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0
finite bn:00102992a ; 0.0481928 ; 0.0597015 ; 0 ; 0.0597015 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
automata theory bn:00152075n ; 0.0246914 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
entity bn:00031027n ; 0 ; 0.0307692 ; 0 ; 0 ; 0.025641 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
composite bn:00100155a ; 0 ; 0.0307692 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
sequence bn:00070574n ; 0 ; 0.0597015 ; 0.0540541 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0
large number bn:14223782n ; 0 ; 0.0597015 ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0
goal bn:00030721n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0243902 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
scenario bn:01190125n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0
city bn:03335997n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
