X ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; state bn:00023236n ; behavior bn:00009657n ; kind bn:00035907n ; number bn:00058285n ; history bn:00044268n ; effect bn:00021961n ; simultaneous bn:00099916a ; reg bn:01922794n ; timers bn:00077309n ; conditional bn:00100214a ; operational semantics bn:02057536n ; condition c bn:00675915n ; composite bn:00100155a ; goal bn:00030721n ; scenario bn:01190125n ; city bn:03335997n ; plant bn:00035324n ; transition state bn:03731398n ; police bn:00022026n ; transducer bn:00077966n ; code bn:00020354n ; traffic light bn:00074441n ; include bn:00089662v ; logical value bn:00855623n ; gate bn:00037487n ; flip-flop bn:00035248n ; autonomous bn:00097830a ; red light bn:00066676n ; composite states bn:00892979n ; inner bn:00105133a ; deep bn:00101054a ; atomic bn:00097696a ; activity diagrams bn:02627321n ; superstate bn:03656095n ; fsa bn:03013778n ; basic bn:00098103a ; fsms bn:03431506n ; state actions bn:00955439n
computer bn:00021464n ; 1 ; 0.0952381 ; 0.105263 ; 0.0555556 ; 0.2 ; 0.266667 ; 0.733333 ; 0.117647 ; 0.190476 ; 0.4 ; 0.133333 ; 0.117647 ; 0.133333 ; 0.133333 ; 0.133333 ; 0.0555556 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.133333 ; 0.266667 ; 0.133333 ; 0.0625 ; 0.133333 ; 0.117647 ; 0.133333 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.133333 ; 0.133333 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625
statecharts bn:01128895n ; 0.0952381 ; 1 ; 0.4 ; 0.5 ; 0.307692 ; 0.0909091 ; 0.117647 ; 0.2 ; 0.285714 ; 0.0769231 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.25 ; 0.25
systems bn:15125301n ; 0.105263 ; 0.4 ; 1 ; 0.25 ; 0.153846 ; 0.111111 ; 0.133333 ; 0.111111 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.25 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.666667 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
state bn:00023236n ; 0.0555556 ; 0.5 ; 0.25 ; 1 ; 0.181818 ; 0.142857 ; 0.0714286 ; 0.333333 ; 0.166667 ; 0.111111 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5
behavior bn:00009657n ; 0.2 ; 0.307692 ; 0.153846 ; 0.181818 ; 1 ; 0.0833333 ; 0.25 ; 0.444444 ; 0.266667 ; 0.153846 ; 0.222222 ; 0.181818 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.181818 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.0833333 ; 0.1 ; 0.1 ; 0.222222 ; 0.181818 ; 0.222222 ; 0.222222 ; 0.1 ; 0.1 ; 0.222222 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1 ; 0.1
kind bn:00035907n ; 0.266667 ; 0.0909091 ; 0.111111 ; 0.142857 ; 0.0833333 ; 1 ; 0.153846 ; 0.142857 ; 0.0769231 ; 0.25 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
number bn:00058285n ; 0.733333 ; 0.117647 ; 0.133333 ; 0.0714286 ; 0.25 ; 0.153846 ; 1 ; 0.153846 ; 0.235294 ; 0.307692 ; 0.181818 ; 0.153846 ; 0.181818 ; 0.181818 ; 0.181818 ; 0.0714286 ; 0.0833333 ; 0.181818 ; 0.0833333 ; 0.181818 ; 0.363636 ; 0.181818 ; 0.0833333 ; 0.181818 ; 0.153846 ; 0.181818 ; 0.181818 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.181818 ; 0.0833333 ; 0.181818 ; 0.181818 ; 0.181818 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333
history bn:00044268n ; 0.117647 ; 0.2 ; 0.111111 ; 0.333333 ; 0.444444 ; 0.142857 ; 0.153846 ; 1 ; 0.166667 ; 0.25 ; 0.5 ; 0.333333 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
effect bn:00021961n ; 0.190476 ; 0.285714 ; 0.142857 ; 0.166667 ; 0.266667 ; 0.0769231 ; 0.235294 ; 0.166667 ; 1 ; 0.142857 ; 0.0909091 ; 0.0769231 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.4 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.166667 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091
simultaneous bn:00099916a ; 0.4 ; 0.0769231 ; 0.0909091 ; 0.111111 ; 0.153846 ; 0.25 ; 0.307692 ; 0.25 ; 0.142857 ; 1 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.25 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
