Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;5;0;13;;A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,C6,C7,C8,;
1;4;1;4;computer bn:00021464n,;A2,C3,C5,C7,;
2;3;1;6;statecharts bn:01128895n,;C1,C2,C4,C5,C6,C8,;
3;3;1;3;systems bn:15125301n,;A1,A5,C3,;
4;2;1;2;mathematics bn:00053823n,;A4,C2,;
5;4;1;4;state bn:00023236n,;A1,A4,A5,C5,;
6;2;1;3;state machine bn:00212740n,;A4,C1,C7,;
7;2;1;2;communication bn:00021221n,;A2,C4,;
8;3;1;4;behavior bn:00009657n,;A5,C1,C3,C4,;
9;2;1;2;problem bn:00048242n,;A1,C1,;
10;3;1;3;example bn:00032100n,;A3,C5,C7,;
11;3;1;3;kind bn:00035907n,;A1,A2,C2,;
12;3;1;3;way bn:00033729n,;A1,A2,C8,;
13;3;1;4;time bn:00077270n,;A1,C2,C3,C4,;
14;2;1;2;set bn:00070697n,;A2,A4,;
15;4;1;4;number bn:00058285n,;A2,C5,C7,C8,;
16;3;1;3;triggering bn:00082306v,;A5,C2,C6,;
17;3;1;3;history bn:00044268n,;C3,C4,C8,;
18;3;1;3;effect bn:00021961n,;A1,A3,C3,;
19;3;1;3;traffic light bn:00074441n,;A5,C3,C5,;
20;3;2;3;computer bn:00021464n,number bn:00058285n,;A2,C5,C7,;
21;3;2;3;statecharts bn:01128895n,diagrams bn:00026817n,;C4,C6,C8,;
22;2;2;2;statecharts bn:01128895n,time bn:00077270n,;C2,C4,;
23;2;2;2;statecharts bn:01128895n,number bn:00058285n,;C5,C8,;
24;3;2;3;statecharts bn:01128895n,state transition bn:03348716n,;C2,C6,C8,;
25;2;2;2;statecharts bn:01128895n,orthogonality bn:00059586n,;C4,C5,;
26;2;2;2;statecharts bn:01128895n,concept bn:00021547n,;C1,C8,;
27;3;2;3;state bn:00023236n,semantics bn:00070404n,;A1,A5,C5,;
28;2;2;2;state machine bn:00212740n,output bn:00036821n,;A4,C7,;
29;2;2;2;behavior bn:00009657n,timers bn:00077309n,;A5,C4,;
30;2;2;2;kind bn:00035907n,way bn:00033729n,;A1,A2,;
31;2;2;2;kind bn:00035907n,time bn:00077270n,;A1,C2,;
32;2;2;2;way bn:00033729n,number bn:00058285n,;A2,C8,;
33;2;3;2;computer bn:00021464n,police bn:00022026n,traffic light bn:00074441n,;C3,C5,;
34;2;3;2;statecharts bn:01128895n,diagrams bn:00026817n,history bn:00044268n,;C4,C8,;
35;2;3;2;statecharts bn:01128895n,behavior bn:00009657n,second bn:00095974a,;C1,C4,;
36;2;3;2;statecharts bn:01128895n,state transition bn:03348716n,definition bn:00025928n,;C2,C8,;
37;2;3;2;statecharts bn:01128895n,substates bn:00964536n,transition state bn:03731398n,;C1,C6,;
38;2;3;2;systems bn:15125301n,state bn:00023236n,semantics bn:00070404n,;A1,A5,;
39;2;3;2;systems bn:15125301n,time bn:00077270n,effect bn:00021961n,;A1,C3,;
40;2;3;2;state bn:00023236n,semantics bn:00070404n,traffic light bn:00074441n,;A5,C5,;
41;2;3;2;behavior bn:00009657n,time bn:00077270n,history bn:00044268n,;C3,C4,;
42;2;4;2;statecharts bn:01128895n,diagrams bn:00026817n,state transition bn:03348716n,possible bn:00108829a,;C6,C8,;
43;2;4;2;statecharts bn:01128895n,state transition bn:03348716n,triggering bn:00082306v,simultaneous bn:00099916a,;C2,C6,;
44;2;4;2;systems bn:15125301n,behavior bn:00009657n,light bn:00051108n,traffic light bn:00074441n,;A5,C3,;
45;2;5;2;science bn:00069670n,computer bn:00021464n,example bn:00032100n,number bn:00058285n,automata bn:00007371n,;C5,C7,;
46;1;8;1;example bn:00032100n,achieved bn:00082226v,effect bn:00021961n,management bn:00053116n,goal bn:00030721n,scenario bn:01190125n,city bn:03335997n,strategy bn:00069579n,;A3,;
47;1;9;1;science bn:00069670n,computer bn:00021464n,state machine bn:00212740n,example bn:00032100n,output bn:00036821n,number bn:00058285n,automata bn:00007371n,finite bn:00102992a,automata theory bn:00152075n,;C7,;
48;1;9;1;systems bn:15125301n,state bn:00023236n,behavior bn:00009657n,tool bn:00077585n,triggering bn:00082306v,semantics bn:00070404n,light bn:00051108n,timers bn:00077309n,traffic light bn:00074441n,;A5,;
49;1;10;1;computer bn:00021464n,communication bn:00021221n,networks bn:00024712n,kind bn:00035907n,way bn:00033729n,set bn:00070697n,number bn:00058285n,application bn:00005095n,subset bn:00074971n,new york bn:00041611n,;A2,;
50;1;10;1;systems bn:15125301n,state bn:00023236n,complex system bn:03086504n,problem bn:00048242n,kind bn:00035907n,way bn:00033729n,time bn:00077270n,main bn:00099598a,semantics bn:00070404n,effect bn:00021961n,;A1,;
51;1;11;1;mathematics bn:00053823n,state bn:00023236n,state machine bn:00212740n,set bn:00070697n,output bn:00036821n,reg bn:01922794n,sequence bn:00070574n,transducer bn:00077966n,bit bn:00010731n,gate bn:00037487n,flip-flop bn:00035248n,;A4,;
52;1;13;1;statecharts bn:01128895n,state machine bn:00212740n,behavior bn:00009657n,problem bn:00048242n,concept bn:00021547n,sec bn:00068672n,require bn:00091028v,second bn:00095974a,merely bn:00114626r,substates bn:00964536n,transition state bn:03731398n,simple bn:00098053a,atomic bn:00097696a,;C1,;
53;1;15;1;statecharts bn:01128895n,mathematics bn:00053823n,kind bn:00035907n,time bn:00077270n,state transition bn:03348716n,triggering bn:00082306v,occurring bn:00085337v,america bn:00003341n,simultaneous bn:00099916a,possibility bn:00045632n,conditional bn:00100214a,definition bn:00025928n,condition c bn:00675915n,logical value bn:00855623n,summary bn:00075142n,;C2,;
