X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
science bn:00069670n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0.0333333 ; 0
computer bn:00021464n ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0.0833333 ; 0 ; 0.0666667 ; 0
statecharts bn:01128895n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0833333 ; 0.1 ; 0 ; 0.116667 ; 0.0666667 ; 0.116667 ; 0 ; 0.15
systems bn:15125301n ; 0.0666667 ; 0 ; 0 ; 0 ; 0.0666667 ; 0 ; 0 ; 0.0666667 ; 0 ; 0 ; 0 ; 0 ; 0
david harel bn:03178978n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
mathematics bn:00053823n ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
state bn:00023236n ; 0.0666667 ; 0 ; 0 ; 0.0333333 ; 0.0833333 ; 0 ; 0 ; 0 ; 0 ; 0.0666667 ; 0 ; 0 ; 0
state machine bn:00212740n ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0
diagrams bn:00026817n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0.05 ; 0 ; 0.0666667
communication bn:00021221n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0
units bn:00021497n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
language bn:00049910n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0
behavior bn:00009657n ; 0 ; 0 ; 0 ; 0 ; 0.0666667 ; 0.05 ; 0 ; 0.0666667 ; 0.0833333 ; 0 ; 0 ; 0 ; 0
complex bn:00100148a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0
complex system bn:03086504n ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
problem bn:00048242n ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
reactive systems bn:02824399n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0
example bn:00032100n ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0.05 ; 0
automobiles bn:00007309n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
networks bn:00024712n ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
kind bn:00035907n ; 0.0666667 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
