X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
A1 ; 1 ; 0.190476 ; 0.125 ; 0.105263 ; 0.238095 ; 0.0952381 ; 0.181818 ; 0.227273 ; 0.0769231 ; 0.115385 ; 0.0454545 ; 0.0454545 ; 0.0769231
A2 ; 0.190476 ; 1 ; 0.0714286 ; 0.125 ; 0.0454545 ; 0.0526316 ; 0.0952381 ; 0.0909091 ; 0.0869565 ; 0.181818 ; 0.0526316 ; 0.25 ; 0.190476
A3 ; 0.125 ; 0.0714286 ; 1 ; 0.1 ; 0.0666667 ; 0.0833333 ; 0.0666667 ; 0.133333 ; 0.0588235 ; 0.117647 ; 0.0833333 ; 0.181818 ; 0.0588235
A4 ; 0.105263 ; 0.125 ; 0.1 ; 1 ; 0.117647 ; 0.142857 ; 0.117647 ; 0.0526316 ; 0.05 ; 0.1 ; 0.0666667 ; 0.230769 ; 0.05
A5 ; 0.238095 ; 0.0454545 ; 0.0666667 ; 0.117647 ; 1 ; 0.105263 ; 0.0909091 ; 0.25 ; 0.130435 ; 0.227273 ; 0.105263 ; 0.05 ; 0.04
C1 ; 0.0952381 ; 0.0526316 ; 0.0833333 ; 0.142857 ; 0.105263 ; 1 ; 0.105263 ; 0.1 ; 0.210526 ; 0.0909091 ; 0.2 ; 0.125 ; 0.15
C2 ; 0.181818 ; 0.0952381 ; 0.0666667 ; 0.117647 ; 0.0909091 ; 0.105263 ; 1 ; 0.0869565 ; 0.181818 ; 0.08 ; 0.3125 ; 0.05 ; 0.181818
C3 ; 0.227273 ; 0.0909091 ; 0.133333 ; 0.0526316 ; 0.25 ; 0.1 ; 0.0869565 ; 1 ; 0.227273 ; 0.166667 ; 0.047619 ; 0.1 ; 0.08
C4 ; 0.0769231 ; 0.0869565 ; 0.0588235 ; 0.05 ; 0.130435 ; 0.210526 ; 0.181818 ; 0.227273 ; 1 ; 0.115385 ; 0.15 ; 0.0454545 ; 0.217391
C5 ; 0.115385 ; 0.181818 ; 0.117647 ; 0.1 ; 0.227273 ; 0.0909091 ; 0.08 ; 0.166667 ; 0.115385 ; 1 ; 0.0909091 ; 0.333333 ; 0.16
C6 ; 0.0454545 ; 0.0526316 ; 0.0833333 ; 0.0666667 ; 0.105263 ; 0.2 ; 0.3125 ; 0.047619 ; 0.15 ; 0.0909091 ; 1 ; 0.0588235 ; 0.277778
C7 ; 0.0454545 ; 0.25 ; 0.181818 ; 0.230769 ; 0.05 ; 0.125 ; 0.05 ; 0.1 ; 0.0454545 ; 0.333333 ; 0.0588235 ; 1 ; 0.0952381
C8 ; 0.0769231 ; 0.190476 ; 0.0588235 ; 0.05 ; 0.04 ; 0.15 ; 0.181818 ; 0.08 ; 0.217391 ; 0.16 ; 0.277778 ; 0.0952381 ; 1
