Objects;Weight
science bn:00069670n;0.0833333
computer bn:00021464n;0.1875
statecharts bn:01128895n;0.145833
systems bn:15125301n;0.166667
david harel bn:03178978n;0.0416667
mathematics bn:00053823n;0.0833333
state bn:00023236n;0.125
state machine bn:00212740n;0.104167
diagrams bn:00026817n;0.0416667
communication bn:00021221n;0.0416667
units bn:00021497n;0.0416667
language bn:00049910n;0.0416667
behavior bn:00009657n;0.208333
complex bn:00100148a;0.0416667
complex system bn:03086504n;0.0416667
problem bn:00048242n;0.0833333
reactive systems bn:02824399n;0.0416667
example bn:00032100n;0.125
automobiles bn:00007309n;0.0416667
networks bn:00024712n;0.0416667
kind bn:00035907n;0.104167
way bn:00033729n;0.0416667
time bn:00077270n;0.0416667
simulation bn:00021496n;0.0416667
set bn:00070697n;0.0833333
output bn:00036821n;0.0416667
information bn:00046705n;0.0416667
tool bn:00077585n;0.0416667
number bn:00058285n;0.166667
state transition bn:03348716n;0.166667
nature bn:00057017n;0.0416667
triggering bn:00082306v;0.125
hierarchical bn:00104156a;0.0416667
orthogonality bn:00059586n;0.0833333
main bn:00099598a;0.0416667
possible bn:00108829a;0.0833333
broadcast bn:00013234n;0.0416667
semantics bn:00070404n;0.145833
concept bn:00021547n;0.0833333
occurring bn:00085337v;0.0416667
america bn:00003341n;0.0416667
achieved bn:00082226v;0.0416667
automata bn:00007371n;0.0833333
c d bn:00016915n;0.0416667
sec bn:00068672n;0.0416667
history bn:00044268n;0.125
effect bn:00021961n;0.125
require bn:00091028v;0.0416667
determinism bn:00026654n;0.0416667
simultaneous bn:00099916a;0.0416667
application bn:00005095n;0.0416667
possibility bn:00045632n;0.0416667
light bn:00051108n;0.0416667
second bn:00095974a;0.0833333
merely bn:00114626r;0.0416667
reg bn:01922794n;0.0416667
timers bn:00077309n;0.0833333
syntax bn:00062118n;0.0416667
substates bn:00964536n;0.0416667
conditional bn:00100214a;0.0416667
defined bn:00086465v;0.0416667
formal syntax bn:01042120n;0.0416667
operational semantics bn:02057536n;0.0416667
definition bn:00025928n;0.0833333
condition c bn:00675915n;0.0416667
subset bn:00074971n;0.0416667
management bn:00053116n;0.0416667
higraphs bn:01691263n;0.0416667
finite bn:00102992a;0.0416667
new york bn:00041611n;0.0416667
automata theory bn:00152075n;0.0416667
entity bn:00031027n;0.0416667
types bn:00016413n;0.0416667
multiple bn:00107028a;0.0416667
composite bn:00100155a;0.0416667
sequence bn:00070574n;0.0416667
large number bn:14223782n;0.0416667
goal bn:00030721n;0.0416667
scenario bn:01190125n;0.0416667
city bn:03335997n;0.0416667
workflows bn:00081578n;0.0416667
plant bn:00035324n;0.0416667
transition state bn:03731398n;0.0833333
strategy bn:00069579n;0.0416667
police bn:00022026n;0.0833333
transducer bn:00077966n;0.0416667
code bn:00020354n;0.0416667
current bn:00096401a;0.0416667
traffic light bn:00074441n;0.0416667
bit bn:00010731n;0.0416667
include bn:00089662v;0.0416667
logical value bn:00855623n;0.0416667
gate bn:00037487n;0.0416667
flip-flop bn:00035248n;0.0416667
summary bn:00075142n;0.0416667
autonomous bn:00097830a;0.0416667
stateflow bn:03369007n;0.0416667
red light bn:00066676n;0.0416667
composite states bn:00892979n;0.0416667
inner bn:00105133a;0.0416667
deep bn:00101054a;0.0416667
simple bn:00098053a;0.0416667
atomic bn:00097696a;0.0416667
interaction diagram bn:02571962n;0.0416667
activity diagrams bn:02627321n;0.0416667
deterministic finite state automata bn:03499526n;0.0416667
superstate bn:03656095n;0.0416667
fsa bn:03013778n;0.0416667
basic bn:00098103a;0.0416667
fsms bn:03431506n;0.0416667
state actions bn:00955439n;0.0416667
