X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
A1 ; 1 ; 0.355263 ; 0.173611 ; 0.294872 ; 0.2625 ; 0.207792 ; 0.139073 ; 0.112903 ; 0.0666667 ; 0.088 ; 0.0756303 ; 0.258065 ; 0.0923077
A2 ; 0.355263 ; 1 ; 0.178571 ; 0.285714 ; 0.269231 ; 0.22973 ; 0.2 ; 0.107438 ; 0.0508475 ; 0.0909091 ; 0.0420168 ; 0.264901 ; 0.0615385
A3 ; 0.173611 ; 0.178571 ; 1 ; 0.192593 ; 0.175182 ; 0.132812 ; 0.159292 ; 0.0319149 ; 0.0116279 ; 0.0674157 ; 0.0116279 ; 0.222222 ; 0.0631579
A4 ; 0.294872 ; 0.285714 ; 0.192593 ; 1 ; 0.24359 ; 0.29927 ; 0.15493 ; 0.0655738 ; 0.0434783 ; 0.0322581 ; 0.025641 ; 0.280822 ; 0.12605
A5 ; 0.2625 ; 0.269231 ; 0.175182 ; 0.24359 ; 1 ; 0.194631 ; 0.146853 ; 0.0833333 ; 0.0714286 ; 0.103448 ; 0.111111 ; 0.255034 ; 0.0634921
C1 ; 0.207792 ; 0.22973 ; 0.132812 ; 0.29927 ; 0.194631 ; 1 ; 0.121212 ; 0.0857143 ; 0.04 ; 0.0566038 ; 0.0833333 ; 0.195804 ; 0.12381
C2 ; 0.139073 ; 0.2 ; 0.159292 ; 0.15493 ; 0.146853 ; 0.121212 ; 1 ; 0.0638298 ; 0.0714286 ; 0.0425532 ; 0.111111 ; 0.145985 ; 0.11828
C3 ; 0.112903 ; 0.107438 ; 0.0319149 ; 0.0655738 ; 0.0833333 ; 0.0857143 ; 0.0638298 ; 1 ; 0.0769231 ; 0.103448 ; 0.037037 ; 0.0695652 ; 0.0144928
C4 ; 0.0666667 ; 0.0508475 ; 0.0116279 ; 0.0434783 ; 0.0714286 ; 0.04 ; 0.0714286 ; 0.0769231 ; 1 ; 0.08 ; 0.0697674 ; 0.0660377 ; 0.0169492
C5 ; 0.088 ; 0.0909091 ; 0.0674157 ; 0.0322581 ; 0.103448 ; 0.0566038 ; 0.0425532 ; 0.103448 ; 0.08 ; 1 ; 0.0384615 ; 0.0521739 ; 0.0793651
C6 ; 0.0756303 ; 0.0420168 ; 0.0116279 ; 0.025641 ; 0.111111 ; 0.0833333 ; 0.111111 ; 0.037037 ; 0.0697674 ; 0.0384615 ; 1 ; 0.0660377 ; 0.0714286
C7 ; 0.258065 ; 0.264901 ; 0.222222 ; 0.280822 ; 0.255034 ; 0.195804 ; 0.145985 ; 0.0695652 ; 0.0660377 ; 0.0521739 ; 0.0660377 ; 1 ; 0.0948276
C8 ; 0.0923077 ; 0.0615385 ; 0.0631579 ; 0.12605 ; 0.0634921 ; 0.12381 ; 0.11828 ; 0.0144928 ; 0.0169492 ; 0.0793651 ; 0.0714286 ; 0.0948276 ; 1
