Objects;Weight
science bn:00069670n;0.114401
computer bn:00021464n;0.0592194
north-holland bn:03160161n;0.0107672
statecharts bn:01128895n;0.137281
systems bn:15125301n;0.183042
david harel bn:03178978n;0.0349933
applied mathematics bn:00005103n;0.00269179
mathematics bn:00053823n;0.269179
weizmann bn:00017485n;0.00269179
weizmann institute bn:03173130n;0.00538358
institute bn:00046952n;0.00538358
rehovot bn:02588387n;0.00269179
israel bn:00047679n;0.00538358
pnueli bn:02432625n;0.00538358
december 1984 bn:02815569n;0.00269179
july bn:00048548n;0.00538358
july 1986 bn:02831635n;0.00269179
state bn:00023236n;0.0215343
state machine bn:00212740n;0.460296
diagrams bn:00026817n;0.461642
relevant bn:00109659a;0.0107672
real-time bn:00109500a;0.00942127
real-time systems bn:01927979n;0.00269179
communication bn:00021221n;0.0780619
communication protocol bn:00021227n;0.00538358
digital control bn:03371928n;0.00269179
units bn:00021497n;0.364738
notion bn:00058174n;0.0107672
hierarchy bn:00044017n;0.00538358
language bn:00049910n;0.219381
structured bn:00094491v;0.00538358
behavior bn:00009657n;0.168237
enable bn:00087587v;0.0215343
manageable bn:00096274a;0.00538358
attractive bn:00097733a;0.00269179
behavioral bn:00098202a;0.00269179
design methodology bn:02802208n;0.00269179
methodology bn:00054633n;0.039031
functional decomposition bn:00302749n;0.00538358
data-flow bn:03750145n;0.0107672
experience bn:00032306n;0.00538358
particularly bn:00115235r;0.0107672
complex bn:00100148a;0.219381
complex system bn:03086504n;0.0403769
literature bn:00051538n;0.00538358
system engineering bn:02138008n;0.00538358
engineering bn:00086870v;0.0215343
problem bn:00048242n;0.0430686
reactive systems bn:02824399n;0.0686406
characterized bn:00084801v;0.00269179
example bn:00032100n;0.0861373
automobiles bn:00007309n;0.0215343
communication networks bn:03231902n;0.00538358
networks bn:00024712n;0.0107672
computer operating systems bn:00059123n;0.0107672
missile bn:00055322n;0.00269179
avionics bn:00007477n;0.00269179
man-machine interface bn:00047088n;0.0215343
kind bn:00035907n;0.0107672
rooted bn:00093113v;0.00269179
difficulty bn:00027043n;0.00269179
way bn:00033729n;0.141319
time bn:00077270n;0.716016
research bn:00067280n;0.0215343
author bn:00007287n;0.0215343
consulting bn:00085686v;0.00269179
research development bn:02012371n;0.00269179
aircraft bn:00002275n;0.00538358
aircraft industries bn:03857294n;0.00269179
industries bn:00046576n;0.00538358
ad bn:00001227n;0.0107672
cad bn:00014510n;0.00269179
rigorous bn:00109874a;0.0107672
detailed bn:00101268a;0.00269179
simulation bn:00021496n;0.0403769
really bn:00115504r;0.0107672
set bn:00070697n;0.144011
output bn:00036821n;0.231494
information bn:00046705n;0.0820996
usually bn:00114778r;0.141319
lend bn:00090289v;0.00269179
gradual bn:00103716a;0.00269179
