Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;10;0;13;;A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,C6,C7,C8,;
1;8;1;8;systems bn:15125301n,;A2,A3,A4,C1,C2,C5,C7,C8,;
2;8;1;9;mathematics bn:00053823n,;A1,A2,A3,A5,C1,C4,C6,C7,C8,;
3;8;1;11;state machine bn:00212740n,;A1,A2,A3,A4,A5,C2,C3,C4,C5,C6,C8,;
4;9;1;10;diagrams bn:00026817n,;A1,A2,A4,A5,C1,C2,C3,C4,C7,C8,;
5;8;1;8;behavior bn:00009657n,;A1,A2,A4,A5,C1,C3,C4,C5,;
6;9;1;11;time bn:00077270n,;A1,A2,A3,A4,A5,C1,C2,C3,C6,C7,C8,;
7;9;1;9;output bn:00036821n,;A1,A2,A5,C2,C3,C4,C5,C7,C8,;
8;6;1;6;computer science bn:00021494n,;A1,A2,A3,A5,C5,C7,;
9;8;1;8;semantics bn:00070404n,;A2,A3,C1,C3,C4,C6,C7,C8,;
10;7;1;7;history bn:00044268n,;A5,C1,C2,C3,C5,C6,C8,;
11;6;1;6;light bn:00051108n,;A1,A4,A5,C1,C5,C7,;
12;8;1;8;programming language bn:00064652n,;A1,A2,A5,C2,C3,C4,C6,C7,;
13;8;1;8;definition bn:00025928n,;A1,A2,A3,A4,A5,C1,C4,C7,;
14;6;1;6;new york bn:00041611n,;A1,A4,C2,C3,C5,C7,;
15;7;2;7;science bn:00069670n,state machine bn:00212740n,;A1,A2,A3,A5,C3,C4,C6,;
16;6;2;6;computer bn:00021464n,state machine bn:00212740n,;A1,A3,A4,A5,C4,C6,;
17;7;2;8;statecharts bn:01128895n,state machine bn:00212740n,;A1,A3,A5,C2,C3,C5,C6,C8,;
18;6;2;6;systems bn:15125301n,state machine bn:00212740n,;A2,A3,A4,C2,C5,C8,;
19;5;2;5;systems bn:15125301n,problem bn:00048242n,;A2,A3,C5,C7,C8,;
20;7;2;7;systems bn:15125301n,time bn:00077270n,;A2,A3,A4,C1,C2,C7,C8,;
21;5;2;5;systems bn:15125301n,output bn:00036821n,;A2,C2,C5,C7,C8,;
22;4;2;4;systems bn:15125301n,history bn:00044268n,;C1,C2,C5,C8,;
23;4;2;4;systems bn:15125301n,light bn:00051108n,;A4,C1,C5,C7,;
24;4;2;4;systems bn:15125301n,new york bn:00041611n,;A4,C2,C5,C7,;
