X;page web;navigateur;serveur web;fichier;client;base de donnée;donnée;php;javascript;code;texte;concerner;commentaire;délimiter;gras;fois;lien hypertextes;url;case à cocher;post;nombre;text;langage;zones;utilisateur;affectation;syntaxe;case;associer;personne;structure de contrôle;méthode post;fermeture;passwd;machine;mysql;salaire;jour;programmation;site;paris;france;programmation web;session;chaîne;côté serveur;côté client;script;interpréter;serveur;type;opérateurs;list;pointeur;cle;méthode;conditionnelles;foreach;couleurs;valeur par défaut;classes;fonctionnalité;class;header;mot;visiteur;sauvegarder;null;web;positionnement;affiche;casse;internet;système;exe;menu;id;mysqli;head;attribut;valeur;moteur;timestamp;accéder
page web;1;0.5;1;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
navigateur;0.5;1;0.5;0.111111;0.1;0.5;0.2;0.0833333;0.5;0.2;0.333333;0.5;0.142857;0.333333;0.2;0.2;0.2;0.142857;0.142857;0.2;0.285714;0.0833333;0.2;0.333333;0.333333;0.5;0.2;0.333333;0.5;0.5;0.2;0.111111;0.2;0.2;0.5;1;0.5;0.2;0.142857;0.0909091;0.2;0.2;0.142857;0.2;0.333333;0.2;0.2;0.111111;0.2;0.285714;0.2;0.2;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
serveur web;1;0.5;1;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fichier;0.142857;0.111111;0.142857;1;0.2;0.142857;0.0769231;0.363636;0.142857;0.142857;0.111111;0.142857;0.25;0.25;0.142857;0.142857;0.142857;0.25;0.25;0.142857;0.111111;0.0714286;0.333333;0.111111;0.111111;0.142857;0.142857;0.25;0.142857;0.142857;0.142857;0.2;0.333333;0.142857;0.142857;0.111111;0.142857;0.142857;0.111111;0.166667;0.142857;0.333333;0.111111;0.333333;0.25;0.333333;0.333333;0.2;0.333333;0.222222;0.142857;0.142857;0.333333;0.333333;0.111111;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.25;0.142857;0.142857;0.142857;0.142857;0.142857;0.333333;0.142857;0.333333;0.142857;0.142857;0.333333;0.142857;0.142857;0.142857;0.142857;0.142857;0.333333;0.142857;0.333333;0.333333
client;0.0526316;0.1;0.0526316;0.2;1;0.111111;0.181818;0.35;0.111111;0.111111;0.1;0.0526316;0.1;0.1;0.0526316;0.111111;0.0526316;0.222222;0.222222;0.111111;0.185185;0.173913;0.111111;0.047619;0.1;0.111111;0.0526316;0.222222;0.0526316;0.0526316;0.0526316;0.0434783;0.111111;0.111111;0.0526316;0.1;0.0526316;0.111111;0.1;0.444444;0.111111;0.111111;0.1;0.111111;0.222222;0.111111;0.111111;0.0434783;0.111111;0.277778;0.0526316;0.111111;0.0526316;0.111111;0.222222;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.0526316;0.111111;0.222222;0.0526316;0.0526316;0.111111;0.111111;0.111111;0.0526316;0.0526316;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.0526316;0.111111;0.111111
base de donnée;0.333333;0.5;0.333333;0.142857;0.111111;1;0.25;0.1;1;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.2;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.142857;0.333333;0.4;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
donnée;0.111111;0.2;0.111111;0.0769231;0.181818;0.25;1;0.133333;0.25;0.25;0.0909091;0.111111;0.0909091;0.0909091;0.111111;0.25;0.111111;0.0909091;0.0909091;0.25;0.222222;0.307692;0.111111;0.2;0.0909091;0.25;0.111111;0.2;0.111111;0.111111;0.111111;0.0769231;0.111111;0.111111;0.111111;0.2;0.111111;0.25;0.0909091;0.142857;0.25;0.111111;0.0909091;0.111111;0.2;0.111111;0.111111;0.166667;0.111111;0.181818;0.25;0.25;0.111111;0.111111;0.5;0.111111;0.25;0.25;0.111111;0.25;0.111111;0.111111;0.25;0.2;0.25;0.25;0.111111;0.25;0.111111;0.111111;0.25;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.25;0.111111;0.111111;0.111111;0.25;0.111111;0.111111
php;0.1;0.0833333;0.1;0.363636;0.35;0.1;0.133333;1;0.1;0.222222;0.0833333;0.1;0.181818;0.181818;0.1;0.222222;0.1;0.181818;0.181818;0.222222;0.0952381;0.125;0.222222;0.0833333;0.0833333;0.1;0.222222;0.181818;0.1;0.1;0.222222;0.153846;0.222222;0.1;0.1;0.0833333;0.1;0.222222;0.181818;0.307692;0.222222;0.222222;0.0833333;0.222222;0.181818;0.222222;0.222222;0.153846;0.222222;0.166667;0.1;0.222222;0.1;0.222222;0.181818;0.1;0.1;0.222222;0.1;0.1;0.1;0.222222;0.222222;0.181818;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.222222;0.1;0.1;0.222222;0.1;0.1;0.222222;0.1;0.1;0.222222;0.1;0.222222;0.222222
javascript;0.333333;0.5;0.333333;0.142857;0.111111;1;0.25;0.1;1;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.2;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.142857;0.333333;0.4;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
code;0.333333;0.2;0.333333;0.142857;0.111111;0.333333;0.25;0.222222;0.333333;1;0.2;0.333333;0.2;0.2;0.333333;1;0.333333;0.2;0.2;1;0.0666667;0.222222;0.333333;0.2;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.25;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
