X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;hiérarchie;définition;langage;mise;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;pouvoir;impossible;public;en-tête;client;java;file;echo;rue;void;classe;exception;wamp;symfony;doctype;environnement de développement;realisateur
php;1;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;1;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
mysql;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
texte;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fichier;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
données;0.125;0.285714;0.285714;0.125;1;0.125;0.285714;0.571429;0.285714;0.125;0.333333;0.222222;0.285714;0.285714;0.222222;0.125;0.125;0.125;0.125;0.222222;0.125;0.222222;0.125;0.1;0.1;0.125;0.166667;0.125;0.125;0.285714;0.222222;0.125;0.125;0.125;0.125;0.285714;0.285714;0.125;0.125;0.125;0.125;0.285714;0.125;0.125;0.222222;0.285714;0.125;0.125;0.125;0.125;0.125;0.1;0.285714;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
types;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
session;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.333333;0.222222;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
base de donnees;0.2;0.5;0.5;0.2;0.571429;0.2;0.2;1;0.5;0.2;0.181818;0.333333;0.5;0.5;0.333333;0.2;0.2;0.2;0.2;0.333333;0.2;0.333333;0.2;0.142857;0.142857;0.2;0.222222;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.333333;0.5;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
entités;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
site;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
