X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;définition;langage;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;pouvoir;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur
php;1;0.0833333;0.333333;0.181818;0.117647;0.0833333;0.181818;0.117647;0.0833333;0.181818;0.181818;0.0714286;0.137931;0.0833333;0.153846;0.363636;0.266667;0.181818;0.266667;0.0714286;0.0833333;0.0714286;0.181818;0.181818;0.0833333;0.181818;0.117647;0.0833333;0.181818;0.0555556;0.0833333;0.181818;0.181818;0.0833333;0.0833333;0.363636;0.0833333;0.181818;0.0833333;0.0833333;0.181818;0.0833333;0.153846;0.0833333;0.181818;0.181818;0.181818;0.153846;0.181818;0.181818;0.181818;0.181818;0.181818;0.181818
mysql;0.0833333;1;0.0952381;0.0625;0.25;0.333333;0.333333;0.25;1;0.333333;0.133333;0.5;0.0909091;1;0.2;0.2;0.111111;0.333333;0.111111;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
texte;0.333333;0.0952381;1;0.285714;0.380952;0.0454545;0.0952381;0.380952;0.0952381;0.0952381;0.285714;0.0869565;0.387097;0.0952381;0.190476;0.0869565;0.16;0.0952381;0.380952;0.0869565;0.0454545;0.0869565;0.0952381;0.0952381;0.0454545;0.0454545;0.16;0.0454545;0.0952381;0.16;0.0454545;0.0454545;0.0454545;0.0952381;0.0952381;0.190476;0.0454545;0.0952381;0.0454545;0.0952381;0.0952381;0.0454545;0.190476;0.0952381;0.0952381;0.0454545;0.0952381;0.0869565;0.0952381;0.0952381;0.0952381;0.0454545;0.0454545;0.0952381
fichier;0.181818;0.0625;0.285714;1;0.210526;0.133333;0.133333;0.210526;0.0625;0.133333;0.363636;0.117647;0.275862;0.0625;0.266667;0.117647;0.210526;0.133333;0.533333;0.117647;0.133333;0.266667;0.0625;0.0625;0.133333;0.0625;0.210526;0.133333;0.133333;0.210526;0.133333;0.0625;0.0625;0.133333;0.0625;0.117647;0.133333;0.133333;0.133333;0.0625;0.0625;0.133333;0.117647;0.0625;0.133333;0.0625;0.0625;0.117647;0.133333;0.0625;0.133333;0.0625;0.0625;0.133333
données;0.117647;0.25;0.380952;0.210526;1;0.111111;0.25;1;0.25;0.111111;0.210526;0.2;0.363636;0.25;0.2;0.2;0.0666667;0.111111;0.333333;0.2;0.111111;0.2;0.111111;0.111111;0.111111;0.111111;0.142857;0.111111;0.25;0.333333;0.111111;0.111111;0.111111;0.25;0.25;0.2;0.111111;0.111111;0.111111;0.25;0.111111;0.111111;0.2;0.25;0.111111;0.111111;0.111111;0.0909091;0.25;0.111111;0.111111;0.111111;0.111111;0.111111
types;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
session;0.181818;0.333333;0.0952381;0.133333;0.25;0.333333;1;0.25;0.333333;0.333333;0.133333;0.2;0.0909091;0.333333;0.2;0.5;0.111111;0.333333;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;1;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333
base de donnees;0.117647;0.25;0.380952;0.210526;1;0.111111;0.25;1;0.25;0.111111;0.210526;0.2;0.363636;0.25;0.2;0.2;0.0666667;0.111111;0.333333;0.2;0.111111;0.2;0.111111;0.111111;0.111111;0.111111;0.142857;0.111111;0.25;0.333333;0.111111;0.111111;0.111111;0.25;0.25;0.2;0.111111;0.111111;0.111111;0.25;0.111111;0.111111;0.2;0.25;0.111111;0.111111;0.111111;0.0909091;0.25;0.111111;0.111111;0.111111;0.111111;0.111111
entités;0.0833333;1;0.0952381;0.0625;0.25;0.333333;0.333333;0.25;1;0.333333;0.133333;0.5;0.0909091;1;0.2;0.2;0.111111;0.333333;0.111111;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
site;0.181818;0.333333;0.0952381;0.133333;0.111111;0.333333;0.333333;0.111111;0.333333;1;0.133333;0.2;0.0434783;0.333333;0.5;0.2;0.25;1;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1
client web;0.181818;0.133333;0.285714;0.363636;0.210526;0.133333;0.133333;0.210526;0.133333;0.133333;1;0.266667;0.275862;0.133333;0.117647;0.117647;0.210526;0.133333;0.210526;0.266667;0.133333;0.117647;0.0625;0.0625;0.133333;0.0625;0.0952381;0.133333;0.133333;0.210526;0.133333;0.0625;0.0625;0.0625;0.133333;0.117647;0.133333;0.133333;0.133333;0.133333;0.0625;0.133333;0.266667;0.133333;0.133333;0.0625;0.0625;0.117647;0.133333;0.0625;0.133333;0.0625;0.0625;0.133333
