X;C11;C15;C17;C19;C3;C5;C6;CJA
éducation;0.00840336;0;0;0;0;0;0;0
technologie;0.0166667;0.015625;0;0;0;0;0;0
javascript;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0.367816;0
php;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0.367816;0
mysql;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0.367816;0
juin;0.119403;0.112676;0.118519;0;0.126984;0.119403;0;0
secondaire;0.00840336;0;0;0;0;0;0;0
texte;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
fichier;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
bouton;0.0634921;0.0597015;0;0.0625;0.0677966;0;0;0
simple;0.00840336;0;0;0;0;0;0;0
bouton radio;0.0327869;0.0307692;0;0;0;0;0.0350877;0
radio;0.0634921;0.0597015;0;0.0625;0;0;0.0677966;0
bouton de réinitialisation;0.00840336;0;0;0;0;0;0;0
réinitialisation;0.00840336;0;0;0;0;0;0;0
case à cocher;0.0327869;0.0307692;0;0;0;0;0.0350877;0
cocher;0.00840336;0;0;0;0;0;0;0
données;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
elements;0.00840336;0;0;0;0;0;0;0
focus;0.0166667;0;0;0.0163934;0;0;0;0
fonction choix;0.00840336;0;0;0;0;0;0;0
localisation;0.00840336;0;0;0;0;0;0;0
types;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
authentification;0.0634921;0;0.0629921;0;0.0677966;0.0634921;0;0
session;0.213333;0.202532;0;0.210526;0.225352;0.213333;0.225352;0
base de donnees;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
entités;0.213333;0.202532;0.211921;0;0.225352;0.213333;0;0.225352
étrangères;0.0166667;0;0;0;0.0178571;0;0;0
gestion contenu;0.00840336;0;0;0;0;0;0;0
phpmyadmin;0.213333;0.202532;0.211921;0.210526;0.225352;0.213333;0;0
communication;0.119403;0;0.118519;0;0;0.119403;0.126984;0.126984
bilan;0.00840336;0;0;0;0;0;0;0
enonce;0.00840336;0;0;0;0;0;0;0
schema;0.00840336;0;0;0;0;0;0;0
schema conceptuel;0.00840336;0;0;0;0;0;0;0
premier;0.202703;0.207792;0;0.2;0.197183;0;0.197183;0.197183
logique;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
utilisabilité;0.00840336;0;0;0;0;0;0;0
site;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
client web;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
dépendant;0.112782;0.114286;0;0;0.111111;0;0.111111;0.111111
interactifs;0.0327869;0.0307692;0;0;0;0;0;0.0350877
page web;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
déterminante;0.00840336;0;0;0;0;0;0;0
véhiculer;0.00840336;0;0;0;0;0;0;0
côté serveur;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0.367816;0
langage de script;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0.367816;0
illustrer;0.0634921;0.0597015;0;0;0;0;0.0677966;0.0677966
internet;0.331461;0.346154;0;0.335196;0.316092;0.331461;0.316092;0.316092
juste;0.0327869;0;0.0325203;0;0.0350877;0;0;0
client serveur;0.213333;0.202532;0.211921;0.210526;0;0.213333;0.225352;0
nombre;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
avoir accès;0.0166667;0.015625;0;0;0;0;0;0
cours en ligne;0.00840336;0;0;0;0;0;0;0
zones;0.0327869;0;0;0;0.0350877;0;0.0350877;0
concerner;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
python;0.119403;0;0;0.117647;0.126984;0.119403;0.126984;0
moindre;0.0166667;0.015625;0;0;0;0;0;0
perl;0.213333;0.202532;0.211921;0.210526;0.225352;0.213333;0;0
hit;0.00840336;0;0;0;0;0;0;0
système;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
système de gestion;0.119403;0.112676;0;0;0.126984;0.119403;0.126984;0
système de gestion de base de donnée;0.119403;0.112676;0.118519;0;0.126984;0;0.126984;0
sélectionner;0.0634921;0.0597015;0;0;0;0;0.0677966;0.0677966
post;0.331461;0.346154;0;0.335196;0.316092;0.331461;0.316092;0.316092
méthode get;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
concaténer;0.0327869;0;0.0325203;0.0322581;0;0;0;0
url;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0;0.367816
sensibles;0.0634921;0;0.0629921;0;0.0677966;0.0634921;0;0
convient;0.0327869;0.0307692;0;0;0;0;0;0.0350877
circonstances;0.00840336;0;0;0;0;0;0;0
code;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
macromedia;0.00840336;0;0;0;0;0;0;0
macromedia dreamweaver;0.00840336;0;0;0;0;0;0;0
insertion;0.119403;0.112676;0.118519;0.117647;0.126984;0;0;0
aller;0.0166667;0;0;0.0163934;0;0;0;0
zone de texte;0.0327869;0.0307692;0;0.0322581;0;0;0;0
webmail;0.00840336;0;0;0;0;0;0;0
valeur par défaut;0.213333;0.202532;0.211921;0;0.225352;0.213333;0.225352;0
finale;0.0327869;0;0;0;0.0350877;0;0;0.0350877
porter;0.0327869;0;0;0;0.0350877;0;0;0.0350877
rows;0.0166667;0;0;0;0;0;0.0178571;0
menu;0.0327869;0;0;0.0322581;0;0.0327869;0;0
utilisateur;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
variable;0.0634921;0.0597015;0;0.0625;0.0677966;0;0;0
sélection multiple;0.00840336;0;0;0;0;0;0;0
multiple;0.00840336;0;0;0;0;0;0;0
précèdent;0.00840336;0;0;0;0;0;0;0
indispensable;0.0327869;0;0;0;0;0.0327869;0;0.0350877
possible;0.119403;0.112676;0;0;0.126984;0.119403;0.126984;0
afficher;0.337079;0.351648;0.335196;0.333333;0.321839;0;0.321839;0.321839
parfois;0.0166667;0;0.0165289;0;0;0;0;0
nécessaire;0.202703;0.207792;0.201342;0;0.197183;0;0.197183;0.197183
sélection simple;0.00840336;0;0;0;0;0;0;0
distance;0.0166667;0;0;0;0;0;0.0178571;0
affichage;0.331461;0.346154;0;0.335196;0.316092;0.331461;0.316092;0.316092
accesskey;0.00840336;0;0;0;0;0;0;0
serveur;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
vouloir;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
courants;0.0634921;0;0;0;0;0.0634921;0.0677966;0.0677966
fois;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
endroit;0.213333;0.202532;0.211921;0;0.225352;0.213333;0.225352;0
symbole;0.0327869;0;0.0325203;0;0;0;0.0350877;0
alternatif;0.00840336;0;0;0;0;0;0;0
programmation;0.495798;0.529412;0.5;0.504202;0.462185;0.495798;0.462185;0.462185
math;0.0634921;0.0597015;0;0.0625;0;0;0;0.0677966
histoire;0.0166667;0.015625;0;0;0;0;0;0
document object model;0.0166667;0;0;0;0;0.0166667;0;0
consortium;0.00840336;0;0;0;0;0;0;0
détecter;0.213333;0.202532;0.211921;0.210526;0;0;0.225352;0.225352
class;0.213333;0.202532;0;0.210526;0.225352;0.213333;0;0.225352
déclencher;0.0166667;0;0;0;0.0178571;0;0;0
qualificatif;0.0166667;0;0;0;0;0;0;0.0178571
variable booléenne;0.213333;0.202532;0.211921;0.210526;0.225352;0;0;0.225352
examiner;0.00840336;0;0;0;0;0;0;0
contexte;0.0327869;0;0;0;0.0350877;0;0;0.0350877
encodage;0.213333;0;0.211921;0.210526;0.225352;0.213333;0.225352;0
commentaires;0.351648;0.336842;0.349727;0.347826;0.367816;0.351648;0;0.367816
composer;0.213333;0.202532;0.211921;0;0;0.213333;0.225352;0.225352
