X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;personne;définition;langage;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;pouvoir;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur;informatique
php;1;0.2;0.1;0.2;0.1;0.2;0.2;0.1;0.2;0.5;0.0833333;0.142857;0.047619;0.2;0.5;0.333333;0.2;0.5;0.2;0.142857;0.142857;0.142857;0.2;0.2;0.2;0.5;0.142857;0.142857;0.2;0.2;0.0909091;0.2;0.5;0.5;0.2;0.2;0.142857;0.2;0.5;0.2;0.2;0.2;0.2;0.222222;0.2;0.5;0.333333;0.2;0.142857;0.2;0.2;0.5;0.5;0.5;0.5;0.2
mysql;0.2;1;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.333333;0.0909091;0.5;0.111111;1;0.333333;0.2;0.111111;0.333333;0.111111;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.285714;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
texte;0.1;0.111111;1;0.181818;0.388889;0.0526316;0.111111;0.388889;0.111111;0.111111;0.481481;0.1;0.384615;0.111111;0.111111;0.1;0.181818;0.111111;0.444444;0.1;0.1;0.1;0.111111;0.111111;0.0526316;0.0526316;0.1;0.1;0.111111;0.111111;0.181818;0.0526316;0.0526316;0.0526316;0.111111;0.111111;0.222222;0.0526316;0.111111;0.0526316;0.111111;0.111111;0.0526316;0.388889;0.111111;0.111111;0.1;0.111111;0.1;0.111111;0.111111;0.111111;0.0526316;0.0526316;0.111111;0.111111
fichier;0.2;0.111111;0.181818;1;0.153846;0.25;0.25;0.153846;0.111111;0.25;0.363636;0.2;0.181818;0.111111;0.25;0.2;0.333333;0.25;0.333333;0.2;0.2;0.2;0.111111;0.111111;0.25;0.111111;0.2;0.2;0.111111;0.25;0.142857;0.25;0.111111;0.111111;0.111111;0.111111;0.2;0.25;0.25;0.25;0.111111;0.111111;0.25;0.153846;0.111111;0.25;0.0909091;0.111111;0.2;0.25;0.111111;0.25;0.111111;0.111111;0.25;0.111111
données;0.1;0.285714;0.388889;0.153846;1;0.125;0.285714;1;0.285714;0.125;0.318182;0.222222;0.388889;0.285714;0.125;0.222222;0.0714286;0.125;0.363636;0.222222;0.222222;0.222222;0.125;0.125;0.125;0.125;0.1;0.222222;0.285714;0.285714;0.363636;0.125;0.125;0.125;0.285714;0.285714;0.222222;0.125;0.125;0.125;0.285714;0.125;0.125;0.4;0.285714;0.125;0.222222;0.125;0.1;0.285714;0.125;0.125;0.125;0.125;0.125;0.285714
types;0.2;0.333333;0.0526316;0.25;0.125;1;0.333333;0.125;0.333333;0.333333;0.0909091;0.5;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
session;0.2;0.333333;0.111111;0.25;0.285714;0.333333;1;0.285714;0.333333;0.333333;0.0909091;0.2;0.111111;0.333333;0.333333;0.5;0.111111;0.333333;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
base de donnees;0.1;0.285714;0.388889;0.153846;1;0.125;0.285714;1;0.285714;0.125;0.318182;0.222222;0.388889;0.285714;0.125;0.222222;0.0714286;0.125;0.363636;0.222222;0.222222;0.222222;0.125;0.125;0.125;0.125;0.1;0.222222;0.285714;0.285714;0.363636;0.125;0.125;0.125;0.285714;0.285714;0.222222;0.125;0.125;0.125;0.285714;0.125;0.125;0.4;0.285714;0.125;0.222222;0.125;0.1;0.285714;0.125;0.125;0.125;0.125;0.125;0.285714
entités;0.2;1;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.333333;0.0909091;0.5;0.111111;1;0.333333;0.2;0.111111;0.333333;0.111111;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.285714;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
site;0.5;0.333333;0.111111;0.25;0.125;0.333333;0.333333;0.125;0.333333;1;0.0909091;0.2;0.0526316;0.333333;1;0.2;0.25;1;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
