X;C11;C15;C17;C19;C3;C5;C6;CJA
éducation;0.0153846;0;0;0;0;0;0.0153846;0
technologie;0.0153846;0.0153846;0;0;0;0;0;0
javascript;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
php;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
mysql;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
juin;0.111111;0.111111;0.111111;0;0.111111;0.111111;0;0
secondaire;0.00775194;0;0;0;0;0;0;0
texte;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
fichier;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
bouton;0.0588235;0.0588235;0;0.0588235;0.0588235;0;0;0
simple;0.00775194;0;0;0;0;0;0;0
bouton radio;0.030303;0.030303;0;0;0;0;0.030303;0
radio;0.0588235;0.0588235;0;0.0588235;0;0;0.0588235;0
bouton de réinitialisation;0.00775194;0;0;0;0;0;0;0
réinitialisation;0.00775194;0;0;0;0;0;0;0
case à cocher;0.030303;0.030303;0;0;0;0;0.030303;0
cocher;0.00775194;0;0;0;0;0;0;0
données;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
elements;0.00775194;0;0;0;0;0;0;0
focus;0.0153846;0;0;0.0153846;0;0;0;0
fonction choix;0.00775194;0;0;0;0;0;0;0
localisation;0.00775194;0;0;0;0;0;0;0
types;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
authentification;0.111111;0;0.111111;0;0.111111;0.111111;0.111111;0
session;0.2;0.2;0;0.2;0.2;0.2;0.2;0
base de donnees;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
entités;0.333333;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
étrangères;0.0153846;0;0;0;0.0153846;0;0;0
gestion contenu;0.00775194;0;0;0;0;0;0;0
phpmyadmin;0.2;0.2;0.2;0.2;0.2;0.2;0;0
communication;0.111111;0;0.111111;0;0;0.111111;0.111111;0.111111
bilan;0.00775194;0;0;0;0;0;0;0
enonce;0.00775194;0;0;0;0;0;0;0
schema;0.00775194;0;0;0;0;0;0;0
schema conceptuel;0.00775194;0;0;0;0;0;0;0
premier;0.2;0.2;0;0.2;0.2;0;0.2;0.2
logique;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
utilisabilité;0.00775194;0;0;0;0;0;0;0
site;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
client web;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
dépendant;0.111111;0.111111;0;0;0.111111;0;0.111111;0.111111
interactifs;0.030303;0.030303;0;0;0;0;0;0.030303
page web;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
déterminante;0.00775194;0;0;0;0;0;0;0
véhiculer;0.00775194;0;0;0;0;0;0;0
côté serveur;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
langage de script;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
illustrer;0.030303;0.030303;0;0;0;0;0;0.030303
internet;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333;0.333333
juste;0.030303;0;0.030303;0;0.030303;0;0;0
client serveur;0.2;0.2;0.2;0.2;0;0.2;0.2;0
nombre;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
avoir accès;0.030303;0.030303;0;0;0;0;0.030303;0
cours en ligne;0.00775194;0;0;0;0;0;0;0
zones;0.030303;0;0;0;0.030303;0;0.030303;0
concerner;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
python;0.111111;0;0;0.111111;0.111111;0.111111;0.111111;0
moindre;0.030303;0.030303;0;0;0;0;0.030303;0
perl;0.2;0.2;0.2;0.2;0.2;0.2;0;0
hit;0.00775194;0;0;0;0;0;0;0
système;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
système de gestion;0.111111;0.111111;0;0;0.111111;0.111111;0.111111;0
système de gestion de base de donnée;0.111111;0.111111;0.111111;0;0.111111;0;0.111111;0
sélectionner;0.0588235;0.0588235;0;0;0;0;0.0588235;0.0588235
