X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;personne;définition;langage;mode;configuration;xml;web;méthode;bits;foreach;pouvoir;information;varchar;timestamp;easyphp;insert;pouvoir;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur;null
php;1;0.2;0.2;0.2;0.1;0.2;0.2;0.1;0.2;0.333333;0.125;0.142857;0.0526316;0.2;0.5;0.5;0.222222;0.5;0.333333;0.142857;0.2;0.2;0.2;0.2;0.2;0.5;0.142857;0.2;0.2;0.2;0.1;0.2;0.5;0.5;0.2;0.142857;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.142857;0.2;0.2;0.5;0.5;0.5;0.5;0.2
mysql;0.2;1;1;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.2;0.142857;0.5;0.125;1;0.333333;0.333333;0.125;0.333333;0.2;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
texte;0.2;1;1;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.2;0.142857;0.5;0.125;1;0.333333;0.333333;0.125;0.333333;0.2;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fichier;0.2;0.111111;0.111111;1;0.153846;0.25;0.25;0.153846;0.111111;0.2;0.571429;0.2;0.2;0.111111;0.25;0.111111;0.363636;0.25;0.5;0.2;0.25;0.25;0.111111;0.111111;0.25;0.111111;0.2;0.25;0.111111;0.25;0.153846;0.25;0.111111;0.111111;0.111111;0.2;0.25;0.25;0.25;0.111111;0.111111;0.111111;0.25;0.111111;0.142857;0.111111;0.25;0.111111;0.111111;0.2;0.25;0.111111;0.25;0.111111;0.111111;0.25;0.111111
données;0.1;0.285714;0.285714;0.153846;1;0.125;0.285714;1;0.285714;0.222222;0.235294;0.222222;0.4375;0.285714;0.125;0.125;0.0769231;0.125;0.222222;0.222222;0.125;0.125;0.125;0.125;0.125;0.125;0.1;0.125;0.285714;0.285714;0.4;0.125;0.125;0.125;0.285714;0.222222;0.125;0.125;0.125;0.285714;0.285714;0.125;0.125;0.285714;0.363636;0.285714;0.125;0.125;0.125;0.1;0.285714;0.125;0.125;0.125;0.125;0.125;0.285714
types;0.2;0.333333;0.333333;0.25;0.125;1;0.333333;0.125;0.333333;0.2;0.142857;0.5;0.125;0.333333;0.333333;0.333333;0.285714;0.333333;0.2;0.5;1;1;0.333333;0.333333;1;0.333333;0.5;1;0.333333;0.333333;0.285714;1;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;0.333333;1;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
session;0.2;0.333333;0.333333;0.25;0.285714;0.333333;1;0.285714;0.333333;0.2;0.142857;0.2;0.125;0.333333;0.333333;0.333333;0.125;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.125;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
base de donnees;0.1;0.285714;0.285714;0.153846;1;0.125;0.285714;1;0.285714;0.222222;0.235294;0.222222;0.4375;0.285714;0.125;0.125;0.0769231;0.125;0.222222;0.222222;0.125;0.125;0.125;0.125;0.125;0.125;0.1;0.125;0.285714;0.285714;0.4;0.125;0.125;0.125;0.285714;0.222222;0.125;0.125;0.125;0.285714;0.285714;0.125;0.125;0.285714;0.363636;0.285714;0.125;0.125;0.125;0.1;0.285714;0.125;0.125;0.125;0.125;0.125;0.285714
entités;0.2;1;1;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.2;0.142857;0.5;0.125;1;0.333333;0.333333;0.125;0.333333;0.2;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
site;0.333333;0.2;0.2;0.2;0.222222;0.2;0.2;0.222222;0.2;1;0.125;0.142857;0.111111;0.2;0.5;0.2;0.222222;0.5;0.333333;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.5;0.2;0.222222;0.2;0.2;0.2;0.2;0.142857;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.5;0.2;0.5;0.2;0.2;0.142857;0.2;0.2;0.5;0.2;0.2;0.5;0.5
