X;C1;C10;C2;C4;C7;C8;C9
page web;0.0625;0.0597015;0;0;0;0.0789474;0
page web statiques;0.0222222;0;0;0;0;0;0
navigateur;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
serveur web;0.266667;0.2;0.262295;0.266667;0;0;0.271186
fichier;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
disque dur;0.0833333;0.0588235;0;0;0.0869565;0;0
client;0.347826;0.395062;0.342857;0.347826;0.358209;0.257576;0
client serveur;0.0833333;0.0588235;0;0;0;0;0.0851064
base de donnée;0.318841;0.405063;0;0.318841;0.308824;0.285714;0.323529
donnée;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
ensemble;0.0434783;0.030303;0;0;0;0;0
php;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
javascript;0.266667;0.2;0.262295;0.266667;0;0;0.271186
perl;0.153846;0.111111;0;0.153846;0;0;0.156863
python;0.0222222;0;0;0;0;0;0
java;0.153846;0.111111;0.150943;0;0.16;0;0
code;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
code source;0.0222222;0;0;0;0;0;0
fichier texte;0.153846;0;0.150943;0.153846;0.16;0;0
texte;0.378378;0.355556;0.391892;0.378378;0.351351;0;0.346667
mise en forme;0.0434783;0;0;0.0434783;0;0;0
concerner;0.153846;0.111111;0;0.153846;0.16;0;0
commentaire;0.342857;0.390244;0.338028;0.342857;0;0.272727;0.367647
délimiter;0.210526;0.219178;0.206897;0.210526;0;0.18;0
affichage;0.378378;0.355556;0.391892;0.378378;0.351351;0;0.346667
gras;0.0434783;0;0;0.0434783;0;0;0
fois;0.314286;0.4;0.328571;0;0.323529;0.28125;0.338235
chemin;0.0833333;0.0588235;0;0;0;0;0.0851064
lien hypertextes;0.342857;0.390244;0.338028;0.342857;0;0.272727;0.367647
url;0.237288;0.207792;0;0.237288;0.224138;0;0.220339
textuels;0.0222222;0;0;0;0;0;0
case à cocher;0.153846;0;0.150943;0.153846;0;0;0.156863
page web dynamique;0.0222222;0;0;0;0;0;0
post;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
champ de saisie;0.342857;0.390244;0.338028;0.342857;0;0.272727;0.367647
size;0.0625;0.0597015;0;0;0;0.0789474;0
nombre;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
text;0.342857;0.390244;0.338028;0.342857;0;0.272727;0.367647
vide;0.0434783;0.030303;0;0;0;0;0
liste déroulante;0.0434783;0;0;0.0434783;0;0;0
sélectionner;0.0434783;0.030303;0;0;0;0;0
déclencher;0.0222222;0;0;0;0;0;0
réinitialisation;0.0434783;0;0.0425532;0;0;0;0
langage;0.478261;0.695652;0.48913;0.478261;0.456522;0.369565;0.467391
langage impératif;0.0222222;0;0;0;0;0;0
