X;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0.0645161;0;0;0;0.1;0
navigateur;0;0;0.297297;0.275;0.333333;0.28125;0.268293
serveur web;0;0;0.137931;0.125;0;0;0.121212
fichier;0.192308;0.2;0;0;0;0.192308;0.2
client;0.1;0;0;0.0666667;0;0;0
base de donnée;0;0;0;0.0666667;0.105263;0;0
donnée;0;0;0.137931;0.125;0.190476;0;0
php;0.307692;0.216216;0;0.222222;0;0;0.216216
code;0;0.121212;0;0.125;0;0;0.121212
texte;0;0.27907;0.378378;0.317073;0.30303;0;0.27907
concerner;0;0.121212;0;0.125;0.190476;0;0
commentaire;0.294118;0.341463;0;0.317073;0;0.294118;0.341463
délimiter;0;0.121212;0;0.125;0;0.181818;0
fois;0.258065;0.282051;0.314286;0;0.1875;0;0.25
url;0.307692;0.216216;0;0.222222;0;0;0.216216
case à cocher;0.181818;0;0;0.125;0;0;0.121212
post;0;0;0.0740741;0;0;0;0.0645161
nombre;0;0.189189;0;0.228571;0.28;0.269231;0
text;0.307692;0.216216;0.242424;0.222222;0;0;0
langage;0.290323;0.307692;0.236842;0;0;0.212121;0.307692
utilisateur;0;0.121212;0;0.125;0;0;0.121212
case;0.269231;0.222222;0.212121;0;0;0;0.189189
associer;0;0.0645161;0;0;0;0;0.0645161
personne;0;0.216216;0;0.222222;0;0.307692;0.216216
méthode post;0;0;0.193548;0;0.208333;0.2;0.171429
fermeture;0.294118;0.341463;0;0.317073;0;0.294118;0.341463
machine;0;0.0333333;0;0;0;0;0
mysql;0;0;0;0.0344828;0;0;0
salaire;0;0.0333333;0;0;0;0;0
jour;0.1;0.0645161;0;0;0;0;0
site;0.181818;0;0.137931;0.125;0;0;0
chaîne;0;0.0645161;0;0;0;0.1;0
header;0;0.0645161;0;0;0;0;0.0645161
moteur;0;0.0333333;0;0;0;0;0
paris;0;0.0645161;0;0;0;0;0.0645161
langage de script;0;0.0645161;0.0740741;0;0;0;0
côté serveur;0;0.0645161;0;0;0;0;0.0645161
opérateur;0;0.0333333;0;0;0;0;0
super;0;0.0333333;0;0;0;0;0
type;0;0;0;0;0.0555556;0;0
foreach;0;0;0.137931;0.125;0;0;0.121212
cle;0;0.216216;0.242424;0.222222;0;0;0.216216
serveur;0;0.216216;0;0.222222;0;0.307692;0.216216
interpréter;0;0.0645161;0;0;0;0.1;0
transaction;0;0.0333333;0;0;0;0;0
côté client;0;0.0333333;0;0;0;0;0
classes;0;0.0645161;0;0;0;0;0.0645161
bienvenue;0;0.0333333;0;0;0;0;0
class;0;0.0645161;0;0;0;0;0.0645161
mot;0;0.121212;0.137931;0.125;0;0;0
méthode;0;0;0.297297;0.275;0.333333;0.28125;0.268293
session;0;0.121212;0.137931;0.125;0;0;0
visiteur;0;0.0645161;0;0;0;0.1;0
afficher;0;0.0645161;0;0.0666667;0;0;0
pouvoir;0;0.0333333;0;0;0;0;0
mysqli;0;0.0645161;0;0;0;0;0.0645161
france;0;0;0.0384615;0;0;0;0
list;0;0;0.0740741;0;0;0;0.0645161
timestamp;0;0;0.0384615;0;0;0;0
accéder;0;0;0;0;0;0;0.0333333
