X;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0.166667;0;0;0;0;0;0
navigateur;0.285714;0.285714;0;0;0;0;0
serveur web;0;0.166667;0;0;0;0;0
fichier;0;0;0.2;0;0;0;0
donnée;0;0.222222;0;0;0;0.428571;0.333333
php;0;0;0;0;0;0.2;0
code;0;0;0;0;0;0.2;0
texte;0.166667;0;0;0;0;0;0
concerner;0.166667;0;0;0;0;0;0
commentaire;0;0;0.2;0;0;0;0
délimiter;0.285714;0;0.333333;0;0;0;0
fois;0;0;0;0;0;0.2;0
url;0;0;0;0;0.333333;0;0
case à cocher;0;0;0.2;0;0;0;0
post;0;0;0;0;0;0.2;0
nombre;0.375;0;0.428571;0;0;0;0.2
text;0;0;0;0;0;0.333333;0.25
langage;0;0;0;0;0.333333;0;0
utilisateur;0.166667;0;0;0;0;0;0
case;0;0;0;0;0.333333;0;0
associer;0.166667;0;0;0;0;0;0
personne;0.166667;0;0;0;0;0;0
méthode post;0;0.285714;0;0.333333;0;0;0
fermeture;0;0;0;0;0.333333;0;0
mysql;0.166667;0;0;0;0;0;0
salaire;0.166667;0;0;0;0;0;0
jour;0;0;0;0;0;0.2;0
site;0;0;0;0;0;0.2;0
chaîne;0;0;0;0;0.333333;0;0
header;0;0;0;0;0.333333;0;0
paris;0;0;0;0;0;0.2;0
langage de script;0;0;0;0.333333;0;0;0.25
côté serveur;0;0;0.2;0;0;0;0
type;0;0;0;0;0;0;0.142857
foreach;0;0;0;0;0;0.2;0
cle;0;0;0;0;0;0.2;0
serveur;0;0;0.2;0;0;0;0
interpréter;0;0;0.2;0;0;0;0
classes;0;0;0;0;0;0.2;0
class;0;0;0;0;0;0.2;0
mot;0;0;0;0;0;0;0.142857
méthode;0;0.166667;0;0;0;0;0
session;0;0;0;0;0.333333;0;0
visiteur;0;0;0;0;0;0;0.142857
afficher;0;0;0;0;0;0;0.142857
mysqli;0;0;0;0;0;0.2;0
list;0;0;0;0.2;0;0;0
