X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
page web;0.097166;0;0.0875421;0;0.0981818;0.109244;0;0.125714;0;0.0949555
page web statiques;0.00458716;0;0;0;0;0;0;0;0;0
navigateur;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
serveur web;0.319527;0.336391;0.286822;0.314642;0.31405;0.338415;0;0;0.312121;0.276995
fichier;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
disque dur;0.0355556;0;0;0;0;0.0366972;0.0526316;0;0;0.0247678
client;0.259136;0.245791;0.294294;0.258865;0.242424;0;0.254098;0.2249;0;0.27882
client serveur;0.0686695;0;0;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
base de donnée;0.324324;0;0.358396;0.283747;0.37467;0.334254;0.283077;0.249249;0.328691;0.430657
donnée;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
ensemble;0.00913242;0;0;0;0;0;0;0;0;0.00630915
php;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
javascript;0.319527;0.336391;0.286822;0.314642;0.31405;0.338415;0;0;0.312121;0.276995
perl;0.11245;0;0.0966667;0.124444;0.107914;0;0;0;0.118644;0.0901163
python;0.0355556;0;0.0288809;0;0.03125;0.0366972;0;0;0;0
java;0.20438;0.180147;0.201258;0;0.183607;0.209738;0.235577;0;0;0.150538
code;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
code source;0.0180995;0;0;0;0.015873;0.0186916;0;0;0;0
fichier texte;0.185874;0.178707;0.192926;0.18;0.174497;0.181818;0.182692;0;0;0
texte;0.390977;0.371859;0.459135;0.334171;0.415459;0.40874;0.292225;0;0.344913;0.386412
mise en forme;0.00913242;0;0;0.0102564;0;0;0;0;0;0
concerner;0.198529;0;0.188679;0.175097;0.186047;0.194757;0.216346;0;0;0.145946
commentaire;0.264151;0.288525;0.240437;0.285714;0.273529;0;0;0.256705;0.279605;0.322751
délimiter;0.179104;0.185328;0.153605;0.196721;0;0.188462;0;0.169082;0;0.182857
affichage;0.390977;0.371859;0.459135;0.334171;0.415459;0.40874;0.292225;0;0.344913;0.386412
gras;0.0180995;0;0.014652;0.0203046;0;0;0;0;0;0
fois;0.350267;0.312169;0.385572;0;0.370844;0.360656;0.293413;0.238506;0.355372;0.432304
chemin;0.0686695;0;0;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
lien hypertextes;0.263666;0.267327;0;0.268041;0.254438;0.257329;0;0.222222;0.279461;0.292105
url;0.165441;0;0.171429;0.158103;0.167785;0;0.196078;0;0.164751;0.149584
textuels;0.00458716;0;0;0;0;0;0;0;0;0
case à cocher;0.0686695;0.0714286;0;0.076555;0;0.0707965;0;0;0.0727273;0
page web dynamique;0.00913242;0;0;0;0;0.00943396;0;0;0;0
post;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
champ de saisie;0.0987654;0.102564;0;0.109589;0;0;0;0.102857;0.10917;0.0960961
size;0.0515021;0;0.04947;0;0.0534351;0;0;0.0754717;0;0.0489297
nombre;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
text;0.385;0.401028;0.361798;0.383812;0.409639;0.38481;0;0.290323;0.39433;0.495413
vide;0.00913242;0;0;0;0;0;0;0;0;0.00630915
liste déroulante;0.0180995;0;0;0.0203046;0;0.0186916;0;0;0;0
sélectionner;0.0180995;0;0;0;0;0.0186916;0;0;0;0.0125392
déclencher;0.00913242;0;0.00738007;0;0;0;0;0;0;0
réinitialisation;0.00913242;0.00952381;0;0;0;0;0;0;0;0
langage;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
langage impératif;0.00458716;0;0;0;0;0;0;0;0;0
impératif;0.00913242;0;0;0;0;0.00943396;0;0;0;0
zones;0.0355556;0;0.0288809;0;0;0.0366972;0;0;0.0377358;0
utilisateur;0.19573;0;0.175758;0.214008;0.19544;0.218519;0;0;0.205224;0.163539
affectation;0.113821;0.104167;0.108844;0;0;0.117155;0.142045;0;0;0.0813953
booléen;0.15;0.146245;0.162252;0.155462;0;0;0.164948;0.142132;0;0.150725
réalité;0.00913242;0;0;0;0;0.00943396;0;0;0;0
concatène;0.00458716;0;0;0;0;0;0;0;0;0
addition;0.0686695;0;0.0561404;0;0;0.0707965;0;0;0.0727273;0.0483384
soustraction;0.0355556;0;0;0;0;0.0366972;0;0;0.0377358;0.0247678
multiplié;0.00458716;0;0;0;0;0;0;0;0;0
modulo;0.0355556;0;0.0288809;0;0;0;0;0;0.0377358;0.0247678
égalité;0.0180995;0;0;0.0203046;0.015873;0;0;0;0;0
logiques;0.350267;0.312169;0.385572;0;0.370844;0.360656;0.293413;0.238506;0.355372;0.432304
syntaxe;0.19573;0;0.175758;0.214008;0.19544;0.218519;0;0;0.205224;0.163539
case;0.180147;0.168539;0.18038;0;0;0.193916;0.192308;0;0.180077;0.151099
associer;0.128514;0;0.106312;0;0.114286;0.132231;0;0;0.135593;0.092219
personne;0.247649;0;0.236264;0.263514;0.272997;0.273616;0;0.236641;0.274834;0.295039
prenom;0.142322;0;0;0;0.150685;0.159533;0.171717;0.143564;0.15873;0.154728
structure de contrôle;0.128514;0.133333;0.106312;0;0.114286;0.132231;0;0;0.135593;0
définition;0.19573;0;0.175758;0.214008;0.19544;0.218519;0;0;0.205224;0.163539
initialiser;0.113821;0.104167;0.108844;0;0.101083;0.117155;0.142045;0;0;0
dépendre;0.0355556;0;0.0288809;0;0;0.0366972;0;0;0;0.0247678
méthode post;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
fermeture;0.324324;0;0.358396;0.283747;0.37467;0.334254;0.283077;0.249249;0.328691;0.430657
passwd;0.00913242;0;0;0;0.008;0;0;0;0;0
machine;0.0686695;0;0.0561404;0;0.0606061;0.0707965;0;0;0;0.0483384
mysql;0.19573;0;0.175758;0.214008;0.19544;0.218519;0;0;0.205224;0.163539
salaire;0.0135747;0;0;0;0;0;0;0.0204082;0;0.0125786
phase;0.0180995;0;0;0;0.015873;0.0186916;0;0;0;0
être utile;0.0180995;0;0.014652;0;0;0.0186916;0;0;0;0
boucle while;0.0266667;0;0;0;0;0;0;0.0397351;0.0331754;0.0249221
jour;0.0517241;0;0.0459364;0;0;0.0580357;0;0.0691824;0;0.0490798
euro;0.00913242;0;0;0;0;0.00943396;0;0;0;0
etc;0.128514;0;0.106312;0;0.114286;0.132231;0;0;0.135593;0.092219
programmation;0.319527;0.336391;0.286822;0.314642;0.31405;0.338415;0;0;0.312121;0.276995
site;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
détruire;0.0311111;0;0;0;0;0;0.0460526;0;0.0330189;0.0248447
second;0.0180995;0;0.014652;0;0;0;0;0;0.0192308;0
