X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
page web;0.117647;0;0;0;0;0;0;0;0;0.0952381;0
navigateur;0.117647;0;0;0;0;0;0;0;0;0.0952381;0
serveur web;0.117647;0;0;0;0;0;0;0;0;0.0952381;0
fichier;0;0.2;0.263158;0.25;0;0;0.3;0;0;0;0
client;0;0.227273;0;0;0.25;0;0.26087;0.24;0;0.222222;0
base de donnée;0.36;0;0;0;0;0.272727;0;0.241379;0.333333;0.266667;0
donnée;0.36;0;0;0;0;0.272727;0;0.241379;0.333333;0.266667;0
php;0;0.166667;0;0;0.166667;0;0.210526;0.136364;0;0;0
java;0;0;0;0;0;0;0;0;0;0;0.125
code;0;0;0.133333;0;0;0;0;0.105263;0;0;0
texte;0.0625;0;0;0;0;0;0;0;0;0;0
concerner;0.0625;0;0;0;0;0;0;0;0;0;0
commentaire;0;0.133333;0;0;0;0;0;0;0;0;0.222222
délimiter;0.117647;0.133333;0;0;0;0;0;0;0;0;0
fois;0;0;0;0;0;0;0;0.0555556;0;0;0
url;0;0;0;0;0;0;0.0625;0;0;0;0
case à cocher;0;0.0714286;0;0;0;0;0;0;0;0;0
post;0.25;0;0;0.2;0;0;0.2;0.28;0;0.259259;0
nombre;0.25;0.217391;0.166667;0;0;0.263158;0;0;0.28;0;0
text;0;0;0;0;0;0;0;0.105263;0.105263;0;0
langage;0;0;0;0.181818;0;0;0.117647;0;0;0;0
zones;0.117647;0;0;0;0;0;0;0;0.105263;0;0
utilisateur;0.0625;0;0;0;0;0;0;0;0;0;0
case;0;0;0;0;0;0;0.0625;0;0;0;0
associer;0.0625;0;0;0;0;0;0;0;0;0;0
personne;0.117647;0;0;0;0;0.181818;0;0;0;0;0
méthode post;0.2;0;0;0.2;0.25;0;0;0;0;0.217391;0
fermeture;0;0;0;0;0;0;0.0625;0;0;0;0
machine;0.0625;0;0;0;0;0;0;0;0;0;0
mysql;0.210526;0;0;0;0;0;0;0;0.190476;0.173913;0
salaire;0.117647;0;0;0;0;0;0;0.105263;0;0;0
jour;0;0;0;0;0;0;0;0.0555556;0;0;0
programmation;0;0;0.133333;0;0;0;0;0;0;0;0.222222
site;0;0;0;0;0;0.2;0.2;0.28;0.28;0.214286;0
chaîne;0;0;0.133333;0;0;0;0.117647;0;0;0;0
header;0;0;0;0;0;0;0.0625;0;0;0;0
doctype;0;0;0;0;0.142857;0;0;0;0;0;0
moteur;0;0;0;0;0;0;0;0;0.0555556;0;0
configuration;0;0;0;0;0.142857;0;0;0;0;0;0
paris;0;0;0;0;0;0;0;0.0555556;0;0;0
langage de script;0;0;0.263158;0.25;0;0;0.3;0;0.166667;0;0
côté serveur;0;0.0714286;0;0;0;0;0;0;0;0;0
opérateur;0;0;0;0;0;0;0;0.0555556;0;0;0
super;0;0;0;0;0;0;0.0625;0;0;0;0
type;0;0.235294;0;0;0;0;0;0;0.190476;0.173913;0
foreach;0;0;0;0;0;0;0.157895;0.2;0;0.130435;0
cle;0;0;0;0;0;0;0;0.0555556;0;0;0
serveur;0;0.0714286;0;0;0;0;0;0;0;0;0
communication;0;0;0;0;0;0;0;0;0;0.05;0
interpréter;0;0.0714286;0;0;0;0;0;0;0;0;0
transaction;0;0;0;0;0;0;0;0;0.0555556;0;0
côté client;0;0.0714286;0;0;0;0;0;0;0;0;0
classes;0;0;0;0;0;0;0;0.105263;0;0;0.222222
bienvenue;0;0;0;0;0;0;0;0.0555556;0;0;0
class;0;0;0.235294;0;0;0;0;0.190476;0;0;0.363636
mot;0;0;0;0;0;0;0;0;0.0555556;0;0
méthode;0;0;0.1875;0;0;0;0;0;0;0.0869565;0.3
session;0;0;0;0;0;0;0.0625;0;0;0;0
visiteur;0;0;0;0;0;0;0;0;0.0555556;0;0
afficher;0;0;0;0;0;0;0;0;0.0555556;0;0
pouvoir;0;0;0;0;0;0.181818;0;0;0.105263;0;0
mysqli;0;0;0;0;0;0;0;0.0555556;0;0;0
insert;0;0;0;0;0;0.1;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0.125
france;0;0;0;0;0;0;0.0625;0;0;0;0
pointeur;0;0.0714286;0;0;0;0;0;0;0;0;0
list;0;0;0;0.1;0;0;0;0;0;0;0
casse;0;0.0714286;0;0;0;0;0;0;0;0;0
timestamp;0;0;0.133333;0;0;0;0.117647;0;0;0;0
exceptions;0;0;0.0714286;0;0;0;0;0;0;0;0
xml;0;0;0;0;0.142857;0;0;0;0;0;0
echo;0;0;0.0714286;0;0;0;0;0;0;0;0
files;0;0;0.0714286;0;0;0;0;0;0;0;0
varchar;0;0;0;0;0;0.1;0;0;0;0;0
mise;0;0;0;0;0;0;0;0;0;0;0.125
valeur;0;0;0;0;0;0;0.0625;0;0;0;0
composer;0;0;0;0;0.142857;0;0;0;0;0;0
positionnement;0;0;0;0.1;0;0;0;0;0;0;0
null;0;0;0;0;0;0.1;0;0;0;0;0
généralité;0;0;0;0;0;0;0.0625;0;0;0;0
autre;0;0;0;0;0;0;0.0625;0;0;0;0
avoir accès;0;0;0;0;0;0;0.0625;0;0;0;0
