X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
page web;0;0;0.0599251;0;0.0631164;0.0745921;0;0.0984615;0;0.0643863;0.0761905
page web statiques;0.00285714;0;0;0;0;0;0;0;0;0;0
navigateur;0;0.231317;0.255352;0.244681;0.248428;0.236615;0.251451;0.228916;0.252115;0;0.231707
serveur web;0.217484;0.20935;0.175325;0.193294;0.212174;0.21135;0;0;0.19295;0;0.205534
fichier;0.17316;0;0.164154;0.163636;0.178131;0.168317;0.194954;0.20297;0;0.177102;0
disque dur;0.022409;0;0;0;0;0.0197531;0.0238095;0;0;0.0169133;0
client;0;0.0411311;0;0;0.0325866;0;0.0465116;0.0517799;0;0.033264;0
client serveur;0.0438356;0;0;0;0.0325866;0.0387409;0;0;0.0366133;0.033264;0
base de donnée;0.230496;0;0.275602;0.266087;0.248097;0;0.2603;0.281124;0.239482;0.285714;0.25945
donnée;0.122249;0.12065;0.116788;0.123007;0.103774;0;0.117347;0;0;0;0.116592
ensemble;0.00569801;0;0;0;0;0;0;0;0;0.00428266;0
php;0.185263;0.210309;0.18543;0.198795;0.185886;0;0.199115;0;0.189139;0.187063;0
javascript;0.233546;0.227181;0.180064;0.203523;0.221071;0.207294;0;0;0.211503;0.19554;0
perl;0.0787402;0;0.0561798;0.0722892;0.0633663;0;0;0;0.0662252;0.0625;0
python;0.022409;0;0.0156863;0;0.0165631;0.0197531;0;0;0;0;0
java;0.135593;0.128146;0.114695;0;0.11215;0.131291;0.142857;0;0;0.114286;0
code;0.35724;0.401091;0.450439;0.359109;0.458656;0.388375;0.292105;0;0.372925;0.388337;0.356771
code source;0.022409;0;0;0;0.0165631;0.0197531;0;0;0;0;0.020202
fichier texte;0.185996;0.191579;0.188034;0.170732;0.186501;0.163708;0.168161;0;0;0;0.178499
texte;0;0.302048;0.307918;0.290484;0.312595;0.281759;0.27758;0;0.2976;0.276119;0.267101
mise en forme;0.0113314;0;0;0.0103359;0;0;0;0;0;0;0.0102041
concerner;0;0;0.10772;0.121622;0.113208;0.110629;0.130102;0;0;0.108987;0.122768
