X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
php;0;0;0;0.111111
page;0;0.333333;0.333333;0.333333
script;0;0;0;0.111111
base;0;0.333333;0.333333;0.333333
séparateur;0;0.2;0;0.2
bloc;0;0;0.111111;0
commentaires;0;0;0.111111;0
portée;0;0.333333;0.333333;0.333333
booléens;0;0.2;0.2;0
supprimer;0;0.333333;0.333333;0.333333
précédence;0;0.2;0.2;0
bits;0;0;0.111111;0
comparaison;0;0.2;0.2;0
incrémentation;0;0.2;0.2;0
opérateur logiques;0;0.2;0;0.2
switch;0;0.2;0.2;0
valeur de retour;0;0.2;0;0.2
strftime;0;0;0.2;0.2
mysql;0;0;0;0.111111
phpmyadmin;0;0;0.2;0.2
modifier;0;0.333333;0.333333;0.333333
numériques;0;0.333333;0.333333;0.333333
entiers;0;0;0.111111;0
réels;0;0.111111;0;0
enum;0;0.333333;0.333333;0.333333
timestamp;0;0;0;0.111111
time;0;0;0.2;0.2
sql;0;0;0;0.111111
innodb;0;0.333333;0.333333;0.333333
fulltext;0;0.333333;0.333333;0.333333
séquence;0;0.111111;0;0
fread;0;0.333333;0.333333;0.333333
fichier par;0;0.333333;0.333333;0.333333
sortie;0;0.2;0.2;0
sortie standard;0;0;0.2;0.2
ecriture;0;0;0.111111;0
fin de fichier;0;0.333333;0.333333;0.333333
fermer;0;0.2;0;0.2
système de fichiers;0;0.333333;0.333333;0.333333
comparer;0;0.333333;0.333333;0.333333
session;0;0;0;0.111111
rectangle;0;0.333333;0.333333;0.333333
polygones;0;0.333333;0.333333;0.333333
programmation objet;0;0;0.111111;0
opérateur;0;0.333333;0.333333;0.333333
polymorphisme;0;0.2;0.2;0
self;0;0;0.2;0.2
destructeur;0;0.333333;0.333333;0.333333
affectation;0;0.111111;0;0
nouveauté;0;0.333333;0.333333;0.333333
exceptions;0;0.2;0.2;0
côté serveur;0;0;0;0.111111
inspirer;0;0.333333;0.333333;0.333333
langage c;0;0.2;0.2;0
perl;0;0;0.2;0.2
rasmus lerdorf;0;0;0.2;0.2
site personnel;0;0.333333;0.333333;0.333333
interpreter;0;0.2;0;0.2
personne;0;0;0;0.111111
contributeurs;0;0.333333;0.333333;0.333333
juin;0;0;0.2;0.2
zeev suraski;0;0;0.2;0.2
modulaire;0;0;0.2;0.2
extensible;0;0.333333;0.333333;0.333333
supplémentaires;0;0;0;0.111111
manquer;0;0.2;0;0.2
cohérente;0;0.111111;0;0
zend;0;0;0.2;0.2
zend engine;0;0;0.2;0.2
mai;0;0.333333;0.333333;0.333333
xml;0;0;0;0.111111
forum;0;0.333333;0.333333;0.333333
messagerie;0;0.333333;0.333333;0.333333
commerce électronique;0;0;0.2;0.2
banque;0;0.2;0;0.2
publication en ligne;0;0.333333;0.333333;0.333333
lamp;0;0;0.2;0.2
linux;0;0;0;0.111111
incorporer;0;0.333333;0.333333;0.333333
javascript;0;0;0;0.111111
semblant;0;0.333333;0.333333;0.333333
dédier;0;0.333333;0.333333;0.333333
vitesse;0;0.2;0;0.2
côté;0;0.333333;0.333333;0.333333
côté client;0;0;0;0.111111
vbscript;0;0.333333;0.333333;0.333333
jscript;0;0.333333;0.333333;0.333333
activex;0;0.333333;0.333333;0.333333
portage;0;0.333333;0.333333;0.333333
plate-forme;0;0.2;0.2;0
langage de programmation procédural;0;0;0.2;0.2
procédural;0;0.333333;0.333333;0.333333
