X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
page web;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
navigateur;0.1;0;0;0;0;0;0;0;0.0512821;0;0;0;0;0;0;0;0;0
serveur web;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fichier;0;0;0;0;0;0.222222;0;0.184211;0;0.151515;0.114286;0.24;0.217391;0;0;0;0;0
client;0;0;0;0.194444;0;0;0.189189;0;0.192308;0;0.205128;0;0;0.103448;0;0.25;0.209302;0
base de donnée;0;0.181818;0;0;0;0.0869565;0;0;0.0952381;0;0;0;0;0;0.181818;0;0;0
donnée;0;0.290323;0;0;0;0.147059;0;0;0.22449;0;0;0;0;0;0.333333;0;0.111111;0.272727
php;0;0;0.217391;0;0;0;0;0;0;0;0.166667;0;0;0.25;0;0.222222;0.111111;0
javascript;0;0;0;0;0;0;0;0;0.0263158;0;0;0;0;0;0;0;0;0
code;0;0;0;0;0.181818;0;0;0.166667;0;0.129032;0;0.217391;0;0;0;0;0.171429;0
texte;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
concerner;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commentaire;0;0;0;0;0.1875;0;0;0.129032;0;0;0.115385;0;0;0;0;0;0;0
délimiter;0.1;0;0;0;0;0;0;0;0;0;0.0833333;0;0;0;0;0;0;0
gras;0;0;0;0;0.0769231;0;0;0;0;0;0;0;0;0;0;0;0;0
fois;0;0;0;0;0;0;0;0.0666667;0;0;0;0;0;0;0;0;0.0689655;0
lien hypertextes;0;0;0;0;0.0769231;0;0;0;0;0;0;0;0;0;0;0;0;0
url;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
case à cocher;0;0;0;0;0;0;0.0952381;0;0;0;0.0833333;0;0;0;0;0;0;0
post;0.178571;0;0;0;0;0;0;0;0;0.241379;0;0;0.181818;0;0;0.166667;0.166667;0
nombre;0.157895;0.226415;0;0.137931;0;0.142857;0;0.206349;0.307692;0;0.166667;0.107143;0;0;0.203704;0;0;0.265625
text;0;0;0;0.25;0.2;0;0;0;0;0;0;0;0;0;0;0;0.181818;0.125
sélectionner;0;0.0555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
langage;0;0;0.117647;0;0;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
zones;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0571429
utilisateur;0.181818;0;0;0;0;0;0.173913;0;0;0.16;0;0;0;0;0;0;0;0
affectation;0;0;0;0;0;0;0;0;0.0263158;0;0;0;0;0;0;0;0;0
syntaxe;0;0;0.117647;0;0;0;0;0.0666667;0;0;0;0;0;0;0;0;0;0
case;0;0;0;0;0;0;0;0;0.0512821;0;0;0;0;0;0;0.0909091;0;0
associer;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
personne;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.105263;0;0;0
structure de contrôle;0;0;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
définition;0;0;0;0;0;0.0588235;0;0;0;0;0;0;0;0;0;0;0;0
méthode post;0.148148;0;0.166667;0;0.0869565;0.16;0;0;0;0;0;0;0.263158;0.176471;0;0;0;0
fermeture;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.047619;0;0
passwd;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0
machine;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mysql;0.206897;0.214286;0;0;0;0;0.16129;0;0.2;0;0;0;0;0;0;0;0;0.190476
salaire;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0689655;0
jour;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0357143;0
programmation;0;0;0.117647;0;0;0;0.0952381;0;0;0;0;0;0;0;0;0;0;0
site;0;0;0;0.225;0;0;0;0;0.214286;0.181818;0;0;0;0;0.2;0.214286;0.234043;0.230769
types;0;0;0.21875;0;0;0;0.194444;0.238095;0.22;0;0.243243;0;0;0;0;0;0;0.14
session;0;0;0;0;0;0;0;0;0;0;0.0833333;0;0;0;0;0.0909091;0;0
entités;0;0.0555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
côté serveur;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
langage de script;0;0.185185;0.2;0;0;0;0;0.228571;0;0;0;0;0.181818;0;0;0;0;0.142857
internet;0;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0
avoir accès;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.047619;0;0
système;0;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0
valeur par défaut;0;0;0;0;0;0;0;0;0.0263158;0;0;0;0;0;0;0;0;0
menu;0;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0
afficher;0;0;0;0;0;0.2;0;0;0;0.16;0;0;0;0;0;0;0;0.108108
nécessaire;0;0.105263;0;0;0;0;0;0.0666667;0;0;0;0;0;0;0;0;0;0
serveur;0;0;0;0.206897;0.208333;0;0;0.216216;0.173913;0;0.258065;0;0;0;0;0;0;0
class;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0.0689655;0
composer;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0
chaîne;0;0;0.2;0;0;0;0;0.194444;0.130435;0;0;0.208333;0;0;0;0.166667;0;0
helvetica;0;0.0555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
côté client;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
list;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333;0;0;0;0;0
mode;0;0;0;0;0;0;0;0.0344828;0;0;0;0;0;0;0;0;0;0
configuration;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0
xml;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0
web;0;0;0;0;0.142857;0;0.0952381;0;0;0;0;0;0;0;0;0;0;0
méthode;0;0;0;0;0;0.157895;0.0869565;0;0;0;0;0.176471;0;0;0;0;0;0
bits;0;0;0;0;0;0;0;0.0344828;0;0;0;0;0;0;0;0;0;0
conditionnelle;0;0;0;0;0;0;0;0;0.0263158;0;0;0;0;0;0;0;0;0
foreach;0;0;0;0;0;0;0.185185;0;0;0.214286;0;0;0;0;0;0.222222;0.212121;0
pouvoir;0;0;0;0;0;0;0;0.0344828;0;0;0;0;0;0;0;0;0;0
mot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0294118
information;0;0.0555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
varchar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0555556;0;0;0
timestamp;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0.0909091;0;0
easyphp;0;0;0;0;0;0;0;0.0344828;0;0;0;0;0;0;0;0;0;0
casse;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
sauvegarder;0;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0
insert;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0555556;0;0;0
pouvoir;0;0.208333;0;0;0;0;0;0;0;0.137931;0;0;0;0;0.26087;0;0;0.184211
impossible;0;0.0555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fonctionnalité;0;0;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
couleurs;0;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bienvenue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0357143;0
id;0;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0
paris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0357143;0
france;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.047619;0;0
programmation web;0;0;0;0;0.142857;0;0.0952381;0;0;0;0;0;0;0;0;0;0;0
interpréter;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
opérateurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0357143;0
pointeur;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
cle;0;0;0;0;0;0;0;0;0.0512821;0;0;0;0;0;0;0;0.0689655;0
classes;0;0;0;0;0.25;0;0.173913;0;0;0;0;0;0;0;0;0;0.129032;0
header;0;0;0;0;0;0;0;0;0.0731707;0.12;0;0;0;0;0;0.173913;0;0
visiteur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0294118
null;0;0;0;0;0;0;0;0;0.0512821;0;0;0;0;0;0.105263;0;0;0
echo;0;0;0;0;0;0;0;0.0666667;0;0;0;0.125;0;0;0;0;0;0
positionnement;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333;0;0;0;0;0
exe;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
rue;0;0;0;0;0;0.0588235;0;0;0;0;0;0;0;0;0;0;0;0
thomas;0;0;0;0;0.0769231;0;0;0;0;0;0;0;0;0;0;0;0;0
doctype;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0
file;0;0;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0;0;0;0
mysqli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0357143;0
attribut;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0
moteur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0294118
transaction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0294118
valeur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.047619;0;0
exception;0;0;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0;0;0;0
head;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0
wamp;0;0;0;0;0;0;0;0;0;0.0454545;0;0;0;0;0;0;0;0
symfony;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0
inverse;0;0;0;0;0;0;0;0;0;0;0.0434783;0;0;0;0;0;0;0
info;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333;0;0;0;0;0
realisateur;0;0;0;0;0;0;0;0;0;0.0454545;0;0;0;0;0;0;0;0
généralité;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.047619;0;0
autre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.047619;0;0
