X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
page web;0;0.144378;0.158047;0.131189;0.152757;0.130475;0;0.153764;0.155118;0.132164;0;0.123617;0;0.143143;0.154726;0;0.116624;0
page web statiques;0.000514403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
navigateur;0;0.32166;0.348311;0.110561;0.25412;0.382186;0.240453;0.288713;0;0.337952;0.175502;0.35789;0.223253;0.306556;0.305723;0.0945395;0.103982;0.299215
serveur web;0;0.368967;0.360182;0.096309;0.299501;0.425091;0.251444;0.337323;0.306995;0.387185;0.155424;0.379119;0.251823;0.375628;0.364175;0;0;0.387053
fichier;0.0938706;0.0739082;0.0688464;0.103957;0;0;0;0;0.0734761;0;0;0.0638706;0.0912683;0.0727497;0.0737374;0.119841;0.145919;0
disque dur;0.00816743;0;0;0;0;0;0;0.00544959;0;0.00346395;0;0;0;0;0.00437278;0.0195599;0;0
client serveur;0.160201;0.125668;0;0;0.159181;0.115904;0.160398;0.145385;0.159352;0.137944;0;0;0;0.135245;0.137517;0;0;0.149137
base de donnée;0.00410046;0;0;0.00973236;0;0;0;0;0;0;0;0;0;0;0;0;0.0101394;0.00215401
donnée;0.00205444;0;0;0.00488998;0;0;0;0.00136799;0;0;0;0;0;0;0;0;0;0
ensemble;0.00205444;0;0;0;0.00159299;0;0;0.00136799;0;0;0;0;0;0;0;0;0;0
php;0.0535714;0;0;0;0;0.0313864;0;0.0363812;0.0446492;0.0343954;0;0.0355722;0.0519091;0;0;0.090099;0;0.036759
javascript;0.21884;0.33054;0.323153;0.12238;0.29389;0.390454;0.280932;0.310049;0;0.359667;0.162732;0.386749;0.216999;0.332714;0.320602;0;0;0.304659
perl;0.106728;0.0786813;0.0813497;0;0;0.0678168;0;0.0979801;0;0.0738052;0;0.0853866;0.10662;0.0811531;0;0;0;0.0802635
python;0.0162025;0.00758653;0;0;0;0;0;0;0;0.00690399;0;0.00723982;0;0.00848131;0.00870748;0;0;0
java;0.164663;0;0.146426;0.115949;0.174543;0.171574;0.169059;0.166449;0;0.140445;0.168502;0.163137;0;0.138518;0.143015;0.126801;0;0
code;0.115972;0.0733348;0.0955631;0;0.108548;0.0935484;0.109689;0.091637;0;0;0.123596;0.0922783;0;0.0819515;0;0.112456;0;0
code source;0.0635141;0.0384527;0.0455682;0.119116;0.0569527;0;0;0.0510925;0;0.0370525;0;0;0;0.0436113;0.0417319;0;0;0
