X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0.2;0.2;0.2;0;0.2
page web statiques;0;0.333333;0.333333;0.333333;0.333333;0.333333
serveur web;0;0;0;0.0588235;0.0588235;0
disque dur;0;0.2;0.2;0;0.2;0.2
client;0;0;0;0;0;0.030303
client serveur;0;0.2;0.2;0.2;0.2;0
base de donnée;0;0.030303;0;0;0;0
ensemble;0;0.333333;0.333333;0.333333;0.333333;0.333333
javascript;0;0;0;0.0588235;0.0588235;0
perl;0;0.111111;0;0.111111;0.111111;0
python;0;0.333333;0.333333;0.333333;0.333333;0.333333
java;0;0;0.111111;0;0.111111;0.111111
code source;0;0.333333;0.333333;0.333333;0.333333;0.333333
fichier texte;0;0;0;0;0.0588235;0.0588235
texte;0;0;0;0;0.030303;0
mise en forme;0;0.2;0;0.2;0.2;0.2
concerner;0;0.111111;0;0;0.111111;0.111111
commentaire;0;0;0;0.030303;0;0
délimiter;0;0;0;0.0588235;0;0.0588235
affichage;0;0;0;0;0.030303;0
gras;0;0.2;0;0.2;0.2;0.2
fois;0;0;0.030303;0;0;0
chemin;0;0.2;0.2;0.2;0.2;0
lien hypertextes;0;0;0;0.030303;0;0
url;0;0.0588235;0;0;0.0588235;0
textuels;0;0.333333;0.333333;0.333333;0.333333;0.333333
case à cocher;0;0;0;0.0588235;0.0588235;0
page web dynamique;0;0.333333;0.333333;0.333333;0.333333;0.333333
champ de saisie;0;0;0;0.030303;0;0
size;0;0.2;0.2;0.2;0;0.2
text;0;0;0;0.030303;0;0
vide;0;0.333333;0.333333;0.333333;0.333333;0.333333
liste déroulante;0;0.2;0;0.2;0.2;0.2
sélectionner;0;0.333333;0.333333;0.333333;0.333333;0.333333
déclencher;0;0.333333;0.333333;0.333333;0.333333;0.333333
réinitialisation;0;0;0.2;0.2;0.2;0.2
langage impératif;0;0.333333;0.333333;0.333333;0.333333;0.333333
impératif;0;0.333333;0.333333;0.333333;0.333333;0.333333
zones;0;0.2;0.2;0.2;0.2;0
utilisateur;0;0.111111;0;0.111111;0.111111;0
affectation;0;0;0.111111;0;0.111111;0.111111
booléen;0;0;0;0;0;0.030303
réalité;0;0.333333;0.333333;0.333333;0.333333;0.333333
concatène;0;0.333333;0.333333;0.333333;0.333333;0.333333
addition;0;0.2;0.2;0.2;0.2;0
soustraction;0;0.2;0.2;0.2;0.2;0
multiplié;0;0.333333;0.333333;0.333333;0.333333;0.333333
modulo;0;0.2;0.2;0.2;0.2;0
égalité;0;0.2;0;0.2;0.2;0.2
logiques;0;0;0.030303;0;0;0
syntaxe;0;0.111111;0;0.111111;0.111111;0
case;0;0;0.0588235;0;0.0588235;0
associer;0;0.2;0.2;0.2;0.2;0
personne;0;0.0588235;0;0.0588235;0;0
prenom;0;0.0588235;0.0588235;0;0;0
structure de contrôle;0;0;0.111111;0.111111;0.111111;0
définition;0;0.111111;0;0.111111;0.111111;0
initialiser;0;0;0.111111;0;0.111111;0.111111
dépendre;0;0.333333;0.333333;0.333333;0.333333;0.333333
fermeture;0;0.030303;0;0;0;0
passwd;0;0.333333;0.333333;0.333333;0.333333;0.333333
machine;0;0.333333;0.333333;0.333333;0.333333;0.333333
mysql;0;0.111111;0;0.111111;0.111111;0
salaire;0;0.2;0.2;0.2;0;0.2
phase;0;0.333333;0.333333;0.333333;0.333333;0.333333
être utile;0;0.333333;0.333333;0.333333;0.333333;0.333333
